# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Cycle Number","HEX","ROX"
"4","A4","2","25306.254","192079.88"
"4","A4","3","25327.135","191808.47"
"4","A4","4","25245.105","191692.38"
"4","A4","5","25265.86","191590.06"
"4","A4","6","25488.898","191511.69"
"4","A4","7","25707.346","191533.31"
"4","A4","8","25922.959","191675.52"
"4","A4","9","26557.617","191651.69"
"4","A4","10","27676.697","191630.45"
"4","A4","11","29621.143","191753.56"
"4","A4","12","33080.664","191972.72"
"4","A4","13","38850.93","192075.56"
"4","A4","14","47299.13","192147.2"
"4","A4","15","58860.316","192188.3"
"4","A4","16","72540.33","192539.47"
"4","A4","17","86277.266","192698.7"
"4","A4","18","98716.805","192747.4"
"4","A4","19","108887.21","192852.47"
"4","A4","20","116463.95","193082.1"
"4","A4","21","121910.21","193075.94"
"4","A4","22","125585.12","193175.08"
"4","A4","23","128045.2","193145.94"
"4","A4","24","129831.06","193299.97"
"4","A4","25","131064.99","193386.62"
"4","A4","26","131901.8","193281.39"
"4","A4","27","132568.75","193220.69"
"4","A4","28","133307.33","193259.12"
"4","A4","29","134011.3","193279.72"
"4","A4","30","134482.34","193283.06"
"4","A4","31","135042.73","193277.3"
"4","A4","32","135675.31","193185.08"
"4","A4","33","136218.45","193222.52"
"4","A4","34","136568.25","193283.39"
"4","A4","35","137072.19","193161.34"
"4","A4","36","137534.23","193075.17"
"4","A4","37","137820.11","193232.5"
"4","A4","38","138325.52","193233.52"
"4","A4","39","138859.88","193119.12"
"4","A4","40","139333.64","193057.11"
"4","A4","41","139827.6","192998.62"
"4","A4","42","140233.0","193169.0"
"4","A4","43","140485.06","193261.44"
"4","A4","44","141149.5","193288.86"
"4","A4","45","141665.23","193313.22"
"4","A4","46","141699.27","193213.52"
"4","A4","47","142174.78","193180.11"
"4","A4","48","142546.7","193160.61"
"4","A4","49","143001.06","193080.61"
"4","A4","50","143258.48","193181.94"
"4","A4","51","143609.39","193329.8"
"4","A4","52","144178.9","193268.36"
"4","A4","53","144784.48","193097.44"
"4","A4","54","145223.92","192996.47"
"4","A4","55","145453.06","193078.9"
"4","A4","56","145909.7","192997.28"
"4","A4","57","146305.66","192975.58"
"4","A4","58","146526.4","193129.78"
"4","A4","59","146947.22","193019.77"
