# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"19","A19","1.0E8","BP500_GC40","60.73799133300781","0.1851305067539215"
"19","A19","1.0E8","BP500_GC40","64.7027359008789","0.18106412887573242"
"19","A19","1.0E8","BP500_GC40","0.0","0.0"
"20","A20","1.0E8","BP500_GC40","87.8304214477539","0.0027499916031956673"
"20","A20","1.0E8","BP500_GC40","76.59697723388672","0.004682285711169243"
"20","A20","1.0E8","BP500_GC40","81.88330078125","0.003685403848066926"
"20","A20","1.0E8","BP500_GC40","90.73789978027344","0.0017105722799897194"
"20","A20","1.0E8","BP500_GC40","71.83927917480469","0.005352453328669071"
"25","B1","1.0E7","BP160_GC10","66.02699279785156","0.3083535432815552"
"25","B1","1.0E7","BP160_GC10","73.69070434570312","0.17518498003482819"
"25","B1","1.0E7","BP160_GC10","89.28240966796875","0.0053361766040325165"
"25","B1","1.0E7","BP160_GC10","93.24639892578125","0.004509493708610535"
"25","B1","1.0E7","BP160_GC10","84.65775299072266","0.005879400297999382"
"26","B2","1.0E7","BP160_GC10","65.89485931396484","0.3082156181335449"
"26","B2","1.0E7","BP160_GC10","74.08710479736328","0.17832863330841064"
"26","B2","1.0E7","BP160_GC10","94.17134094238281","0.005428910255432129"
"26","B2","1.0E7","BP160_GC10","87.43254852294922","0.006116816774010658"
"26","B2","1.0E7","BP160_GC10","82.01509094238281","0.007614711299538612"
"28","B4","1.0E7","BP160_GC20","69.72671508789062","0.413539856672287"
"28","B4","1.0E7","BP160_GC20","78.31536865234375","0.059579599648714066"
"28","B4","1.0E7","BP160_GC20","0.0","0.0"
