,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
13490,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,26,0.7413229555931855,1.323991060256958
13491,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,26,0.044914693197375434,0.03823036700487137
13492,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,27,0.7493807828551997,1.3363327980041504
13493,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,27,0.04471650530594803,0.03740794584155083
13494,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,28,0.7572171343344944,1.3482673168182373
13495,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,28,0.04357735902556805,0.035535767674446106
13496,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,29,0.7675523033564496,1.3647950887680054
13497,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,29,0.046481763973344525,0.03817467764019966
13498,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,30,0.7779123762438703,1.381368637084961
13499,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,30,0.04726177317159077,0.038443561643362045
13500,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,31,0.7867111583572964,1.395072340965271
13501,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,31,0.047711362363223514,0.03834381699562073
13502,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,32,0.7950081016400683,1.407853603363037
13503,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,32,0.04870612185924371,0.038852278143167496
13504,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,33,0.803442470159614,1.4208874702453613
13505,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,33,0.04881367064626174,0.03837094455957413
13506,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,34,0.8110375654422127,1.4323786497116089
13507,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,34,0.048398702226605,0.03730667755007744
13508,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,35,0.817949231208472,1.4426136016845703
13509,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,35,0.0503172700069415,0.038845762610435486
13510,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,36,0.8270439412857485,1.4568612575531006
13511,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,36,0.05059720138775668,0.038556743413209915
13512,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,37,0.8377968985924124,1.4741569757461548
13513,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,37,0.05312152582343864,0.04077162593603134
13514,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,38,0.8472884491717274,1.4891339540481567
13515,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,38,0.054396189986715394,0.04159235581755638
13516,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,39,0.8548580569045138,1.5005782842636108
13517,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,39,0.05309903300707769,0.03954389691352844
13518,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,40,0.8634181769738966,1.513843297958374
13519,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,40,0.05262537489912522,0.03841415420174599
13520,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,41,0.870943489550139,1.525206208229065
13521,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,41,0.052704901163147244,0.037901561707258224
