,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
13394,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,38,0.859754755131466,1.5106585025787354
13395,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,38,0.05014566711513667,0.00094496866222471
13396,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,39,0.8683991203082434,1.5240558385849
13397,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,39,0.05200501093600498,0.00155391835141927
13398,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,40,0.8766258269079449,1.5366854667663574
13399,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,40,0.05313280395396998,0.001346731442026794
13400,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,41,0.8845475908633279,1.5487545728683472
13401,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,41,0.05300898660975027,-0.0002567837364040315
13402,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,42,0.8934952773390158,1.5627094507217407
13403,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,42,0.053486090766765165,-0.001189895672723651
13404,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,43,0.9029806019519645,1.5776525735855103
13405,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,43,0.05470251937224279,-0.001298198476433754
13406,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,44,0.91078472108455,1.5895054340362549
13407,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,44,0.055634822568201354,-0.0017234787810593843
13408,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,45,0.9201581080105371,1.6042428016662598
13409,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,45,0.0557477407805027,-0.003062885720282793
