,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,log$_{1}$$_{0}$ S036.5,log$_{1}$$_{0}$ S057.3.2,log$_{1}$$_{0}$ S057.4.2
43,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,22,-0.001271604,-0.001064164,100000000,100,100,8,2,2
44,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,23,0.009676842,-0.027911715,100000000,100,100,8,2,2
45,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,23,-0.001838294,-0.000713155,100000000,100,100,8,2,2
46,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,24,0.011557268046726755,-0.031497899,100000000,100,100,8,2,2
47,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,24,-0.001902092,-0.000813547,100000000,100,100,8,2,2
48,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,25,0.012794396772720075,-0.036072001,100000000,100,100,8,2,2
49,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,25,-0.001857452,-0.001011273,100000000,100,100,8,2,2
50,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,26,0.014881363789019116,-0.039340995,100000000,100,100,8,2,2
51,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,26,-0.001617568,-0.001384252,100000000,100,100,8,2,2
52,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,27,0.017734004210141235,-0.041434143,100000000,100,100,8,2,2
53,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,27,-0.002336705,-0.000896406,100000000,100,100,8,2,2
54,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,28,0.021100968348105986,-0.042737439,100000000,100,100,8,2,2
55,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,28,-0.002258846,-0.00112395,100000000,100,100,8,2,2
56,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,29,0.025023669,-0.043187287,100000000,100,100,8,2,2
