,Target,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
10,S037.01.03,110.5,25252525.0,5.0,326.0,0.49693251533742333,-3.815548302356789,0.5217882511036342,0.028709549652647073,0.5730023966499518,0.3009414629848727,22.107214725244898
11,S037.02.01,182.5,25252525.0,5.0,81.0,0.5432098765432098,-3.449010303535635,0.8124763680092683,0.006448200116874393,0.6191919477766182,0.29257531064257564,18.531120537423597
12,S037.02.02,254.5,25252525.0,5.0,77.0,0.5714285714285714,-3.8917121797280343,0.7766593381948159,0.00706601228077328,0.5621165800295675,0.30816469580442823,22.908643829033434
13,S037.02.03,326.5,25252525.0,5.0,95.0,0.4842105263157895,-4.337013647698056,0.8427421831853388,0.007087126537067799,0.7209129749658166,0.23555030035584695,19.949179223990182
14,S037.02.04,44.5,25252525.0,5.0,92.0,0.5543478260869565,-3.328604390447966,0.7671367942089661,0.006373631275971686,0.579152975625427,0.31126305761097744,19.07386899550988
15,S037.03.01,116.5,25252525.0,5.0,192.0,0.4427083333333333,-3.8800350023535444,0.5609622680722502,0.006616363703335675,0.6075840581131968,0.28680984553825273,21.083320512532964
16,S037.03.02,188.5,25252525.0,5.0,117.0,0.6752136752136753,-3.2530496130202167,0.466053439121085,0.012485854405751163,0.4271724656691195,0.3818017802287979,25.153569649049732
17,S037.04.01,260.5,25252525.0,5.0,100.0,0.48,-3.078804692512511,1.2690331946950062,0.011734015495529552,0.5083791989532515,0.35310495748426224,20.045177663166623
18,S037.04.04,193.5,50500000.0,7.0,104.0,0.4326923076923077,-3.312645639276362,1.2820573620913387,0.01231068913704367,0.5210845794806946,0.3344704095302152,21.123533634736607
19,S037.05.01,266.5,25252525.0,5.0,103.0,0.4854368932038835,-3.9295928014155073,0.681392986009472,0.007752273584102055,0.6681404123866976,0.26255262735155127,19.509304678027625
20,S037.05.02,338.5,25252525.0,5.0,106.0,0.44339622641509435,-3.5357872013537452,0.6640860137561954,0.008378129853961731,0.711881617168237,0.2535533678528161,16.491975155145514
21,S037.06.01,56.5,25252525.0,5.0,98.0,0.47959183673469385,-4.1541498894418885,0.4399570031732866,0.01158000561990782,0.6989562665932865,0.24751725852505824,19.69193839042648
22,S037.06.02,128.5,25252525.0,5.0,101.0,0.43564356435643564,-4.438864269870357,0.48473433620488293,0.010392266479468332,0.7509005057963504,0.22343838647002265,19.596449661644858
23,S037.06.03,200.5,25252525.0,5.0,106.0,0.4056603773584906,-4.114577299649673,0.48814788668867215,0.010079168480967881,0.7552769229526107,0.22841979496572024,18.075774546900323
24,S037.08.01,272.5,25252525.0,5.0,57.0,0.2807017543859649,-5.001130889842018,0.6370810867414911,0.022141318151898196,0.899405678555901,0.16476178710072997,18.483214152688358
25,S044.0,80.0,15873014.285714285,5.0,16.0,0.4375,-7.5223123497865725,1.3939089882624165,3.534518472240944e-05,1.0161867114057306,0.11149811571548887,24.65857209489382
26,S044.1,289.5,15873014.285714285,5.0,30.0,0.26666666666666666,-7.077251381896915,0.8973414298442357,3.717781524884861e-05,1.0761038142006571,0.09659397339892783,21.865652249079243
27,S044.10,292.8,15873014.285714285,5.0,88.0,0.25,-7.074927135848139,1.6593379564293933,0.0037971024208351967,0.9776749217882901,0.12570074538721937,23.991421860419962
28,S044.11,295.8,15873014.285714285,5.0,88.0,0.3522727272727273,-7.098865288919407,1.807605342786363,0.002855004355900047,0.92408831783119,0.14115978526184395,25.419817985507752
29,S044.12,73.8,15873014.285714285,5.0,88.0,0.4318181818181818,-6.288055626714429,1.6870586905130331,0.004189766379981825,0.8278452494228177,0.17579482391614706,25.259967525010527
30,S044.13,76.8,15873014.285714285,5.0,88.0,0.4318181818181818,-6.596259234074607,1.8224234683399214,0.006196500265395775,0.8637885516738685,0.16500395554308336,25.124412775297372
31,S044.14,298.8,15873014.285714285,5.0,88.0,0.5454545454545454,-5.8581304861271795,1.9210073877178497,0.005545660500139608,0.7461128352934601,0.2065329014192389,26.088712811791112
32,S044.15,301.8,15873014.285714285,5.0,88.0,0.6477272727272727,-5.441348399633018,1.9668957715780375,0.00434301607269613,0.7036318838015807,0.23283342512433464,25.176380137026886
33,S044.16,304.8,15873014.285714285,5.0,88.0,0.75,-5.586127290336541,2.192420970933202,0.009915478472878467,0.7258736429846918,0.2216548243897592,25.17289733725365
34,S044.17,307.8,15873014.285714285,5.0,88.0,0.7954545454545454,-7.19820196608105,2.149326411545471,0.00686883002133179,0.7922947018315822,0.18395438089673136,29.76931366640124
35,S044.18,310.8,15873014.285714285,5.0,88.0,0.8522727272727273,-8.784765009442097,1.4686984691953129,0.014865459874632716,0.7990552546805403,0.17357599739227925,35.90147717389057
36,S044.19,73.5,15873014.285714285,5.0,160.0,0.13125,-6.425206493956542,0.9042961401240995,0.008197984461887619,0.8299731327760375,0.1746626508224072,25.87077328739546
37,S044.2,81.6,15873014.285714285,5.0,30.0,0.4666666666666666,-7.313134506012558,1.3762120179002495,0.004891431918367968,0.9413885418784075,0.1342356580378182,25.78614042858912
38,S044.20,76.5,15873014.285714285,5.0,160.0,0.21875,-6.437014576609648,1.2210746291998353,0.003786725719786093,0.8163450884848673,0.17770054725277823,26.32187139399667
39,S044.21,90.0,15873014.285714285,5.0,160.0,0.43125,-5.209707782759211,1.9178015158719692,0.0034688773013266568,0.7069126443649064,0.23273208271152557,24.031251416517556
40,S044.22,79.5,15873014.285714285,5.0,160.0,0.5875,-4.390250141323423,1.468362540128173,0.004985820239886016,0.5634085409589773,0.2950611956475176,25.919211693200275
41,S044.23,75.76,17777692.0,5.28,160.0,0.78125,-8.970009943470366,0.7542172498047727,0.008856265898395463,0.8070004074747807,0.176488314523843,36.10749554697118
42,S044.24,92.5,15873014.285714285,5.0,200.0,0.425,-4.912521571672209,2.0622492808327566,0.004534477177293224,0.6684992441187136,0.2501922344496885,24.08811526373781
43,S044.25,95.0,15873014.285714285,5.0,240.0,0.42083333333333334,-4.961658160220099,2.2076862536723536,0.0038573848553516876,0.6404010983379597,0.2607086656862756,25.379210998789876
44,S044.26,88.5,15873014.285714285,5.0,280.0,0.325,-6.207093549449121,0.4803297346186592,0.004820328344320174,0.6233909589086847,0.24547032451028375,32.73782321711229
45,S044.27,83.65384615384616,17093246.153846152,5.076923076923077,280.0,0.6821428571428572,-4.385108124844269,1.91850922643509,0.01013432701748977,0.46605849964397095,0.3368966297876411,31.14540249423109
46,S044.28,85.80952380952381,16353442.857142856,5.238095238095238,500.0,0.41800000000000004,-3.5537962643643524,1.5414011470504367,0.007360826966071004,0.37950143224012944,0.44382501560831,30.462784594478958
47,S044.29,293.0952380952381,21111057.14285714,5.476190476190476,500.0,0.57,-3.7380652927956155,3.1820482618727572,0.007520182711837643,0.4589884917334503,0.3560011900214515,27.120455814337397
48,S044.3,292.5,15873014.285714285,5.0,30.0,0.6666666666666666,-5.163566633861691,1.1313415045960618,0.0013117069122502568,0.6500560750316559,0.2468419818469298,26.389759509985904
49,S044.4,84.6,15873014.285714285,5.0,40.0,0.45,-6.738158097829807,1.419711354280348,0.0027567517120766203,0.9255696220185547,0.1426003597019119,24.18416132551265
50,S044.5,295.5,15873014.285714285,5.0,50.0,0.26,-6.712317167610367,0.8445620495040377,0.003655412028814932,0.9660482163971098,0.12970223243852033,23.102611356829783
51,S044.6,298.5,15873014.285714285,5.0,50.0,0.62,-5.466268878439327,0.9499660836220236,0.003662775176632903,0.7573574775708672,0.20579238155296758,24.04223226192476
52,S044.7,301.5,15873014.285714285,5.0,50.0,0.74,-5.917992572566038,0.764899579053229,0.0063391895818677695,0.5658732525077225,0.27498408216795217,34.20089271636581
53,S044.8,87.6,15873014.285714285,5.0,55.0,0.45454545454545453,-6.821294156454673,1.598453242243886,0.0028291577583593,0.8881914681905109,0.1536039574085518,25.39480165786575
54,S044.9,289.8,15873014.285714285,5.0,88.0,0.14772727272727273,-5.762963647602011,1.6809421747201079,0.0068495812903376415,0.7406112690050953,0.2102671331949505,25.833433346964096
55,S056.1.1,229.5,25252525.0,5.0,80.0,0.3375000000000001,-5.916055601052733,0.8263408782176486,0.0037289115490802376,0.9320621223713936,0.14708828566273505,21.10391932076323
56,S056.1.10,55.5,25252525.0,5.0,500.0,0.418,-4.409892391830021,0.5538195686162788,0.019876356962636548,0.5075941142378682,0.3202023035110456,28.486045422835744
57,S056.1.11,57.5,25252525.0,5.0,88.0,0.4318181818181818,-5.284627605260045,0.6473039337291049,0.009726555011685257,0.8290405210905396,0.1858725729696206,21.146317399219026
58,S056.1.12,59.5,25252525.0,5.0,88.0,0.25,-5.894026786281634,0.6846436883830002,0.011746912392391378,0.9092158313919118,0.15476702651822188,21.52599152563088
59,S056.1.2,231.5,25252525.0,5.0,232.0,0.41379310344827586,-4.387385630376809,1.4823595171382538,0.0032156769077641505,0.6940749343134529,0.24728641997694378,20.947174183908405
60,S056.1.3,233.5,25252525.0,5.0,272.0,0.6727941176470589,-4.211090976005676,1.8454375824240916,0.009331588852901264,0.47893579700039607,0.3335336458954485,29.01525157976234
61,S056.1.4,235.5,25252525.0,5.0,152.0,0.20394736842105263,-7.470916783007273,1.045404540578051,0.0046138625556215555,0.7816823193745875,0.17900226018659482,31.777394452019283
62,S056.1.5,237.5,25252525.0,5.0,49.0,0.7551020408163266,-5.574735773154003,0.48190540803602105,0.006952693458473547,0.6126633525441688,0.2592517970414659,29.96359547571936
63,S056.1.6,239.5,25252525.0,5.0,152.0,0.5921052631578947,-3.9893122715931253,1.2822830696376402,0.005555992832004985,0.5928667914839242,0.2950631139994612,22.191876722462677
64,S056.1.7,241.5,25252525.0,5.0,84.0,0.7976190476190478,-6.485159525960751,0.8930003190945506,0.012222945517388622,0.8151439893854845,0.1776642271732204,26.308563039798894
65,S056.1.8,243.5,25252525.0,5.0,36.0,0.4444444444444444,-6.273866628874331,0.6181899115906025,0.004311406545897972,0.9481819874293397,0.13865791238593825,21.999711033971327
