# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Cycle Number","TET","ROX","HEX","SUN"
"4","A4","63","332927.5","155993.03",,
"4","A4","64","336695.06","155997.27",,
"4","A4","65","341485.38","155874.95",,
"4","A4","66","347590.94","155857.55",,
"4","A4","67","354928.4","155821.12",,
"4","A4","68","364087.6","155665.16",,
"4","A4","69","374886.8","155558.2",,
"4","A4","70","386580.56","155574.42",,
"4","A4","71","400257.0","155519.23",,
"4","A4","72","415626.34","155361.61",,
"4","A4","73","430017.9","155204.16",,
"4","A4","74","444678.0","155033.23",,
"4","A4","75","459153.6","154852.77",,
"4","A4","76","472954.4","154701.25",,
"4","A4","77","486275.03","154584.88",,
"4","A4","78","498294.56","154452.92",,
"4","A4","79","509814.38","154325.9",,
"4","A4","80","521302.9","154193.75",,
"4","A4","81","531804.25","154027.47",,
"4","A4","82","541923.44","153836.28",,
"4","A4","83","550603.6","153757.6",,
"4","A4","84","560681.0","153753.75",,
"4","A4","85","569675.44","153485.98",,
"4","A4","86","578457.8","153396.78",,
"4","A4","87","586269.8","153460.73",,
"4","A4","88","593498.0","153461.42",,
"4","A4","89","601002.2","153250.92",,
"4","A4","90","607047.3","153193.92",,
"5","A5","1","87341.48","165614.66",,
"5","A5","2","87101.84","164930.19",,
"5","A5","3","86508.09","163469.83",,
"5","A5","4","86078.96","161102.03",,
"5","A5","5","85529.97","159062.34",,
"5","A5","6","85628.39","157399.11",,
"5","A5","7","86912.34","156419.45",,
"5","A5","8","89206.63","155620.42",,
"5","A5","9","92764.66","155105.05",,
"5","A5","10","98329.664","154699.62",,
"5","A5","11","105378.16","154401.23",,
"5","A5","12","113711.516","154318.14",,
"5","A5","13","122695.414","154142.6",,
"5","A5","14","132219.31","154013.02",,
"5","A5","15","141797.56","153829.23",,
"5","A5","16","151263.75","153918.83",,
"5","A5","17","160438.98","153722.25",,
"5","A5","18","169438.1","153531.8",,
"5","A5","19","177397.88","153311.02",,
"5","A5","20","185094.25","153268.48",,
"5","A5","21","192450.03","153263.8",,
"5","A5","22","198816.08","153188.77",,
"5","A5","23","204791.23","153163.69",,
"5","A5","24","210192.2","152985.95",,
"5","A5","25","214404.3","153022.45",,
"5","A5","26","217980.2","153153.69",,
"5","A5","27","221256.81","152997.23",,
"5","A5","28","224438.16","153067.58",,
"5","A5","29","227146.05","153306.62",,
"5","A5","30","229628.12","153137.67",,
"5","A5","31","231529.58","152976.38",,
"5","A5","32","233147.88","153045.95",,
"5","A5","33","234879.81","153107.12",,
"5","A5","34","236367.73","153249.25",,
"5","A5","35","237729.95","153195.19",,
"5","A5","36","239019.06","153137.1",,
"5","A5","37","240515.92","152954.6",,
"5","A5","38","241457.77","152997.48",,
"5","A5","39","242698.42","152981.27",,
"5","A5","40","244010.81","152905.97",,
"5","A5","41","244975.66","152978.0",,
"5","A5","42","245982.69","153096.14",,
"5","A5","43","247268.42","153248.39",,
"5","A5","44","248782.19","153144.98",,
