# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","19","BP160_GC10","64.8377914428711","2.8346147537231445","0.28999558091163635"
"1","A1","20","BP160_GC10","65.10205841064453","2.7549078464508057","0.30139029026031494"
"1","A1","21","BP160_GC10","65.36632537841797","2.685131549835205","0.31109264492988586"
"1","A1","22","BP160_GC10","65.6305923461914","2.594120740890503","0.31788238883018494"
"1","A1","23","BP160_GC10","65.89485931396484","2.509099245071411","0.32044392824172974"
"1","A1","24","BP160_GC10","66.15911865234375","2.411233425140381","0.3177310824394226"
"1","A1","25","BP160_GC10","66.42338562011719","2.3245723247528076","0.30936866998672485"
"1","A1","26","BP160_GC10","66.68765258789062","2.230083703994751","0.29590335488319397"
"1","A1","27","BP160_GC10","66.95191955566406","2.1493980884552","0.2787659168243408"
"1","A1","28","BP160_GC10","67.2161865234375","2.08366322517395","0.25993219017982483"
"1","A1","29","BP160_GC10","67.48045349121094","2.018925905227661","0.2414201945066452"
"1","A1","30","BP160_GC10","67.74472045898438","1.9735575914382935","0.22483199834823608"
"1","A1","31","BP160_GC10","68.00898742675781","1.9187802076339722","0.2111082673072815"
"1","A1","32","BP160_GC10","68.27325439453125","1.8641046285629272","0.2005457580089569"
"1","A1","33","BP160_GC10","68.53752136230469","1.816779613494873","0.19297799468040466"
"1","A1","34","BP160_GC10","68.80178833007812","1.7706254720687866","0.18799450993537903"
"1","A1","35","BP160_GC10","69.06604766845703","1.7285465002059937","0.185095876455307"
"1","A1","36","BP160_GC10","69.33031463623047","1.6762113571166992","0.18378156423568726"
"1","A1","37","BP160_GC10","69.5945816040039","1.630885362625122","0.18360577523708344"
"1","A1","38","BP160_GC10","69.85884857177734","1.5867019891738892","0.1842193752527237"
"1","A1","39","BP160_GC10","70.12311553955078","1.5312288999557495","0.18540212512016296"
"1","A1","40","BP160_GC10","70.38738250732422","1.4881913661956787","0.18706820905208588"
"1","A1","41","BP160_GC10","70.65164947509766","1.4345831871032715","0.1892348676919937"
"1","A1","42","BP160_GC10","70.9159164428711","1.3887033462524414","0.1919744610786438"
"1","A1","43","BP160_GC10","71.18017578125","1.3382781744003296","0.19536320865154266"
"1","A1","44","BP160_GC10","71.44444274902344","1.2857475280761719","0.19944645464420319"
"1","A1","45","BP160_GC10","71.70870971679688","1.2354626655578613","0.20422479510307312"
"1","A1","46","BP160_GC10","71.97297668457031","1.1812360286712646","0.20964886248111725"
"1","A1","47","BP160_GC10","72.23724365234375","1.1272656917572021","0.21561330556869507"
"1","A1","48","BP160_GC10","72.50151062011719","1.0672165155410767","0.22193196415901184"
"1","A1","49","BP160_GC10","72.76577758789062","1.0114730596542358","0.22830010950565338"
"1","A1","50","BP160_GC10","73.03004455566406","0.9487704634666443","0.23424433171749115"
"1","A1","51","BP160_GC10","73.2943115234375","0.8849772214889526","0.23909074068069458"
"1","A1","52","BP160_GC10","73.55857849121094","0.8221465945243835","0.24197980761528015"
"1","A1","53","BP160_GC10","73.82284545898438","0.7527416348457336","0.24195964634418488"
"1","A1","54","BP160_GC10","74.08710479736328","0.6860772371292114","0.23815856873989105"
"1","A1","55","BP160_GC10","74.35137176513672","0.6148055195808411","0.23000039160251617"
"1","A1","56","BP160_GC10","74.61563873291016","0.5497304201126099","0.21738994121551514"
"1","A1","57","BP160_GC10","74.8799057006836","0.489940345287323","0.2007957547903061"
"1","A1","58","BP160_GC10","75.14417266845703","0.43472373485565186","0.18119174242019653"
"1","A1","59","BP160_GC10","75.40843963623047","0.3901299238204956","0.15987344086170197"
"1","A1","60","BP160_GC10","75.6727066040039","0.3526238203048706","0.13820840418338776"
"1","A1","61","BP160_GC10","75.93696594238281","0.3230714499950409","0.11739972233772278"
"1","A1","62","BP160_GC10","76.20123291015625","0.29704931378364563","0.09832584857940674"
