# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"50","C2","false","1000000.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.292614631708542","","","17.09130990795728","0.915579949180591","16.903357313529128","0.26580510812348035","true","0.17000934761381004","true","3","11","65.89485931396484","","",""
"52","C4","false","1000000.0","BP160_GC20","STANDARD","SYBR","None","Inconclusive","1.351261838351671","","","18.166743228424416","0.8753155376752623","18.520270767922078","0.4999634410299346","true","0.2247059681631393","true","3","12","69.72671508789062","","",""
"53","C5","false","1000000.0","BP160_GC20","STANDARD","SYBR","None","Inconclusive","0.0","","","18.87379830741974","0.9096045608887013","18.520270767922078","0.4999634410299346","true","0.2247059681631393","true","3","13","69.5945816040039","","",""
"55","C7","false","1000000.0","BP160_GC60","STANDARD","SYBR","None","Amp","0.0","","","75.70311138636193","0.37047518670226787","74.26889484151795","2.0282884890978785","true","0.2638810773869539","true","3","64","83.33642578125","","",""
"56","C8","false","1000000.0","BP160_GC60","STANDARD","SYBR","None","Amp","0.0","","","72.83467829667397","0.38664536843792857","74.26889484151795","2.0282884890978785","true","0.2638810773869539","true","3","62","83.20429229736328","","",""
"58","C10","false","1000000.0","BP160_GC80","STANDARD","SYBR","None","Amp","1.264564356861848","","","32.85857337155123","0.9287882678890457","59.86387716261122","38.19126687732259","true","0.10380432188788172","true","3","28","83.46855163574219","","",""
"59","C11","false","1000000.0","BP160_GC80","STANDARD","SYBR","None","Amp","0.0","","","86.8691809536712","0.37516154980538396","59.86387716261122","38.19126687732259","true","0.10380432188788172","true","3","77","83.60069274902344","","",""
"61","C13","false","1000000.0","BP280_GC70","STANDARD","SYBR","None","Amp","1.3710981514060374","","","21.3085258137926","0.388611940021321","49.57031969026831","39.96821219710484","true","0.1405856919812463","true","3","15","86.90531158447266","","",""
"62","C14","false","1000000.0","BP280_GC70","STANDARD","SYBR","None","Amp","0.0","","","77.83211356674403","0.20901473439013277","49.57031969026831","39.96821219710484","true","0.1405856919812463","true","3","63","86.77315521240234","","",""
"64","C16","false","1000000.0","BP280_GC30","STANDARD","SYBR","None","Amp","1.4073021604637397","","","18.71720008225801","0.9532862158757465","18.71720008225801","","true","0.30112860742619285","true","3","12","74.6146011352539","","",""
"65","C17","false","1000000.0","BP280_GC30","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.30112860742619285","true","3","89","85.31941223144531","88.4912109375","73.02870178222656","69.98906707763672"
"67","C19","false","1000000.0","BP500_GC40","STANDARD","SYBR","None","Amp","1.4067859787858559","","","21.17715193096696","0.754409664363264","21.17715193096696","","true","0.4036370650066456","true","3","14","78.44718933105469","","",""
"68","C20","false","1000000.0","BP500_GC40","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.4036370650066456","true","3","89","69.98906707763672","86.24452209472656","90.60574340820312","74.4824447631836"
"73","D1","false","100000.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.293779731369569","","","20.359863650022973","0.9239513154304779","20.59435124366114","0.33161553513137176","true","0.17000934761381004","true","3","15","66.02699279785156","71.18017578125","",""
"74","D2","false","100000.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.2914737994024321","","","20.82883883729931","0.9274995584560242","20.59435124366114","0.33161553513137176","true","0.17000934761381004","true","3","15","66.02699279785156","","",""
"76","D4","false","100000.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","21.807566086421453","0.9588489936152561","22.145152716302743","0.4774195904538487","true","0.2247059681631393","true","3","16","69.72671508789062","","",""
"77","D5","false","100000.0","BP160_GC20","STANDARD","SYBR","None","Amp","0.0","","","22.482739346184033","0.9613151835586928","22.145152716302743","0.4774195904538487","true","0.2247059681631393","true","3","16","69.5945816040039","","",""
"79","D7","false","100000.0","BP160_GC60","STANDARD","SYBR","None","Inconclusive","1.3357660777665945","","","21.843711046699347","0.6323594460289932","22.044432553319094","0.2838630769215305","true","0.2638810773869539","true","3","15","83.46855163574219","","",""
"80","D8","false","100000.0","BP160_GC60","STANDARD","SYBR","None","Inconclusive","1.3270725029993549","","","22.24515405993884","0.6187106447630651","22.044432553319094","0.2838630769215305","true","0.2638810773869539","true","3","16","83.20429229736328","","",""
"82","D10","false","100000.0","BP160_GC80","STANDARD","SYBR","None","Amp","1.2027839012094936","","","25.314390855225064","0.9103583649391085","27.250554352699407","2.738148677099919","true","0.10380432188788172","true","3","21","75.93696594238281","","",""
"83","D11","false","100000.0","BP160_GC80","STANDARD","SYBR","None","Amp","0.0","","","29.18671785017375","0.8799115475742361","27.250554352699407","2.738148677099919","true","0.10380432188788172","true","3","25","75.01203918457031","","",""
"85","D13","false","100000.0","BP280_GC70","STANDARD","SYBR","None","Amp","1.3791092873322741","","","26.019442110925695","0.47272060832865154","26.619267376884586","0.8482810261731966","true","0.1405856919812463","true","3","20","87.03746795654297","","",""
"86","D14","false","100000.0","BP280_GC70","STANDARD","SYBR","None","Amp","1.3652608700207187","","","27.219092642843478","0.45429321118885657","26.619267376884586","0.8482810261731966","true","0.1405856919812463","true","3","21","86.77315521240234","","",""
"88","D16","false","100000.0","BP280_GC30","STANDARD","SYBR","None","Amp","1.412514799437765","","","22.304783684206036","0.9449916791393864","22.304783684206036","","true","0.30112860742619285","true","3","16","74.21812438964844","","",""
"89","D17","false","100000.0","BP280_GC30","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.30112860742619285","true","3","89","89.01984405517578","80.69387817382812","84.12998962402344","74.21812438964844"
"91","D19","false","100000.0","BP500_GC40","STANDARD","SYBR","None","Amp","1.4087741364896516","","","25.2510333126046","0.9517454102914013","25.2510333126046","","true","0.4036370650066456","true","3","18","78.05071258544922","","",""
"92","D20","false","100000.0","BP500_GC40","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.4036370650066456","true","3","89","78.18287658691406","87.03746795654297","75.14323425292969","90.73789978027344"
"97","E1","false","10000.0","BP160_GC10","STANDARD","SYBR","None","Amp","0.0","","","23.71740775012067","0.9028085843705274","23.98001508397836","0.37138285312028707","true","0.17000934761381004","true","3","18","66.291259765625","","",""
