Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
5,TET_BHQ1,5,85,D13,JG076E_085,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,BHQ1,None
6,TET_BHQ1,5,86,D14,JG076E_086,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,BHQ1,None
7,TET_BHQ1,5,87,D15,JG076E_087,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,BHQ1,None
9,TET_BHQ1,5,88,D16,JG076E_088,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,BHQ1,None
1,SUN_Z_IBFQ,5,89,D17,JG076E_089,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,5,90,D18,JG076E_090,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,5,91,D19,JG076E_091,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,5,92,D20,JG076E_092,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,5,93,D21,JG076E_093,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,5,94,D22,JG076E_094,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,Z
7,SUN_Z_IBFQ,5,95,D23,JG076E_095,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,5,96,D24,JG076E_096,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,Z
1,TET_Z_IBFQ,4,97,E1,JG076E_097,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,IBFQ,Z
2,TET_Z_IBFQ,4,98,E2,JG076E_098,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,IBFQ,Z
3,TET_Z_IBFQ,4,99,E3,JG076E_099,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,IBFQ,Z
4,TET_Z_IBFQ,4,100,E4,JG076E_100,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,IBFQ,Z
5,TET_Z_IBFQ,4,101,E5,JG076E_101,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,IBFQ,Z
6,TET_Z_IBFQ,4,102,E6,JG076E_102,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,IBFQ,Z
7,TET_Z_IBFQ,4,103,E7,JG076E_103,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,IBFQ,Z
9,TET_Z_IBFQ,4,104,E8,JG076E_104,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,IBFQ,Z
1,TET_BHQ1,4,105,E9,JG076E_105,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,BHQ1,None
2,TET_BHQ1,4,106,E10,JG076E_106,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,BHQ1,None
3,TET_BHQ1,4,107,E11,JG076E_107,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,BHQ1,None
4,TET_BHQ1,4,108,E12,JG076E_108,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,BHQ1,None
5,TET_BHQ1,4,109,E13,JG076E_109,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,BHQ1,None
6,TET_BHQ1,4,110,E14,JG076E_110,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,BHQ1,None
7,TET_BHQ1,4,111,E15,JG076E_111,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,BHQ1,None
9,TET_BHQ1,4,112,E16,JG076E_112,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,BHQ1,None
1,SUN_Z_IBFQ,4,113,E17,JG076E_113,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,4,114,E18,JG076E_114,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,4,115,E19,JG076E_115,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,4,116,E20,JG076E_116,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,4,117,E21,JG076E_117,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,4,118,E22,JG076E_118,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,Z
7,SUN_Z_IBFQ,4,119,E23,JG076E_119,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,4,120,E24,JG076E_120,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,Z
1,TET_Z_IBFQ,3,121,F1,JG076E_121,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,IBFQ,Z
2,TET_Z_IBFQ,3,122,F2,JG076E_122,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,IBFQ,Z
3,TET_Z_IBFQ,3,123,F3,JG076E_123,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,IBFQ,Z
4,TET_Z_IBFQ,3,124,F4,JG076E_124,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,IBFQ,Z
5,TET_Z_IBFQ,3,125,F5,JG076E_125,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,IBFQ,Z
6,TET_Z_IBFQ,3,126,F6,JG076E_126,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,IBFQ,Z
7,TET_Z_IBFQ,3,127,F7,JG076E_127,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,IBFQ,Z
9,TET_Z_IBFQ,3,128,F8,JG076E_128,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,IBFQ,Z
1,TET_BHQ1,3,129,F9,JG076E_129,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,BHQ1,None
2,TET_BHQ1,3,130,F10,JG076E_130,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,BHQ1,None
3,TET_BHQ1,3,131,F11,JG076E_131,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,BHQ1,None
4,TET_BHQ1,3,132,F12,JG076E_132,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,BHQ1,None
5,TET_BHQ1,3,133,F13,JG076E_133,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,BHQ1,None
6,TET_BHQ1,3,134,F14,JG076E_134,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,BHQ1,None
7,TET_BHQ1,3,135,F15,JG076E_135,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,BHQ1,None
9,TET_BHQ1,3,136,F16,JG076E_136,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,BHQ1,None
1,SUN_Z_IBFQ,3,137,F17,JG076E_137,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,3,138,F18,JG076E_138,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,3,139,F19,JG076E_139,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,3,140,F20,JG076E_140,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,3,141,F21,JG076E_141,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,3,142,F22,JG076E_142,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,Z
7,SUN_Z_IBFQ,3,143,F23,JG076E_143,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,3,144,F24,JG076E_144,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,Z
1,TET_Z_IBFQ,2,145,G1,JG076E_145,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,IBFQ,Z
2,TET_Z_IBFQ,2,146,G2,JG076E_146,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,IBFQ,Z
3,TET_Z_IBFQ,2,147,G3,JG076E_147,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,IBFQ,Z
4,TET_Z_IBFQ,2,148,G4,JG076E_148,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,IBFQ,Z
5,TET_Z_IBFQ,2,149,G5,JG076E_149,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,IBFQ,Z
6,TET_Z_IBFQ,2,150,G6,JG076E_150,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,IBFQ,Z
7,TET_Z_IBFQ,2,151,G7,JG076E_151,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,IBFQ,Z
9,TET_Z_IBFQ,2,152,G8,JG076E_152,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,IBFQ,Z
1,TET_BHQ1,2,153,G9,JG076E_153,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,BHQ1,None
2,TET_BHQ1,2,154,G10,JG076E_154,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,BHQ1,None
3,TET_BHQ1,2,155,G11,JG076E_155,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,BHQ1,None
4,TET_BHQ1,2,156,G12,JG076E_156,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,BHQ1,None
5,TET_BHQ1,2,157,G13,JG076E_157,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,BHQ1,None
