# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Cycle Number","SYBR","ROX"
"2","A2","68","316044.44","161054.11"
"2","A2","69","326093.2","161065.52"
"2","A2","70","339183.28","161018.5"
"2","A2","71","355638.38","161097.66"
"2","A2","72","373911.97","161210.44"
"2","A2","73","393914.3","161398.9"
"2","A2","74","414366.2","161450.16"
"2","A2","75","434580.4","161627.34"
"2","A2","76","454006.44","161463.27"
"2","A2","77","472470.62","161373.38"
"2","A2","78","489431.22","161697.44"
"2","A2","79","505770.97","161795.89"
"2","A2","80","520962.72","161708.84"
"2","A2","81","534589.1","161832.1"
"2","A2","82","547652.06","161856.2"
"2","A2","83","559314.7","161849.44"
"2","A2","84","569411.9","162029.47"
"2","A2","85","580250.9","162114.25"
"2","A2","86","591133.3","162296.92"
"2","A2","87","601116.44","162150.17"
"2","A2","88","611596.75","161976.78"
"2","A2","89","620496.6","162038.17"
"2","A2","90","627779.56","162232.97"
"2","A2","91","616581.56","165454.02"
"2","A2","92","610399.1","165412.5"
"2","A2","93","606291.6","165253.33"
"2","A2","94","599946.56","165207.89"
"2","A2","95","591937.25","165313.97"
"2","A2","96","585880.0","165334.81"
"2","A2","97","578878.44","165507.44"
"2","A2","98","571200.7","165479.95"
"2","A2","99","565370.75","165416.16"
"2","A2","100","557729.25","165567.53"
"2","A2","101","547529.7","165824.42"
"2","A2","102","539283.4","165548.06"
"2","A2","103","529722.7","166019.0"
"2","A2","104","519045.56","165769.61"
"2","A2","105","509309.16","166136.33"
"2","A2","106","498808.25","166068.31"
"2","A2","107","487680.47","166533.23"
"2","A2","108","476172.38","166262.75"
"2","A2","109","463928.38","166259.38"
"2","A2","110","451905.03","166359.0"
"2","A2","111","437403.9","166292.12"
"2","A2","112","423281.44","166340.81"
"2","A2","113","408129.62","166266.1"
"2","A2","114","392800.06","166234.98"
"2","A2","115","376970.8","166410.73"
"2","A2","116","363404.47","166350.4"
"2","A2","117","349476.4","166616.69"
"2","A2","118","339121.47","166375.39"
"2","A2","119","328353.44","166714.0"
"2","A2","120","319734.75","166573.34"
"2","A2","121","311743.72","166564.47"
"2","A2","122","302560.8","166623.56"
"2","A2","123","295317.06","166592.05"
"2","A2","124","287212.1","166374.39"
"2","A2","125","278857.12","166770.03"
"2","A2","126","270242.72","166978.11"
"2","A2","127","261909.3","166511.39"
"2","A2","128","253828.03","166646.94"
"2","A2","129","245598.9","166530.05"
"2","A2","130","237302.98","166625.39"
"2","A2","131","228160.12","166504.89"
"2","A2","132","219726.2","166477.8"
"2","A2","133","210867.7","166542.92"
"2","A2","134","201837.4","166618.0"
"2","A2","135","192322.12","166735.16"
"2","A2","136","182898.34","166420.69"
"2","A2","137","173375.17","166203.86"
"2","A2","138","163723.64","166714.47"
"2","A2","139","152954.53","166657.16"
"2","A2","140","142464.33","166477.06"
"2","A2","141","131774.08","166659.52"
"2","A2","142","120803.07","166225.02"
"2","A2","143","110136.7","166303.69"
"2","A2","144","99550.63","166339.8"
"2","A2","145","89259.234","166384.9"
"2","A2","146","79435.92","166258.44"
"2","A2","147","71198.92","166423.64"
"2","A2","148","64112.195","166247.61"
"2","A2","149","58375.598","166056.47"
"2","A2","150","53790.008","165939.9"
"2","A2","151","50047.918","165963.17"
"2","A2","152","46830.13","166014.19"
"2","A2","153","44841.7","166031.66"
"2","A2","154","42435.926","165683.81"
"2","A2","155","40473.95","165807.78"
"2","A2","156","38939.29","165743.31"
"2","A2","157","37990.008","165945.95"
"2","A2","158","37072.918","165778.62"
"2","A2","159","35957.44","165697.1"
"2","A2","160","35507.273","165759.75"
"2","A2","161","34819.76","165400.25"
"2","A2","162","34299.54","165597.31"
"2","A2","163","33647.18","165624.2"
"2","A2","164","33198.426","165335.25"
"2","A2","165","32981.816","165585.06"
"2","A2","166","32448.236","165084.52"
"2","A2","167","32051.104","165261.88"
"2","A2","168","31955.074","165203.4"
"2","A2","169","31411.22","164739.53"
"2","A2","170","31072.213","165047.95"
"2","A2","171","30768.406","164605.19"
"2","A2","172","30578.98","165203.86"
"2","A2","173","29930.443","164850.36"
"2","A2","174","30141.883","164873.44"
"2","A2","175","29488.83","164481.94"
"2","A2","176","29572.87","164210.22"
"2","A2","177","29097.371","164486.98"
"2","A2","178","28945.61","164407.27"
"2","A2","179","28423.646","164385.3"
"2","A2","180","28412.871","163967.62"
"2","A2","181","27926.387","164152.28"
"2","A2","182","27799.062","163905.06"
"2","A2","183","27557.914","163912.08"
"2","A2","184","26797.63","163828.3"
"2","A2","185","27241.615","163933.86"
"2","A2","186","26699.658","163671.78"
"2","A2","187","26641.176","163552.62"
"2","A2","188","26126.734","163280.61"
"2","A2","189","26157.863","163116.6"
"2","A2","190","25949.543","163056.94"
"2","A2","191","25466.111","163300.5"
"2","A2","192","25180.426","162775.23"
"2","A2","193","25272.871","163079.27"
"2","A2","194","24988.438","162424.28"
"2","A2","195","24611.207","162829.89"
"2","A2","196","24092.768","162580.95"
"2","A2","197","24271.904","162377.61"
"2","A2","198","23770.117","162234.62"
"2","A2","199","24013.287","162094.08"
"2","A2","200","23492.18","162114.38"
"2","A2","201","23496.955","161809.27"
"2","A2","202","23316.316","161721.25"
"2","A2","203","22844.023","161745.78"
"2","A2","204","22959.209","161508.23"
"2","A2","205","22526.53","161299.28"
"2","A2","206","22447.602","161327.02"
"2","A2","207","22319.527","161129.95"
"2","A2","208","22319.72","161309.61"
"2","A2","209","21986.691","160905.8"
"2","A2","210","21992.025","160871.58"
"2","A2","211","21704.756","160552.53"
"2","A2","212","21587.406","160776.34"
"2","A2","213","21353.852","160461.8"
"2","A2","214","20966.38","160421.23"
"2","A2","215","20684.572","160579.9"
"2","A2","216","20336.469","160344.61"
"2","A2","217","20659.436","160213.92"
"2","A2","218","20027.863","160072.61"
"2","A2","219","20246.963","159670.84"
"2","A2","220","20387.117","159639.25"
"2","A2","221","19769.604","159595.89"
"2","A2","222","19662.787","159331.56"
"4","A4","1","36715.617","158328.83"
"4","A4","2","37176.254","157423.06"
"4","A4","3","37159.36","155194.95"
"4","A4","4","37128.625","153562.36"
"4","A4","5","37645.383","152075.55"
"4","A4","6","38412.66","151042.28"
"4","A4","7","40167.23","150627.3"
"4","A4","8","43649.824","150583.56"
"4","A4","9","49527.26","150674.3"
"4","A4","10","59851.562","150770.28"
"4","A4","11","76941.63","150794.0"
"4","A4","12","103003.55","150767.97"
"4","A4","13","138399.55","150781.28"
"4","A4","14","179539.28","150783.94"
"4","A4","15","220737.28","150862.72"
"4","A4","16","256215.83","150895.34"
"4","A4","17","283015.28","150916.72"
"4","A4","18","301360.66","150892.53"
"4","A4","19","313161.9","150969.38"
"4","A4","20","320510.47","151091.61"
"4","A4","21","324900.62","151056.31"
"4","A4","22","327397.8","150977.03"
"4","A4","23","329473.78","150922.78"
"4","A4","24","331118.03","150934.4"
"4","A4","25","332088.97","150904.23"
"4","A4","26","332549.25","150911.52"
"4","A4","27","333734.16","150929.4"
"4","A4","28","334768.97","150888.25"
"4","A4","29","335402.6","150906.23"
"4","A4","30","335676.12","151047.61"
"4","A4","31","336223.34","151142.27"
"4","A4","32","336979.8","151155.6"
"4","A4","33","337676.9","151101.53"
"4","A4","34","338201.28","151117.38"
"4","A4","35","338487.0","151172.23"
"4","A4","36","339113.4","151170.06"
"4","A4","37","339599.16","151314.72"
"4","A4","38","340231.28","151327.34"
"4","A4","39","340321.12","151451.83"
"4","A4","40","340560.25","151412.73"
"4","A4","41","341272.25","151422.7"
"4","A4","42","341263.25","151518.6"
"4","A4","43","341579.0","151341.3"
"4","A4","44","341685.66","151321.34"
"4","A4","45","341999.53","151668.38"
"4","A4","46","342269.28","151636.6"
