,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.0,S057.0.1,S057.1.2,log$_{1}$$_{0}$ S036.0,log$_{1}$$_{0}$ S057.0.1,log$_{1}$$_{0}$ S057.1.2
63,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,32,-0.763817024,0.5962706208229065,100000000,100,100,8,2,2
64,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,33,-0.037830367,-0.013819558,100000000,100,100,8,2,2
65,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,33,-0.780733978,0.609246016,100000000,100,100,8,2,2
66,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,34,-0.037502204,-0.013072393,100000000,100,100,8,2,2
67,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,34,-0.796568187,0.6213570237159729,100000000,100,100,8,2,2
68,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,35,-0.037820102,-0.012878538,100000000,100,100,8,2,2
69,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,35,-0.810053907,0.6315931677818298,100000000,100,100,8,2,2
70,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,36,-0.037278175,-0.011948298,100000000,100,100,8,2,2
71,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,36,-0.821472764,0.6401792764663696,100000000,100,100,8,2,2
72,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,37,-0.037609365,-0.011765827,100000000,100,100,8,2,2
73,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,37,-0.829924036,0.646396279,100000000,100,100,8,2,2
74,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,38,-0.038658647,-0.012198358,100000000,100,100,8,2,2
75,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,38,-0.836441194,0.6510692238807678,100000000,100,100,8,2,2
76,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,39,-0.039289326,-0.012272381,100000000,100,100,8,2,2
77,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,39,-0.844154508,0.656697154,100000000,100,100,8,2,2
78,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,40,-0.039725693,-0.012179988,100000000,100,100,8,2,2
79,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,40,-0.850464852,0.661204994,100000000,100,100,8,2,2
80,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,41,-0.040637888,-0.012495113,100000000,100,100,8,2,2
81,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,41,-0.857300368,0.6661320924758911,100000000,100,100,8,2,2
82,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,42,-0.04074002,-0.012116469,100000000,100,100,8,2,2
83,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,42,-0.862940547,0.6701049208641052,100000000,100,100,8,2,2
84,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,43,-0.039752731,-0.010804803,100000000,100,100,8,2,2
85,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,43,-0.867137961,0.6729259490966797,100000000,100,100,8,2,2
86,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,44,-0.04020072,-0.010722364,100000000,100,100,8,2,2
87,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,44,-0.871221516,0.6756560802459717,100000000,100,100,8,2,2
88,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,45,-0.040983206,-0.0109264,100000000,100,100,8,2,2
89,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,45,-0.878719282,0.6811118721961975,100000000,100,100,8,2,2
90,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,46,-0.041158692,-0.01061058,100000000,100,100,8,2,2
91,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,46,-0.882046662,0.6832383871078491,100000000,100,100,8,2,2
92,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,47,-0.040185357,-0.009310865,100000000,100,100,8,2,2
93,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,47,-0.885538596,0.6854962110519409,100000000,100,100,8,2,2
94,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,48,-0.040351239,-0.008986818,100000000,100,100,8,2,2
95,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,48,-0.891559252,0.6897727847099304,100000000,100,100,8,2,2
96,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,49,-0.0402727,-0.00845344,100000000,100,100,8,2,2
97,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,49,-0.894314722,0.6914426684379578,100000000,100,100,8,2,2
98,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,50,-0.038666737,-0.006611919,100000000,100,100,8,2,2
99,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,50,-0.895434277,0.6918065547943115,100000000,100,100,8,2,2
180,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,1,-0.006759095,-0.003190395,100000000,100,100,8,2,2
181,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,1,0.001459051,0.002385647,100000000,100,100,8,2,2
182,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,2,-0.006289357,-0.002551474,100000000,100,100,8,2,2
183,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,2,0.001133861,0.002003358,100000000,100,100,8,2,2
