,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Task,Comments,CT,Reaction,WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,WellName,Sample,Blocker,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
166,JG075F,84,FAM,#NAME?,FALSE,D12,0,FAM,UNKNOWN,,29.205635,166,4,3,0.1,D12,JG075F_084,L-MMMMx,50,-0.460340388,0.28743118047714233,0.27677247270933053
168,JG075F,85,FAM,#NAME?,FALSE,D13,0,FAM,UNKNOWN,,29.213917,168,4,4,0.1,D13,JG075F_085,L-MMMMx,50,-0.413951038,0.25260165333747864,0.339646576
170,JG075F,86,FAM,#NAME?,FALSE,D14,0,FAM,UNKNOWN,,30.201317,170,4,5,0.1,D14,JG075F_086,L-MMMMx,50,-0.275757188,0.16479845345020294,0.5336182012867176
172,JG075F,87,FAM,#NAME?,FALSE,D15,0,FAM,UNKNOWN,,inf,172,4,6,0.1,D15,JG075F_087,L-MMMMx,50,-0.125036555,0.002691454,0.7713318867633836
174,JG075F,88,FAM,#NAME?,FALSE,D16,0,FAM,UNKNOWN,,inf,174,4,7,0.1,D16,JG075F_088,L-MMMMx,50,-0.033306655,-0.001884476,0.87181006
176,JG075F,89,FAM,#NAME?,FALSE,D17,0,FAM,UNKNOWN,,28.99244,176,4,-2,0.3162277660168379,D17,JG075F_089,L-MMMMx,50,-0.576664233,0.35460299253463745,0.13452116918618096
178,JG075F,90,FAM,#NAME?,FALSE,D18,0,FAM,UNKNOWN,,28.967373,178,4,1,0.3162277660168379,D18,JG075F_090,L-MMMMx,50,-0.59060507,0.371782124,0.10275886090017039
180,JG075F,91,FAM,#NAME?,FALSE,D19,0,FAM,UNKNOWN,,28.954676,180,4,2,0.3162277660168379,D19,JG075F_091,L-MMMMx,50,-0.577232699,0.36194077134132385,0.088363474
182,JG075F,92,FAM,#NAME?,FALSE,D20,0,FAM,UNKNOWN,,29.162556,182,4,3,0.3162277660168379,D20,JG075F_092,L-MMMMx,50,-0.553081817,0.3441261649131775,0.11548560389717855
184,JG075F,93,FAM,#NAME?,FALSE,D21,0,FAM,UNKNOWN,,29.135273,184,4,4,0.3162277660168379,D21,JG075F_093,L-MMMMx,50,-0.446869568,0.26411905884742737,0.2699086243401032
