,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Task,Comments,CT,Reaction,WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,WellName,Sample,Blocker,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
270,JG075F,136,FAM,#NAME?,FALSE,F16,0,FAM,UNKNOWN,,inf,270,6,7,0.1,F16,JG075F_136,L-MMMMx,50,-0.038359509,-0.001842163,0.8781600442944253
272,JG075F,137,FAM,#NAME?,FALSE,F17,0,FAM,UNKNOWN,,31.632202,272,6,-2,0.3162277660168379,F17,JG075F_137,L-MMMMx,50,-0.214582389,0.11397435516119003,0.6408985598458745
274,JG075F,138,FAM,#NAME?,FALSE,F18,0,FAM,UNKNOWN,,31.643452,274,6,1,0.3162277660168379,F18,JG075F_138,L-MMMMx,50,-0.218492929,0.11148712038993835,0.6311389020287911
276,JG075F,139,FAM,#NAME?,FALSE,F19,0,FAM,UNKNOWN,,31.629477,276,6,2,0.3162277660168379,F19,JG075F_139,L-MMMMx,50,-0.213455473,0.10738874971866608,0.6436239680642906
278,JG075F,140,FAM,#NAME?,FALSE,F20,0,FAM,UNKNOWN,,32.29852,278,6,3,0.3162277660168379,F20,JG075F_140,L-MMMMx,50,-0.207258213,0.10109342634677887,0.6497243271530453
280,JG075F,141,FAM,#NAME?,FALSE,F21,0,FAM,UNKNOWN,,31.896513,280,6,4,0.3162277660168379,F21,JG075F_141,L-MMMMx,50,-0.191065252,0.096589118,0.6606668703358983
282,JG075F,142,FAM,#NAME?,FALSE,F22,0,FAM,UNKNOWN,,inf,282,6,5,0.3162277660168379,F22,JG075F_142,L-MMMMx,50,-0.18685013,0.004544918,0.6396802309087823
284,JG075F,143,FAM,#NAME?,FALSE,F23,0,FAM,UNKNOWN,,inf,284,6,6,0.3162277660168379,F23,JG075F_143,L-MMMMx,50,-0.110576491,0.001189617,0.7249255593132595
286,JG075F,144,FAM,#NAME?,FALSE,F24,0,FAM,UNKNOWN,,inf,286,6,7,0.3162277660168379,F24,JG075F_144,L-MMMMx,50,-0.013620259,-0.003106327,0.8029431733791687
288,JG075F,145,FAM,#NAME?,FALSE,G1,0,FAM,UNKNOWN,,inf,288,7,-2,0,G1,JG075F_145,L-MMMMx,50,0.024351052,-0.005237746,0.9076949336292454
290,JG075F,146,FAM,#NAME?,FALSE,G2,0,FAM,UNKNOWN,,inf,290,7,1,0,G2,JG075F_146,L-MMMMx,50,0.004299884,-0.004644216,0.8844897134555175
292,JG075F,147,FAM,#NAME?,FALSE,G3,0,FAM,UNKNOWN,,inf,292,7,2,0,G3,JG075F_147,L-MMMMx,50,-0.00139219,-0.00344823,0.8927862486382004
294,JG075F,148,FAM,#NAME?,FALSE,G4,0,FAM,UNKNOWN,,inf,294,7,3,0,G4,JG075F_148,L-MMMMx,50,-0.006956713,-0.002825028,0.8833235496728489
296,JG075F,149,FAM,#NAME?,FALSE,G5,0,FAM,UNKNOWN,,inf,296,7,4,0,G5,JG075F_149,L-MMMMx,50,-0.002520645,-0.003129282,0.7618401342264085
298,JG075F,150,FAM,#NAME?,FALSE,G6,0,FAM,UNKNOWN,,inf,298,7,5,0,G6,JG075F_150,L-MMMMx,50,-0.003041038,-0.004233615,0.8664946546530172
300,JG075F,151,FAM,#NAME?,FALSE,G7,0,FAM,UNKNOWN,,inf,300,7,6,0,G7,JG075F_151,L-MMMMx,50,0.000950732,-0.003477287,0.8953802807012875
302,JG075F,152,FAM,#NAME?,FALSE,G8,0,FAM,UNKNOWN,,inf,302,7,7,0,G8,JG075F_152,L-MMMMx,50,0.000639911,-0.004391638,0.9028564931209186
304,JG075F,153,FAM,#NAME?,FALSE,G9,0,FAM,UNKNOWN,,inf,304,7,-2,0.1,G9,JG075F_153,L-MMMMx,50,-0.018389745,-0.003643919,0.8872468352602824
306,JG075F,154,FAM,#NAME?,FALSE,G10,0,FAM,UNKNOWN,,inf,306,7,1,0.1,G10,JG075F_154,L-MMMMx,50,-0.026522153,-0.002722474,0.8830811630832668
308,JG075F,155,FAM,#NAME?,FALSE,G11,0,FAM,UNKNOWN,,inf,308,7,2,0.1,G11,JG075F_155,L-MMMMx,50,-0.018860532,-0.002241486,0.8981852641562501
310,JG075F,156,FAM,#NAME?,FALSE,G12,0,FAM,UNKNOWN,,inf,310,7,3,0.1,G12,JG075F_156,L-MMMMx,50,-0.024944792,-0.002797613,0.8880260761923655
312,JG075F,157,FAM,#NAME?,FALSE,G13,0,FAM,UNKNOWN,,inf,312,7,4,0.1,G13,JG075F_157,L-MMMMx,50,-0.01884489,-0.002701105,0.8810245782178103
314,JG075F,158,FAM,#NAME?,FALSE,G14,0,FAM,UNKNOWN,,inf,314,7,5,0.1,G14,JG075F_158,L-MMMMx,50,-0.037700137,-0.000372562,0.8405966137790065
316,JG075F,159,FAM,#NAME?,FALSE,G15,0,FAM,UNKNOWN,,inf,316,7,6,0.1,G15,JG075F_159,L-MMMMx,50,-0.029877304,-0.002682013,0.8968115799982577
318,JG075F,160,FAM,#NAME?,FALSE,G16,0,FAM,UNKNOWN,,inf,318,7,7,0.1,G16,JG075F_160,L-MMMMx,50,-0.010722555,-0.00230433,0.9109732979722709
320,JG075F,161,FAM,#NAME?,FALSE,G17,0,FAM,UNKNOWN,,inf,320,7,-2,0.3162277660168379,G17,JG075F_161,L-MMMMx,50,-0.066045417,-0.000470999,0.8378668635608013
322,JG075F,163,FAM,#NAME?,FALSE,G19,0,FAM,UNKNOWN,,inf,322,7,2,0.3162277660168379,G19,JG075F_163,L-MMMMx,50,-0.069018879,-0.000359095,0.8312142521416931
324,JG075F,164,FAM,#NAME?,FALSE,G20,0,FAM,UNKNOWN,,inf,324,7,3,0.3162277660168379,G20,JG075F_164,L-MMMMx,50,-0.080651352,0.000380617,0.821190633
326,JG075F,165,FAM,#NAME?,FALSE,G21,0,FAM,UNKNOWN,,inf,326,7,4,0.3162277660168379,G21,JG075F_165,L-MMMMx,50,-0.067358999,0.000999813,0.8109058777196338
328,JG075F,166,FAM,#NAME?,FALSE,G22,0,FAM,UNKNOWN,,inf,328,7,5,0.3162277660168379,G22,JG075F_166,L-MMMMx,50,-0.055461632,0.000611389,0.804467804
330,JG075F,167,FAM,#NAME?,FALSE,G23,0,FAM,UNKNOWN,,inf,330,7,6,0.3162277660168379,G23,JG075F_167,L-MMMMx,50,-0.069142894,-0.00078669,0.9308571057924235
332,JG075F,168,FAM,#NAME?,FALSE,G24,0,FAM,UNKNOWN,,inf,332,7,7,0.3162277660168379,G24,JG075F_168,L-MMMMx,50,-0.006959425,-0.002105651,0.82371313
334,JG075F,169,FAM,#NAME?,FALSE,H1,0,FAM,UNKNOWN,,inf,334,8,-2,0,H1,JG075F_169,L-MMMMx,50,0.051332382216972595,-0.006953911,0.9105617228496653
336,JG075F,170,FAM,#NAME?,FALSE,H2,0,FAM,UNKNOWN,,inf,336,8,1,0,H2,JG075F_170,L-MMMMx,50,0.028244018,-0.004185182,0.892337731
338,JG075F,171,FAM,#NAME?,FALSE,H3,0,FAM,UNKNOWN,,inf,338,8,2,0,H3,JG075F_171,L-MMMMx,50,0.036911547,-0.006829991,0.9230561468211154
340,JG075F,172,FAM,#NAME?,FALSE,H4,0,FAM,UNKNOWN,,inf,340,8,3,0,H4,JG075F_172,L-MMMMx,50,0.020680653777903697,-0.005738742,0.8642579210291425
342,JG075F,173,FAM,#NAME?,FALSE,H5,0,FAM,UNKNOWN,,inf,342,8,4,0,H5,JG075F_173,L-MMMMx,50,0.010167559153465682,-0.002929836,0.7177793587184655
344,JG075F,174,FAM,#NAME?,FALSE,H6,0,FAM,UNKNOWN,,inf,344,8,5,0,H6,JG075F_174,L-MMMMx,50,0.018209299,-0.004981065,0.8740451930491971
346,JG075F,175,FAM,#NAME?,FALSE,H7,0,FAM,UNKNOWN,,inf,346,8,6,0,H7,JG075F_175,L-MMMMx,50,0.018552975390654314,-0.005050373,0.8671923499807637
348,JG075F,176,FAM,#NAME?,FALSE,H8,0,FAM,UNKNOWN,,inf,348,8,7,0,H8,JG075F_176,L-MMMMx,50,0.012107374,-0.004800049,0.8703766519099286
350,JG075F,177,FAM,#NAME?,FALSE,H9,0,FAM,UNKNOWN,,inf,350,8,-2,0.1,H9,JG075F_177,L-MMMMx,50,0.021383650766678034,-0.005217039,0.9325719391811806
352,JG075F,178,FAM,#NAME?,FALSE,H10,0,FAM,UNKNOWN,,inf,352,8,1,0.1,H10,JG075F_178,L-MMMMx,50,0.004522864,-0.003497263,0.8755504774861271
354,JG075F,179,FAM,#NAME?,FALSE,H11,0,FAM,UNKNOWN,,inf,354,8,2,0.1,H11,JG075F_179,L-MMMMx,50,0.017007521578926797,-0.004315603,0.9472099929182682
356,JG075F,180,FAM,#NAME?,FALSE,H12,0,FAM,UNKNOWN,,inf,356,8,3,0.1,H12,JG075F_180,L-MMMMx,50,0.00756533,-0.003357603,0.9123664296831692
358,JG075F,181,FAM,#NAME?,FALSE,H13,0,FAM,UNKNOWN,,inf,358,8,4,0.1,H13,JG075F_181,L-MMMMx,50,0.007279383,-0.004394142,0.8696163220492343
360,JG075F,182,FAM,#NAME?,FALSE,H14,0,FAM,UNKNOWN,,inf,360,8,5,0.1,H14,JG075F_182,L-MMMMx,50,0.002907202,-0.004385169,0.8895284798216695
362,JG075F,183,FAM,#NAME?,FALSE,H15,0,FAM,UNKNOWN,,inf,362,8,6,0.1,H15,JG075F_183,L-MMMMx,50,0.004912615,-0.004990317,0.8957721181011695
364,JG075F,184,FAM,#NAME?,FALSE,H16,0,FAM,UNKNOWN,,inf,364,8,7,0.1,H16,JG075F_184,L-MMMMx,50,0.005314651,-0.005269145,0.8468122323125031
366,JG075F,185,FAM,#NAME?,FALSE,H17,0,FAM,UNKNOWN,,inf,366,8,-2,0.3162277660168379,H17,JG075F_185,L-MMMMx,50,-0.007766167,-0.002528243,0.902520629
368,JG075F,186,FAM,#NAME?,FALSE,H18,0,FAM,UNKNOWN,,inf,368,8,1,0.3162277660168379,H18,JG075F_186,L-MMMMx,50,-0.015775645,-0.003305096,0.8816104206116492
370,JG075F,187,FAM,#NAME?,FALSE,H19,0,FAM,UNKNOWN,,inf,370,8,2,0.3162277660168379,H19,JG075F_187,L-MMMMx,50,-0.007077764,-0.004092797,0.8881882677781378
372,JG075F,188,FAM,#NAME?,FALSE,H20,0,FAM,UNKNOWN,,inf,372,8,3,0.3162277660168379,H20,JG075F_188,L-MMMMx,50,-0.014917133,-0.002912817,0.871698302
374,JG075F,189,FAM,#NAME?,FALSE,H21,0,FAM,UNKNOWN,,inf,374,8,4,0.3162277660168379,H21,JG075F_189,L-MMMMx,50,-0.006122475,-0.003840821,0.8889288361392453
376,JG075F,190,FAM,#NAME?,FALSE,H22,0,FAM,UNKNOWN,,inf,376,8,5,0.3162277660168379,H22,JG075F_190,L-MMMMx,50,-0.012014295,-0.003375844,0.8458298355677132
378,JG075F,191,FAM,#NAME?,FALSE,H23,0,FAM,UNKNOWN,,inf,378,8,6,0.3162277660168379,H23,JG075F_191,L-MMMMx,50,0.000767789,-0.00253068,0.863904617
380,JG075F,192,FAM,#NAME?,FALSE,H24,0,FAM,UNKNOWN,,inf,380,8,7,0.3162277660168379,H24,JG075F_192,L-MMMMx,50,-0.000808729,-0.002961271,0.8652822571615902
382,JG075F,193,FAM,#NAME?,FALSE,I1,0,FAM,UNKNOWN,,28.98992,382,1,-2,1,I1,JG075F_193,L-MMMMx,50,-0.922568946,0.6105291247367859,-0.403617048
384,JG075F,194,FAM,#NAME?,FALSE,I2,0,FAM,UNKNOWN,,29.094177,384,1,1,1,I2,JG075F_194,L-MMMMx,50,-0.819608073,0.5325044393539429,-0.248424267
386,JG075F,195,FAM,#NAME?,FALSE,I3,0,FAM,UNKNOWN,,29.190615,386,1,2,1,I3,JG075F_195,L-MMMMx,50,-0.744699597,0.47951701283454895,-0.149768135
388,JG075F,196,FAM,#NAME?,FALSE,I4,0,FAM,UNKNOWN,,29.001322,388,1,3,1,I4,JG075F_196,L-MMMMx,50,-0.61685909,0.39181095361709595,0.035567298
390,JG075F,197,FAM,#NAME?,FALSE,I5,0,FAM,UNKNOWN,,28.968994,390,1,4,1,I5,JG075F_197,L-MMMMx,50,-0.48742163,0.29792526364326477,0.22026207592524844
392,JG075F,198,FAM,#NAME?,FALSE,I6,0,FAM,UNKNOWN,,29.731806,392,1,5,1,I6,JG075F_198,L-MMMMx,50,-0.325253727,0.1845533400774002,0.45295123374614293
394,JG075F,199,FAM,#NAME?,FALSE,I7,0,FAM,UNKNOWN,,inf,394,1,6,1,I7,JG075F_199,L-MMMMx,50,-0.142815168,0.003441913,0.6836343225425842
396,JG075F,200,FAM,#NAME?,FALSE,I8,0,FAM,UNKNOWN,,inf,396,1,7,1,I8,JG075F_200,L-MMMMx,50,-0.024670657,-0.003569545,0.8655491369908973
398,JG075F,201,FAM,#NAME?,FALSE,I9,0,FAM,UNKNOWN,,29.073072,398,1,-2,3.1622776601683795,I9,JG075F_201,L-MMMMx,50,-0.971502607,0.6272565722465515,-0.417258362
400,JG075F,202,FAM,#NAME?,FALSE,I10,0,FAM,UNKNOWN,,29.043407,400,1,1,3.1622776601683795,I10,JG075F_202,L-MMMMx,50,-0.870896147,0.5616230964660645,-0.294003867
402,JG075F,203,FAM,#NAME?,FALSE,I11,0,FAM,UNKNOWN,,28.90586,402,1,2,3.1622776601683795,I11,JG075F_203,L-MMMMx,50,-0.794368779,0.505964994,-0.194488288
404,JG075F,204,FAM,#NAME?,FALSE,I12,0,FAM,UNKNOWN,,28.988874,404,1,3,3.1622776601683795,I12,JG075F_204,L-MMMMx,50,-0.634842603,0.3921302556991577,0.044515276
406,JG075F,205,FAM,#NAME?,FALSE,I13,0,FAM,UNKNOWN,,28.949862,406,1,4,3.1622776601683795,I13,JG075F_205,L-MMMMx,50,-0.489765625,0.29900386929512024,0.23681252984796625
408,JG075F,206,FAM,#NAME?,FALSE,I14,0,FAM,UNKNOWN,,29.635023,408,1,5,3.1622776601683795,I14,JG075F_206,L-MMMMx,50,-0.326053565,0.189014271,0.47403954413593075
410,JG075F,207,FAM,#NAME?,FALSE,I15,0,FAM,UNKNOWN,,inf,410,1,6,3.1622776601683795,I15,JG075F_207,L-MMMMx,50,-0.145044243,0.000471415,0.6970783067832634
412,JG075F,208,FAM,#NAME?,FALSE,I16,0,FAM,UNKNOWN,,inf,412,1,7,3.1622776601683795,I16,JG075F_208,L-MMMMx,50,-0.04076407,-0.002038536,0.8610179571042657
414,JG075F,209,FAM,#NAME?,FALSE,I17,0,FAM,UNKNOWN,,29.086386,414,1,-2,10,I17,JG075F_209,L-MMMMx,50,-1,0.6274515986442566,-0.461765014
416,JG075F,210,FAM,#NAME?,FALSE,I18,0,FAM,UNKNOWN,,28.907108,416,1,1,10,I18,JG075F_210,L-MMMMx,50,-0.896547146,0.5720385313034058,-0.343781988
418,JG075F,211,FAM,#NAME?,FALSE,I19,0,FAM,UNKNOWN,,29.25633,418,1,2,10,I19,JG075F_211,L-MMMMx,50,-0.767832677,0.4880245625972748,-0.166073222
420,JG075F,212,FAM,#NAME?,FALSE,I20,0,FAM,UNKNOWN,,29.150414,420,1,3,10,I20,JG075F_212,L-MMMMx,50,-0.629702217,0.39189931750297546,0.034499438863947796
422,JG075F,213,FAM,#NAME?,FALSE,I21,0,FAM,UNKNOWN,,28.904192,422,1,4,10,I21,JG075F_213,L-MMMMx,50,-0.490578696,0.300324947,0.22793656403163393
424,JG075F,214,FAM,#NAME?,FALSE,I22,0,FAM,UNKNOWN,,30.119364,424,1,5,10,I22,JG075F_214,L-MMMMx,50,-0.289030772,0.1682049036026001,0.5007947336246605
426,JG075F,216,FAM,#NAME?,FALSE,I24,0,FAM,UNKNOWN,,inf,426,1,7,10,I24,JG075F_216,L-MMMMx,50,-0.027013237,-0.001939393,0.8311719595612004
428,JG075F,217,FAM,#NAME?,FALSE,J1,0,FAM,UNKNOWN,,29.204168,428,2,-2,1,J1,JG075F_217,L-MMMMx,50,-0.907837282,0.6142382025718689,-0.41417177
430,JG075F,218,FAM,#NAME?,FALSE,J2,0,FAM,UNKNOWN,,28.724789,430,2,1,1,J2,JG075F_218,L-MMMMx,50,-0.855935766,0.5675998330116272,-0.323156394
432,JG075F,219,FAM,#NAME?,FALSE,J3,0,FAM,UNKNOWN,,28.822128,432,2,2,1,J3,JG075F_219,L-MMMMx,50,-0.782856191,0.5208050608634949,-0.218854528
434,JG075F,220,FAM,#NAME?,FALSE,J4,0,FAM,UNKNOWN,,29.067318,434,2,3,1,J4,JG075F_220,L-MMMMx,50,-0.630858645,0.4020322263240814,0.006357377
436,JG075F,221,FAM,#NAME?,FALSE,J5,0,FAM,UNKNOWN,,28.969587,436,2,4,1,J5,JG075F_221,L-MMMMx,50,-0.49515213,0.3041408360004425,0.21019811635652835
438,JG075F,222,FAM,#NAME?,FALSE,J6,0,FAM,UNKNOWN,,29.883583,438,2,5,1,J6,JG075F_222,L-MMMMx,50,-0.314662747,0.17720335721969604,0.47277422235161104
440,JG075F,223,FAM,#NAME?,FALSE,J7,0,FAM,UNKNOWN,,inf,440,2,6,1,J7,JG075F_223,L-MMMMx,50,-0.134123445,0.004170556,0.6981429384724225
442,JG075F,224,FAM,#NAME?,FALSE,J8,0,FAM,UNKNOWN,,inf,442,2,7,1,J8,JG075F_224,L-MMMMx,50,-0.03975385,-0.00131542,0.8236461610582856
444,JG075F,225,FAM,#NAME?,FALSE,J9,0,FAM,UNKNOWN,,29.108797,444,2,-2,3.1622776601683795,J9,JG075F_225,L-MMMMx,50,-0.960076109,0.6196061968803406,-0.410087278
446,JG075F,226,FAM,#NAME?,FALSE,J10,0,FAM,UNKNOWN,,28.941742,446,2,1,3.1622776601683795,J10,JG075F_226,L-MMMMx,50,-0.879662644,0.5655452013015747,-0.313358512
448,JG075F,227,FAM,#NAME?,FALSE,J11,0,FAM,UNKNOWN,,29.08173,448,2,2,3.1622776601683795,J11,JG075F_227,L-MMMMx,50,-0.78846348,0.5022338032722473,-0.189151036
450,JG075F,228,FAM,#NAME?,FALSE,J12,0,FAM,UNKNOWN,,29.31493,450,2,3,3.1622776601683795,J12,JG075F_228,L-MMMMx,50,-0.630035299,0.39355337619781494,0.045594148
452,JG075F,229,FAM,#NAME?,FALSE,J13,0,FAM,UNKNOWN,,28.943575,452,2,4,3.1622776601683795,J13,JG075F_229,L-MMMMx,50,-0.493438118,0.29740267992019653,0.22506664706496388
454,JG075F,230,FAM,#NAME?,FALSE,J14,0,FAM,UNKNOWN,,29.614988,454,2,5,3.1622776601683795,J14,JG075F_230,L-MMMMx,50,-0.331168615,0.1877816617488861,0.467499014
456,JG075F,231,FAM,#NAME?,FALSE,J15,0,FAM,UNKNOWN,,inf,456,2,6,3.1622776601683795,J15,JG075F_231,L-MMMMx,50,-0.159813457,0.004036083,0.6930332280785884
458,JG075F,232,FAM,#NAME?,FALSE,J16,0,FAM,UNKNOWN,,inf,458,2,7,3.1622776601683795,J16,JG075F_232,L-MMMMx,50,-0.034938112,-0.001765547,0.9076124337814213
460,JG075F,233,FAM,#NAME?,FALSE,J17,0,FAM,UNKNOWN,,29.150887,460,2,-2,10,J17,JG075F_233,L-MMMMx,50,-0.965581965,0.6246868968009949,-0.438340364
462,JG075F,234,FAM,#NAME?,FALSE,J18,0,FAM,UNKNOWN,,28.943169,462,2,1,10,J18,JG075F_234,L-MMMMx,50,-0.888673924,0.570003092,-0.347493914
464,JG075F,235,FAM,#NAME?,FALSE,J19,0,FAM,UNKNOWN,,28.968302,464,2,2,10,J19,JG075F_235,L-MMMMx,50,-0.799342731,0.5011622905731201,-0.216080201
466,JG075F,236,FAM,#NAME?,FALSE,J20,0,FAM,UNKNOWN,,29.423513,466,2,3,10,J20,JG075F_236,L-MMMMx,50,-0.627287007,0.3937070667743683,0.035428341
468,JG075F,237,FAM,#NAME?,FALSE,J21,0,FAM,UNKNOWN,,29.206045,468,2,4,10,J21,JG075F_237,L-MMMMx,50,-0.44795798,0.28182074427604675,0.27002584489129133
470,JG075F,238,FAM,#NAME?,FALSE,J22,0,FAM,UNKNOWN,,30.015205,470,2,5,10,J22,JG075F_238,L-MMMMx,50,-0.30377054,0.18503059446811676,0.4894032245973219
472,JG075F,240,FAM,#NAME?,FALSE,J24,0,FAM,UNKNOWN,,inf,472,2,7,10,J24,JG075F_240,L-MMMMx,50,-0.027072074,-0.001485384,0.8314152914443127
474,JG075F,241,FAM,#NAME?,FALSE,K1,0,FAM,UNKNOWN,,28.86748,474,3,-2,1,K1,JG075F_241,L-MMMMx,50,-0.842649368,0.5600000023841858,-0.28303455
476,JG075F,242,FAM,#NAME?,FALSE,K2,0,FAM,UNKNOWN,,28.843485,476,3,1,1,K2,JG075F_242,L-MMMMx,50,-0.833160199,0.546342134,-0.278199968
478,JG075F,243,FAM,#NAME?,FALSE,K3,0,FAM,UNKNOWN,,28.95231,478,3,2,1,K3,JG075F_243,L-MMMMx,50,-0.750826618,0.48547709,-0.176414059
480,JG075F,244,FAM,#NAME?,FALSE,K4,0,FAM,UNKNOWN,,29.070086,480,3,3,1,K4,JG075F_244,L-MMMMx,50,-0.626011196,0.40084484219551086,0.006535188
482,JG075F,245,FAM,#NAME?,FALSE,K5,0,FAM,UNKNOWN,,29.069817,482,3,4,1,K5,JG075F_245,L-MMMMx,50,-0.476242123,0.2899011969566345,0.2421688578049142
484,JG075F,246,FAM,#NAME?,FALSE,K6,0,FAM,UNKNOWN,,29.862011,484,3,5,1,K6,JG075F_246,L-MMMMx,50,-0.296565933,0.17547528445720673,0.47760061631312345
486,JG075F,247,FAM,#NAME?,FALSE,K7,0,FAM,UNKNOWN,,inf,486,3,6,1,K7,JG075F_247,L-MMMMx,50,-0.135084635,0.0028429,0.7234793334215674
488,JG075F,248,FAM,#NAME?,FALSE,K8,0,FAM,UNKNOWN,,inf,488,3,7,1,K8,JG075F_248,L-MMMMx,50,-0.022266602,-0.00359418,0.8607087510151289
490,JG075F,249,FAM,#NAME?,FALSE,K9,0,FAM,UNKNOWN,,29.06908,490,3,-2,3.1622776601683795,K9,JG075F_249,L-MMMMx,50,-0.905682216,0.5747498273849487,-0.370321894
492,JG075F,250,FAM,#NAME?,FALSE,K10,0,FAM,UNKNOWN,,28.979076,492,3,1,3.1622776601683795,K10,JG075F_250,L-MMMMx,50,-0.883866015,0.552379847,-0.343711994
494,JG075F,251,FAM,#NAME?,FALSE,K11,0,FAM,UNKNOWN,,28.977509,494,3,2,3.1622776601683795,K11,JG075F_251,L-MMMMx,50,-0.781832295,0.4937419,-0.193795051
496,JG075F,252,FAM,#NAME?,FALSE,K12,0,FAM,UNKNOWN,,29.28568,496,3,3,3.1622776601683795,K12,JG075F_252,L-MMMMx,50,-0.624754466,0.3958507478237152,0.044396383003859397
498,JG075F,253,FAM,#NAME?,FALSE,K13,0,FAM,UNKNOWN,,29.187023,498,3,4,3.1622776601683795,K13,JG075F_253,L-MMMMx,50,-0.481820103,0.2935654819011688,0.24779117347827578
500,JG075F,254,FAM,#NAME?,FALSE,K14,0,FAM,UNKNOWN,,29.896591,500,3,5,3.1622776601683795,K14,JG075F_254,L-MMMMx,50,-0.325115413,0.1849401444196701,0.46962635681747616
502,JG075F,255,FAM,#NAME?,FALSE,K15,0,FAM,UNKNOWN,,inf,502,3,6,3.1622776601683795,K15,JG075F_255,L-MMMMx,50,-0.142426418,0.001532889,0.5481625084365703
504,JG075F,256,FAM,#NAME?,FALSE,K16,0,FAM,UNKNOWN,,inf,504,3,7,3.1622776601683795,K16,JG075F_256,L-MMMMx,50,-0.043514232,-0.000937952,0.8572788454954348
506,JG075F,257,FAM,#NAME?,FALSE,K17,0,FAM,UNKNOWN,,29.017315,506,3,-2,10,K17,JG075F_257,L-MMMMx,50,-0.939583038,0.602686346,-0.393521481
508,JG075F,258,FAM,#NAME?,FALSE,K18,0,FAM,UNKNOWN,,29.128408,508,3,1,10,K18,JG075F_258,L-MMMMx,50,-0.875954349,0.5546761155128479,-0.369793895
510,JG075F,259,FAM,#NAME?,FALSE,K19,0,FAM,UNKNOWN,,29.100668,510,3,2,10,K19,JG075F_259,L-MMMMx,50,-0.80104552,0.4990866780281067,-0.238131118
512,JG075F,260,FAM,#NAME?,FALSE,K20,0,FAM,UNKNOWN,,29.362906,512,3,3,10,K20,JG075F_260,L-MMMMx,50,-0.643011573,0.3973761796951294,-0.005502973
514,JG075F,261,FAM,#NAME?,FALSE,K21,0,FAM,UNKNOWN,,29.390282,514,3,4,10,K21,JG075F_261,L-MMMMx,50,-0.45967394,0.2772751748561859,0.24667143151588672
516,JG075F,262,FAM,#NAME?,FALSE,K22,0,FAM,UNKNOWN,,29.844986,516,3,5,10,K22,JG075F_262,L-MMMMx,50,-0.299711389,0.17658215761184692,0.48222544297711134
518,JG075F,264,FAM,#NAME?,FALSE,K24,0,FAM,UNKNOWN,,inf,518,3,7,10,K24,JG075F_264,L-MMMMx,50,-0.023913091,-0.001583283,0.8322165879245244
520,JG075F,265,FAM,#NAME?,FALSE,L1,0,FAM,UNKNOWN,,29.02759,520,4,-2,1,L1,JG075F_265,L-MMMMx,50,-0.657743123,0.4490199685096741,-0.042726197
522,JG075F,266,FAM,#NAME?,FALSE,L2,0,FAM,UNKNOWN,,28.876448,522,4,1,1,L2,JG075F_266,L-MMMMx,50,-0.731875515,0.47426190972328186,-0.152453877
524,JG075F,267,FAM,#NAME?,FALSE,L3,0,FAM,UNKNOWN,,28.623554,524,4,2,1,L3,JG075F_267,L-MMMMx,50,-0.728923824,0.48139405250549316,-0.118292726
526,JG075F,268,FAM,#NAME?,FALSE,L4,0,FAM,UNKNOWN,,28.978401,526,4,3,1,L4,JG075F_268,L-MMMMx,50,-0.582364965,0.368977815,0.011409688185863853
528,JG075F,269,FAM,#NAME?,FALSE,L5,0,FAM,UNKNOWN,,28.77822,528,4,4,1,L5,JG075F_269,L-MMMMx,50,-0.474770694,0.2997977137565613,0.22260351136180617
530,JG075F,270,FAM,#NAME?,FALSE,L6,0,FAM,UNKNOWN,,29.74526,530,4,5,1,L6,JG075F_270,L-MMMMx,50,-0.307168017,0.17553560435771942,0.473366319
532,JG075F,271,FAM,#NAME?,FALSE,L7,0,FAM,UNKNOWN,,inf,532,4,6,1,L7,JG075F_271,L-MMMMx,50,-0.141709182,0.004854772,0.7037598142650681
534,JG075F,272,FAM,#NAME?,FALSE,L8,0,FAM,UNKNOWN,,inf,534,4,7,1,L8,JG075F_272,L-MMMMx,50,-0.027782976,-0.002395852,0.8429527914436099
536,JG075F,273,FAM,#NAME?,FALSE,L9,0,FAM,UNKNOWN,,29.098616,536,4,-2,3.1622776601683795,L9,JG075F_273,L-MMMMx,50,-0.854674465,0.5347896218299866,-0.300515005
538,JG075F,274,FAM,#NAME?,FALSE,L10,0,FAM,UNKNOWN,,28.993141,538,4,1,3.1622776601683795,L10,JG075F_274,L-MMMMx,50,-0.834057255,0.5228482484817505,-0.265620977
540,JG075F,275,FAM,#NAME?,FALSE,L11,0,FAM,UNKNOWN,,29.154585,540,4,2,3.1622776601683795,L11,JG075F_275,L-MMMMx,50,-0.751340357,0.47940388321876526,-0.144387107
542,JG075F,276,FAM,#NAME?,FALSE,L12,0,FAM,UNKNOWN,,29.184616,542,4,3,3.1622776601683795,L12,JG075F_276,L-MMMMx,50,-0.623802592,0.38840943574905396,0.034547095
544,JG075F,277,FAM,#NAME?,FALSE,L13,0,FAM,UNKNOWN,,28.891357,544,4,4,3.1622776601683795,L13,JG075F_277,L-MMMMx,50,-0.479086015,0.30621257424354553,0.24474249261779585
