,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,Configuration,WellName,lg10_Blocker,Cycle,Fluorescence,Corr_Fluorescence
23127,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,44,-0.7558640394349493,0.6356386542320251
23128,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,45,-0.0009757920988244962,-0.01780848018825054
23129,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,45,-0.7738367513429784,0.6507056355476379
23130,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,46,-0.0009168889969431857,-0.01849084533751011
23131,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,46,-0.7923204693167137,0.6662101745605469
23132,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,47,0.00010129869613924525,-0.018431100994348526
23133,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,47,-0.8051229776388186,0.6768500804901123
23134,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,48,0.0007332839063177273,-0.018670126795768738
23135,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,48,-0.8167575019292539,0.6864898204803467
23136,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,49,0.002386654296469516,-0.018119003623723984
23137,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,49,-0.8263649171556062,0.6943938732147217
23138,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,50,0.004281993543989854,-0.017380690202116966
23139,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,50,-0.835575973774394,0.7019585371017456
23400,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,1,-0.0020148549510514238,0.00697129312902689
23401,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,1,0.0008880957907530748,0.0017517564119771123
23402,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,2,-0.0021751915828565342,0.006438900716602802
23403,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,2,0.0007116521693051726,0.0015229813288897276
23404,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,3,-0.002480262651396821,0.005794541444629431
23405,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,HEX,JG075B_195,STANDARD,,261,L-MMMMx,1.0,2+2,I3,0.0,3,-1.9460309664080924e-05,0.0017691509565338492
