col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,Well,WellName,Sample,MasterMix
14,4,RNA,10,3.333333333333334,2.8900000000000006,111,E15,JG073N_111,TaqMan Fast Virus
15,4,RNA,10,3.333333333333334,,112,E16,JG073N_112,TaqMan Fast Virus
16,4,RNA,1,2.333333333333334,3.91,113,E17,JG073N_113,TaqMan Fast Virus
17,4,RNA,1,2.333333333333334,3.5733333333333333,114,E18,JG073N_114,TaqMan Fast Virus
18,4,RNA,1,2.333333333333334,3.2366666666666664,115,E19,JG073N_115,TaqMan Fast Virus
19,4,RNA,1,2.333333333333334,2.9000000000000004,116,E20,JG073N_116,TaqMan Fast Virus
20,4,RNA,1,2.333333333333334,2.5633333333333335,117,E21,JG073N_117,TaqMan Fast Virus
21,4,RNA,1,2.333333333333334,2.2266666666666666,118,E22,JG073N_118,TaqMan Fast Virus
22,4,RNA,1,2.333333333333334,1.8900000000000001,119,E23,JG073N_119,TaqMan Fast Virus
23,4,RNA,1,2.333333333333334,,120,E24,JG073N_120,TaqMan Fast Virus
0,5,RNA,100,3.666666666666667,5.91,121,F1,JG073N_121,TaqMan Fast Virus
1,5,RNA,100,3.666666666666667,5.573333333333333,122,F2,JG073N_122,TaqMan Fast Virus
2,5,RNA,100,3.666666666666667,5.236666666666666,123,F3,JG073N_123,TaqMan Fast Virus
3,5,RNA,100,3.666666666666667,4.9,124,F4,JG073N_124,TaqMan Fast Virus
4,5,RNA,100,3.666666666666667,4.5633333333333335,125,F5,JG073N_125,TaqMan Fast Virus
5,5,RNA,100,3.666666666666667,4.226666666666667,126,F6,JG073N_126,TaqMan Fast Virus
6,5,RNA,100,3.666666666666667,3.8900000000000006,127,F7,JG073N_127,TaqMan Fast Virus
7,5,RNA,100,3.666666666666667,,128,F8,JG073N_128,TaqMan Fast Virus
8,5,RNA,10,2.666666666666667,4.91,129,F9,JG073N_129,TaqMan Fast Virus
9,5,RNA,10,2.666666666666667,4.573333333333333,130,F10,JG073N_130,TaqMan Fast Virus
10,5,RNA,10,2.666666666666667,4.236666666666666,131,F11,JG073N_131,TaqMan Fast Virus
11,5,RNA,10,2.666666666666667,3.9000000000000004,132,F12,JG073N_132,TaqMan Fast Virus
12,5,RNA,10,2.666666666666667,3.5633333333333335,133,F13,JG073N_133,TaqMan Fast Virus
13,5,RNA,10,2.666666666666667,3.2266666666666666,134,F14,JG073N_134,TaqMan Fast Virus
14,5,RNA,10,2.666666666666667,2.8900000000000006,135,F15,JG073N_135,TaqMan Fast Virus
15,5,RNA,10,2.666666666666667,,136,F16,JG073N_136,TaqMan Fast Virus
16,5,RNA,1,1.666666666666667,3.91,137,F17,JG073N_137,TaqMan Fast Virus
17,5,RNA,1,1.666666666666667,3.5733333333333333,138,F18,JG073N_138,TaqMan Fast Virus
18,5,RNA,1,1.666666666666667,3.2366666666666664,139,F19,JG073N_139,TaqMan Fast Virus
19,5,RNA,1,1.666666666666667,2.9000000000000004,140,F20,JG073N_140,TaqMan Fast Virus
20,5,RNA,1,1.666666666666667,2.5633333333333335,141,F21,JG073N_141,TaqMan Fast Virus
21,5,RNA,1,1.666666666666667,2.2266666666666666,142,F22,JG073N_142,TaqMan Fast Virus
22,5,RNA,1,1.666666666666667,1.8900000000000001,143,F23,JG073N_143,TaqMan Fast Virus
23,5,RNA,1,1.666666666666667,,144,F24,JG073N_144,TaqMan Fast Virus
