Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
8,Cy5_IBRQ,4,311,M23,JG076D_311,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,None
9,Cy5_IBRQ,4,312,M24,JG076D_312,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,None
1,Cy3_IBRQ,4,313,N1,JG076D_313,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy3,IBRQ,None
2,Cy3_IBRQ,4,314,N2,JG076D_314,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy3,IBRQ,None
3,Cy3_IBRQ,4,315,N3,JG076D_315,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy3,IBRQ,None
5,Cy3_IBRQ,4,316,N4,JG076D_316,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy3,IBRQ,None
6,Cy3_IBRQ,4,317,N5,JG076D_317,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy3,IBRQ,None
7,Cy3_IBRQ,4,318,N6,JG076D_318,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy3,IBRQ,None
8,Cy3_IBRQ,4,319,N7,JG076D_319,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy3,IBRQ,None
9,Cy3_IBRQ,4,320,N8,JG076D_320,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy3,IBRQ,None
1,Cy5_T_IBRQ,4,321,N9,JG076D_321,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,T
2,Cy5_T_IBRQ,4,322,N10,JG076D_322,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,T
3,Cy5_T_IBRQ,4,323,N11,JG076D_323,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,T
5,Cy5_T_IBRQ,4,324,N12,JG076D_324,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,T
6,Cy5_T_IBRQ,4,325,N13,JG076D_325,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,T
7,Cy5_T_IBRQ,4,326,N14,JG076D_326,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,T
8,Cy5_T_IBRQ,4,327,N15,JG076D_327,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,T
9,Cy5_T_IBRQ,4,328,N16,JG076D_328,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,T
1,Cy5_IBRQ,4,329,N17,JG076D_329,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,None
2,Cy5_IBRQ,4,330,N18,JG076D_330,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,None
3,Cy5_IBRQ,4,331,N19,JG076D_331,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,None
5,Cy5_IBRQ,4,332,N20,JG076D_332,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,None
6,Cy5_IBRQ,4,333,N21,JG076D_333,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,None
7,Cy5_IBRQ,4,334,N22,JG076D_334,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,None
8,Cy5_IBRQ,4,335,N23,JG076D_335,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,None
9,Cy5_IBRQ,4,336,N24,JG076D_336,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,None
1,Cy3_IBRQ,2,337,O1,JG076D_337,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy3,IBRQ,None
2,Cy3_IBRQ,2,338,O2,JG076D_338,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy3,IBRQ,None
3,Cy3_IBRQ,2,339,O3,JG076D_339,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy3,IBRQ,None
5,Cy3_IBRQ,2,340,O4,JG076D_340,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy3,IBRQ,None
6,Cy3_IBRQ,2,341,O5,JG076D_341,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy3,IBRQ,None
7,Cy3_IBRQ,2,342,O6,JG076D_342,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy3,IBRQ,None
8,Cy3_IBRQ,2,343,O7,JG076D_343,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy3,IBRQ,None
9,Cy3_IBRQ,2,344,O8,JG076D_344,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy3,IBRQ,None
1,Cy5_T_IBRQ,2,345,O9,JG076D_345,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,T
2,Cy5_T_IBRQ,2,346,O10,JG076D_346,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,T
3,Cy5_T_IBRQ,2,347,O11,JG076D_347,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,T
5,Cy5_T_IBRQ,2,348,O12,JG076D_348,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,T
6,Cy5_T_IBRQ,2,349,O13,JG076D_349,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,T
7,Cy5_T_IBRQ,2,350,O14,JG076D_350,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,T
8,Cy5_T_IBRQ,2,351,O15,JG076D_351,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,T
9,Cy5_T_IBRQ,2,352,O16,JG076D_352,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,T
1,Cy5_IBRQ,2,353,O17,JG076D_353,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,None
2,Cy5_IBRQ,2,354,O18,JG076D_354,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,None
3,Cy5_IBRQ,2,355,O19,JG076D_355,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,None
5,Cy5_IBRQ,2,356,O20,JG076D_356,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,None
6,Cy5_IBRQ,2,357,O21,JG076D_357,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,None
7,Cy5_IBRQ,2,358,O22,JG076D_358,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,None
8,Cy5_IBRQ,2,359,O23,JG076D_359,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,None
9,Cy5_IBRQ,2,360,O24,JG076D_360,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,None
1,Cy3_IBRQ,2,361,P1,JG076D_361,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy3,IBRQ,None
2,Cy3_IBRQ,2,362,P2,JG076D_362,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy3,IBRQ,None
3,Cy3_IBRQ,2,363,P3,JG076D_363,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy3,IBRQ,None
5,Cy3_IBRQ,2,364,P4,JG076D_364,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy3,IBRQ,None
6,Cy3_IBRQ,2,365,P5,JG076D_365,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy3,IBRQ,None
7,Cy3_IBRQ,2,366,P6,JG076D_366,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy3,IBRQ,None
8,Cy3_IBRQ,2,367,P7,JG076D_367,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy3,IBRQ,None
9,Cy3_IBRQ,2,368,P8,JG076D_368,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy3,IBRQ,None
1,Cy5_T_IBRQ,2,369,P9,JG076D_369,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,T
2,Cy5_T_IBRQ,2,370,P10,JG076D_370,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,T
3,Cy5_T_IBRQ,2,371,P11,JG076D_371,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,T
5,Cy5_T_IBRQ,2,372,P12,JG076D_372,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,T
6,Cy5_T_IBRQ,2,373,P13,JG076D_373,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,T
7,Cy5_T_IBRQ,2,374,P14,JG076D_374,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,T
8,Cy5_T_IBRQ,2,375,P15,JG076D_375,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,T
9,Cy5_T_IBRQ,2,376,P16,JG076D_376,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,T
1,Cy5_IBRQ,2,377,P17,JG076D_377,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,None
2,Cy5_IBRQ,2,378,P18,JG076D_378,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,None
3,Cy5_IBRQ,2,379,P19,JG076D_379,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,None
5,Cy5_IBRQ,2,380,P20,JG076D_380,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,None
6,Cy5_IBRQ,2,381,P21,JG076D_381,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,None
7,Cy5_IBRQ,2,382,P22,JG076D_382,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,None
8,Cy5_IBRQ,2,383,P23,JG076D_383,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,None
9,Cy5_IBRQ,2,384,P24,JG076D_384,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,None
