* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
94	FAM	JG073N_094	FAM		None	UNKNOWN
94	HEX	JG073N_094	HEX		None	UNKNOWN
95	FAM	JG073N_095	FAM		None	UNKNOWN
95	HEX	JG073N_095	HEX		None	UNKNOWN
96	FAM	JG073N_096	FAM		None	UNKNOWN
96	HEX	JG073N_096	HEX		None	UNKNOWN
97	FAM	JG073N_097	FAM		None	UNKNOWN
97	HEX	JG073N_097	HEX		None	UNKNOWN
98	FAM	JG073N_098	FAM		None	UNKNOWN
98	HEX	JG073N_098	HEX		None	UNKNOWN
99	FAM	JG073N_099	FAM		None	UNKNOWN
99	HEX	JG073N_099	HEX		None	UNKNOWN
100	FAM	JG073N_100	FAM		None	UNKNOWN
100	HEX	JG073N_100	HEX		None	UNKNOWN
101	FAM	JG073N_101	FAM		None	UNKNOWN
101	HEX	JG073N_101	HEX		None	UNKNOWN
102	FAM	JG073N_102	FAM		None	UNKNOWN
102	HEX	JG073N_102	HEX		None	UNKNOWN
103	FAM	JG073N_103	FAM		None	UNKNOWN
103	HEX	JG073N_103	HEX		None	UNKNOWN
104	FAM	JG073N_104	FAM		None	UNKNOWN
104	HEX	JG073N_104	HEX		None	UNKNOWN
105	FAM	JG073N_105	FAM		None	UNKNOWN
105	HEX	JG073N_105	HEX		None	UNKNOWN
106	FAM	JG073N_106	FAM		None	UNKNOWN
106	HEX	JG073N_106	HEX		None	UNKNOWN
107	FAM	JG073N_107	FAM		None	UNKNOWN
107	HEX	JG073N_107	HEX		None	UNKNOWN
108	FAM	JG073N_108	FAM		None	UNKNOWN
108	HEX	JG073N_108	HEX		None	UNKNOWN
109	FAM	JG073N_109	FAM		None	UNKNOWN
109	HEX	JG073N_109	HEX		None	UNKNOWN
110	FAM	JG073N_110	FAM		None	UNKNOWN
110	HEX	JG073N_110	HEX		None	UNKNOWN
111	FAM	JG073N_111	FAM		None	UNKNOWN
111	HEX	JG073N_111	HEX		None	UNKNOWN
112	FAM	JG073N_112	FAM		None	UNKNOWN
112	HEX	JG073N_112	HEX		None	UNKNOWN
113	FAM	JG073N_113	FAM		None	UNKNOWN
113	HEX	JG073N_113	HEX		None	UNKNOWN
114	FAM	JG073N_114	FAM		None	UNKNOWN
114	HEX	JG073N_114	HEX		None	UNKNOWN
115	FAM	JG073N_115	FAM		None	UNKNOWN
115	HEX	JG073N_115	HEX		None	UNKNOWN
116	FAM	JG073N_116	FAM		None	UNKNOWN
116	HEX	JG073N_116	HEX		None	UNKNOWN
117	FAM	JG073N_117	FAM		None	UNKNOWN
117	HEX	JG073N_117	HEX		None	UNKNOWN
118	FAM	JG073N_118	FAM		None	UNKNOWN
118	HEX	JG073N_118	HEX		None	UNKNOWN
119	FAM	JG073N_119	FAM		None	UNKNOWN
119	HEX	JG073N_119	HEX		None	UNKNOWN
120	FAM	JG073N_120	FAM		None	UNKNOWN
120	HEX	JG073N_120	HEX		None	UNKNOWN
121	FAM	JG073N_121	FAM		None	UNKNOWN
121	HEX	JG073N_121	HEX		None	UNKNOWN
122	FAM	JG073N_122	FAM		None	UNKNOWN
122	HEX	JG073N_122	HEX		None	UNKNOWN
123	FAM	JG073N_123	FAM		None	UNKNOWN
123	HEX	JG073N_123	HEX		None	UNKNOWN
124	FAM	JG073N_124	FAM		None	UNKNOWN
124	HEX	JG073N_124	HEX		None	UNKNOWN
125	FAM	JG073N_125	FAM		None	UNKNOWN
125	HEX	JG073N_125	HEX		None	UNKNOWN
126	FAM	JG073N_126	FAM		None	UNKNOWN
126	HEX	JG073N_126	HEX		None	UNKNOWN
127	FAM	JG073N_127	FAM		None	UNKNOWN
127	HEX	JG073N_127	HEX		None	UNKNOWN
128	FAM	JG073N_128	FAM		None	UNKNOWN
128	HEX	JG073N_128	HEX		None	UNKNOWN
129	FAM	JG073N_129	FAM		None	UNKNOWN
129	HEX	JG073N_129	HEX		None	UNKNOWN
130	FAM	JG073N_130	FAM		None	UNKNOWN
130	HEX	JG073N_130	HEX		None	UNKNOWN
131	FAM	JG073N_131	FAM		None	UNKNOWN
131	HEX	JG073N_131	HEX		None	UNKNOWN
132	FAM	JG073N_132	FAM		None	UNKNOWN
132	HEX	JG073N_132	HEX		None	UNKNOWN
133	FAM	JG073N_133	FAM		None	UNKNOWN
133	HEX	JG073N_133	HEX		None	UNKNOWN
134	FAM	JG073N_134	FAM		None	UNKNOWN
134	HEX	JG073N_134	HEX		None	UNKNOWN
135	FAM	JG073N_135	FAM		None	UNKNOWN
135	HEX	JG073N_135	HEX		None	UNKNOWN
136	FAM	JG073N_136	FAM		None	UNKNOWN
136	HEX	JG073N_136	HEX		None	UNKNOWN
137	FAM	JG073N_137	FAM		None	UNKNOWN
137	HEX	JG073N_137	HEX		None	UNKNOWN
138	FAM	JG073N_138	FAM		None	UNKNOWN
138	HEX	JG073N_138	HEX		None	UNKNOWN
139	FAM	JG073N_139	FAM		None	UNKNOWN
139	HEX	JG073N_139	HEX		None	UNKNOWN
140	FAM	JG073N_140	FAM		None	UNKNOWN
140	HEX	JG073N_140	HEX		None	UNKNOWN
141	FAM	JG073N_141	FAM		None	UNKNOWN
141	HEX	JG073N_141	HEX		None	UNKNOWN
142	FAM	JG073N_142	FAM		None	UNKNOWN
142	HEX	JG073N_142	HEX		None	UNKNOWN
143	FAM	JG073N_143	FAM		None	UNKNOWN
143	HEX	JG073N_143	HEX		None	UNKNOWN
144	FAM	JG073N_144	FAM		None	UNKNOWN
144	HEX	JG073N_144	HEX		None	UNKNOWN
145	FAM	JG073N_145	FAM		None	UNKNOWN
145	HEX	JG073N_145	HEX		None	UNKNOWN
146	FAM	JG073N_146	FAM		None	UNKNOWN
146	HEX	JG073N_146	HEX		None	UNKNOWN
147	FAM	JG073N_147	FAM		None	UNKNOWN
147	HEX	JG073N_147	HEX		None	UNKNOWN
148	FAM	JG073N_148	FAM		None	UNKNOWN
148	HEX	JG073N_148	HEX		None	UNKNOWN
149	FAM	JG073N_149	FAM		None	UNKNOWN
149	HEX	JG073N_149	HEX		None	UNKNOWN
150	FAM	JG073N_150	FAM		None	UNKNOWN
150	HEX	JG073N_150	HEX		None	UNKNOWN
151	FAM	JG073N_151	FAM		None	UNKNOWN
151	HEX	JG073N_151	HEX		None	UNKNOWN
152	FAM	JG073N_152	FAM		None	UNKNOWN
152	HEX	JG073N_152	HEX		None	UNKNOWN
153	FAM	JG073N_153	FAM		None	UNKNOWN
153	HEX	JG073N_153	HEX		None	UNKNOWN
154	FAM	JG073N_154	FAM		None	UNKNOWN
154	HEX	JG073N_154	HEX		None	UNKNOWN
155	FAM	JG073N_155	FAM		None	UNKNOWN
155	HEX	JG073N_155	HEX		None	UNKNOWN
156	FAM	JG073N_156	FAM		None	UNKNOWN
156	HEX	JG073N_156	HEX		None	UNKNOWN
157	FAM	JG073N_157	FAM		None	UNKNOWN
157	HEX	JG073N_157	HEX		None	UNKNOWN
158	FAM	JG073N_158	FAM		None	UNKNOWN
158	HEX	JG073N_158	HEX		None	UNKNOWN
159	FAM	JG073N_159	FAM		None	UNKNOWN
159	HEX	JG073N_159	HEX		None	UNKNOWN
160	FAM	JG073N_160	FAM		None	UNKNOWN
160	HEX	JG073N_160	HEX		None	UNKNOWN
161	FAM	JG073N_161	FAM		None	UNKNOWN
161	HEX	JG073N_161	HEX		None	UNKNOWN
162	FAM	JG073N_162	FAM		None	UNKNOWN
162	HEX	JG073N_162	HEX		None	UNKNOWN
163	FAM	JG073N_163	FAM		None	UNKNOWN
163	HEX	JG073N_163	HEX		None	UNKNOWN
164	FAM	JG073N_164	FAM		None	UNKNOWN
164	HEX	JG073N_164	HEX		None	UNKNOWN
165	FAM	JG073N_165	FAM		None	UNKNOWN
165	HEX	JG073N_165	HEX		None	UNKNOWN
166	FAM	JG073N_166	FAM		None	UNKNOWN
166	HEX	JG073N_166	HEX		None	UNKNOWN
167	FAM	JG073N_167	FAM		None	UNKNOWN
167	HEX	JG073N_167	HEX		None	UNKNOWN
168	FAM	JG073N_168	FAM		None	UNKNOWN
168	HEX	JG073N_168	HEX		None	UNKNOWN
169	FAM	JG073N_169	FAM		None	UNKNOWN
169	HEX	JG073N_169	HEX		None	UNKNOWN
170	FAM	JG073N_170	FAM		None	UNKNOWN
170	HEX	JG073N_170	HEX		None	UNKNOWN
171	FAM	JG073N_171	FAM		None	UNKNOWN
171	HEX	JG073N_171	HEX		None	UNKNOWN
172	FAM	JG073N_172	FAM		None	UNKNOWN
172	HEX	JG073N_172	HEX		None	UNKNOWN
173	FAM	JG073N_173	FAM		None	UNKNOWN
173	HEX	JG073N_173	HEX		None	UNKNOWN
174	FAM	JG073N_174	FAM		None	UNKNOWN
174	HEX	JG073N_174	HEX		None	UNKNOWN
175	FAM	JG073N_175	FAM		None	UNKNOWN
175	HEX	JG073N_175	HEX		None	UNKNOWN
176	FAM	JG073N_176	FAM		None	UNKNOWN
176	HEX	JG073N_176	HEX		None	UNKNOWN
177	FAM	JG073N_177	FAM		None	UNKNOWN
177	HEX	JG073N_177	HEX		None	UNKNOWN
178	FAM	JG073N_178	FAM		None	UNKNOWN
178	HEX	JG073N_178	HEX		None	UNKNOWN
179	FAM	JG073N_179	FAM		None	UNKNOWN
179	HEX	JG073N_179	HEX		None	UNKNOWN
180	FAM	JG073N_180	FAM		None	UNKNOWN
180	HEX	JG073N_180	HEX		None	UNKNOWN
181	FAM	JG073N_181	FAM		None	UNKNOWN
181	HEX	JG073N_181	HEX		None	UNKNOWN
182	FAM	JG073N_182	FAM		None	UNKNOWN
182	HEX	JG073N_182	HEX		None	UNKNOWN
183	FAM	JG073N_183	FAM		None	UNKNOWN
183	HEX	JG073N_183	HEX		None	UNKNOWN
184	FAM	JG073N_184	FAM		None	UNKNOWN
184	HEX	JG073N_184	HEX		None	UNKNOWN
185	FAM	JG073N_185	FAM		None	UNKNOWN
185	HEX	JG073N_185	HEX		None	UNKNOWN
186	FAM	JG073N_186	FAM		None	UNKNOWN
186	HEX	JG073N_186	HEX		None	UNKNOWN
187	FAM	JG073N_187	FAM		None	UNKNOWN
187	HEX	JG073N_187	HEX		None	UNKNOWN
188	FAM	JG073N_188	FAM		None	UNKNOWN
188	HEX	JG073N_188	HEX		None	UNKNOWN
189	FAM	JG073N_189	FAM		None	UNKNOWN
189	HEX	JG073N_189	HEX		None	UNKNOWN
190	FAM	JG073N_190	FAM		None	UNKNOWN
190	HEX	JG073N_190	HEX		None	UNKNOWN
191	FAM	JG073N_191	FAM		None	UNKNOWN
191	HEX	JG073N_191	HEX		None	UNKNOWN
192	FAM	JG073N_192	FAM		None	UNKNOWN
192	HEX	JG073N_192	HEX		None	UNKNOWN
193	FAM	JG073N_193	FAM		None	UNKNOWN
193	HEX	JG073N_193	HEX		None	UNKNOWN
194	FAM	JG073N_194	FAM		None	UNKNOWN
194	HEX	JG073N_194	HEX		None	UNKNOWN
195	FAM	JG073N_195	FAM		None	UNKNOWN
195	HEX	JG073N_195	HEX		None	UNKNOWN
196	FAM	JG073N_196	FAM		None	UNKNOWN
196	HEX	JG073N_196	HEX		None	UNKNOWN
197	FAM	JG073N_197	FAM		None	UNKNOWN
197	HEX	JG073N_197	HEX		None	UNKNOWN
198	FAM	JG073N_198	FAM		None	UNKNOWN
198	HEX	JG073N_198	HEX		None	UNKNOWN
199	FAM	JG073N_199	FAM		None	UNKNOWN
199	HEX	JG073N_199	HEX		None	UNKNOWN
200	FAM	JG073N_200	FAM		None	UNKNOWN
200	HEX	JG073N_200	HEX		None	UNKNOWN
201	FAM	JG073N_201	FAM		None	UNKNOWN
201	HEX	JG073N_201	HEX		None	UNKNOWN
202	FAM	JG073N_202	FAM		None	UNKNOWN
202	HEX	JG073N_202	HEX		None	UNKNOWN
203	FAM	JG073N_203	FAM		None	UNKNOWN
203	HEX	JG073N_203	HEX		None	UNKNOWN
204	FAM	JG073N_204	FAM		None	UNKNOWN
204	HEX	JG073N_204	HEX		None	UNKNOWN
205	FAM	JG073N_205	FAM		None	UNKNOWN
205	HEX	JG073N_205	HEX		None	UNKNOWN
206	FAM	JG073N_206	FAM		None	UNKNOWN
206	HEX	JG073N_206	HEX		None	UNKNOWN
207	FAM	JG073N_207	FAM		None	UNKNOWN
207	HEX	JG073N_207	HEX		None	UNKNOWN
208	FAM	JG073N_208	FAM		None	UNKNOWN
208	HEX	JG073N_208	HEX		None	UNKNOWN
209	FAM	JG073N_209	FAM		None	UNKNOWN
209	HEX	JG073N_209	HEX		None	UNKNOWN
210	FAM	JG073N_210	FAM		None	UNKNOWN
210	HEX	JG073N_210	HEX		None	UNKNOWN
211	FAM	JG073N_211	FAM		None	UNKNOWN
211	HEX	JG073N_211	HEX		None	UNKNOWN
212	FAM	JG073N_212	FAM		None	UNKNOWN
212	HEX	JG073N_212	HEX		None	UNKNOWN
213	FAM	JG073N_213	FAM		None	UNKNOWN
213	HEX	JG073N_213	HEX		None	UNKNOWN
214	FAM	JG073N_214	FAM		None	UNKNOWN
214	HEX	JG073N_214	HEX		None	UNKNOWN
215	FAM	JG073N_215	FAM		None	UNKNOWN
215	HEX	JG073N_215	HEX		None	UNKNOWN
216	FAM	JG073N_216	FAM		None	UNKNOWN
216	HEX	JG073N_216	HEX		None	UNKNOWN
217	FAM	JG073N_217	FAM		None	UNKNOWN
217	HEX	JG073N_217	HEX		None	UNKNOWN
218	FAM	JG073N_218	FAM		None	UNKNOWN
218	HEX	JG073N_218	HEX		None	UNKNOWN
219	FAM	JG073N_219	FAM		None	UNKNOWN
219	HEX	JG073N_219	HEX		None	UNKNOWN
220	FAM	JG073N_220	FAM		None	UNKNOWN
220	HEX	JG073N_220	HEX		None	UNKNOWN
221	FAM	JG073N_221	FAM		None	UNKNOWN
221	HEX	JG073N_221	HEX		None	UNKNOWN
222	FAM	JG073N_222	FAM		None	UNKNOWN
222	HEX	JG073N_222	HEX		None	UNKNOWN
223	FAM	JG073N_223	FAM		None	UNKNOWN
223	HEX	JG073N_223	HEX		None	UNKNOWN
224	FAM	JG073N_224	FAM		None	UNKNOWN
224	HEX	JG073N_224	HEX		None	UNKNOWN
225	FAM	JG073N_225	FAM		None	UNKNOWN
225	HEX	JG073N_225	HEX		None	UNKNOWN
226	FAM	JG073N_226	FAM		None	UNKNOWN
226	HEX	JG073N_226	HEX		None	UNKNOWN
227	FAM	JG073N_227	FAM		None	UNKNOWN
227	HEX	JG073N_227	HEX		None	UNKNOWN
228	FAM	JG073N_228	FAM		None	UNKNOWN
228	HEX	JG073N_228	HEX		None	UNKNOWN
229	FAM	JG073N_229	FAM		None	UNKNOWN
229	HEX	JG073N_229	HEX		None	UNKNOWN
230	FAM	JG073N_230	FAM		None	UNKNOWN
230	HEX	JG073N_230	HEX		None	UNKNOWN
231	FAM	JG073N_231	FAM		None	UNKNOWN
231	HEX	JG073N_231	HEX		None	UNKNOWN
232	FAM	JG073N_232	FAM		None	UNKNOWN
232	HEX	JG073N_232	HEX		None	UNKNOWN
233	FAM	JG073N_233	FAM		None	UNKNOWN
233	HEX	JG073N_233	HEX		None	UNKNOWN
234	FAM	JG073N_234	FAM		None	UNKNOWN
234	HEX	JG073N_234	HEX		None	UNKNOWN
235	FAM	JG073N_235	FAM		None	UNKNOWN
235	HEX	JG073N_235	HEX		None	UNKNOWN
236	FAM	JG073N_236	FAM		None	UNKNOWN
236	HEX	JG073N_236	HEX		None	UNKNOWN
237	FAM	JG073N_237	FAM		None	UNKNOWN
237	HEX	JG073N_237	HEX		None	UNKNOWN
238	FAM	JG073N_238	FAM		None	UNKNOWN
238	HEX	JG073N_238	HEX		None	UNKNOWN
239	FAM	JG073N_239	FAM		None	UNKNOWN
239	HEX	JG073N_239	HEX		None	UNKNOWN
240	FAM	JG073N_240	FAM		None	UNKNOWN
240	HEX	JG073N_240	HEX		None	UNKNOWN
241	FAM	JG073N_241	FAM		None	UNKNOWN
241	HEX	JG073N_241	HEX		None	UNKNOWN
242	FAM	JG073N_242	FAM		None	UNKNOWN
242	HEX	JG073N_242	HEX		None	UNKNOWN
243	FAM	JG073N_243	FAM		None	UNKNOWN
243	HEX	JG073N_243	HEX		None	UNKNOWN
244	FAM	JG073N_244	FAM		None	UNKNOWN
244	HEX	JG073N_244	HEX		None	UNKNOWN
245	FAM	JG073N_245	FAM		None	UNKNOWN
245	HEX	JG073N_245	HEX		None	UNKNOWN
246	FAM	JG073N_246	FAM		None	UNKNOWN
246	HEX	JG073N_246	HEX		None	UNKNOWN
247	FAM	JG073N_247	FAM		None	UNKNOWN
247	HEX	JG073N_247	HEX		None	UNKNOWN
248	FAM	JG073N_248	FAM		None	UNKNOWN
248	HEX	JG073N_248	HEX		None	UNKNOWN
249	FAM	JG073N_249	FAM		None	UNKNOWN
249	HEX	JG073N_249	HEX		None	UNKNOWN
250	FAM	JG073N_250	FAM		None	UNKNOWN
250	HEX	JG073N_250	HEX		None	UNKNOWN
251	FAM	JG073N_251	FAM		None	UNKNOWN
