,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
50,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,26,-0.004247631,-0.021001803,100000000,100,100,8,2,2
51,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,26,-0.618509548,1.1575485467910767,100000000,100,100,8,2,2
52,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,27,-0.002766249,-0.020702163,100000000,100,100,8,2,2
53,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,27,-0.633780777,1.184769868850708,100000000,100,100,8,2,2
54,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,28,-0.001848233,-0.021786932,100000000,100,100,8,2,2
55,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,28,-0.649231431,1.2123394012451172,100000000,100,100,8,2,2
56,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,29,-0.001399946,-0.024026003,100000000,100,100,8,2,2
57,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,29,-0.661775604,1.234268307685852,100000000,100,100,8,2,2
58,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,30,-0.000209616,-0.024441591,100000000,100,100,8,2,2
59,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,30,-0.674869722,1.257264494895935,100000000,100,100,8,2,2
60,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,31,0.001794614,-0.022857115,100000000,100,100,8,2,2
61,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,31,-0.688610223,1.281515121459961,100000000,100,100,8,2,2
62,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,32,0.002748916,-0.023852713,100000000,100,100,8,2,2
63,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,32,-0.700389524,1.3019596338272095,100000000,100,100,8,2,2
64,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,33,0.003022176,-0.026521893,100000000,100,100,8,2,2
65,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,33,-0.713363124,1.3247219324111938,100000000,100,100,8,2,2
66,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,34,0.004281877,-0.026767012,100000000,100,100,8,2,2
67,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,34,-0.727102519,1.3489704132080078,100000000,100,100,8,2,2
68,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,35,0.0055722,-0.026936878,100000000,100,100,8,2,2
69,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,35,-0.740701556,1.3729463815689087,100000000,100,100,8,2,2
70,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,36,0.006568633,-0.027828945,100000000,100,100,8,2,2
71,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,36,-0.7533668,1.3951102495193481,100000000,100,100,8,2,2
72,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,37,0.008082081,-0.027450508,100000000,100,100,8,2,2
73,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,37,-0.766979965,1.4191137552261353,100000000,100,100,8,2,2
74,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,38,0.009622658,-0.027005404,100000000,100,100,8,2,2
75,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,38,-0.780444419,1.442828655,100000000,100,100,8,2,2
76,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,39,0.010922743727371094,-0.027151281,100000000,100,100,8,2,2
77,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,39,-0.793786881,1.4663068056106567,100000000,100,100,8,2,2
78,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,40,0.011272056866973638,-0.029633569,100000000,100,100,8,2,2
79,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,40,-0.808310068,1.4920763969421387,100000000,100,100,8,2,2
80,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,41,0.013097064303241025,-0.028489511,100000000,100,100,8,2,2
81,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,41,-0.823763178,1.5196506977081299,100000000,100,100,8,2,2
82,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,42,0.014074554115134405,-0.02942813,100000000,100,100,8,2,2
83,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,42,-0.839126976,1.5470516681671143,100000000,100,100,8,2,2
84,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,43,0.015529364572393784,-0.029193787,100000000,100,100,8,2,2
85,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,43,-0.852055245,1.5697259902954102,100000000,100,100,8,2,2
86,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,44,0.016712636606721492,-0.02962672,100000000,100,100,8,2,2
87,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,44,-0.867268672,1.5968351364135742,100000000,100,100,8,2,2
88,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,45,0.017460501206476048,-0.031129615,100000000,100,100,8,2,2
89,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,45,-0.88524466,1.6293056011199951,100000000,100,100,8,2,2
90,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,46,0.019003867874733512,-0.030677656,100000000,100,100,8,2,2
91,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,46,-0.900658704,1.656804084777832,100000000,100,100,8,2,2
92,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,47,0.020221194,-0.031026904,100000000,100,100,8,2,2
93,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,47,-0.915373478,1.6829454898834229,100000000,100,100,8,2,2
94,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,48,0.021873540260215336,-0.03030714,100000000,100,100,8,2,2
