,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
69,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,35,-0.360259934,0.6707319021224976
70,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,36,0.4638874176247365,1.0406067371368408
71,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,36,-0.365184834,0.6789705157279968
72,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,37,0.4724341213523519,1.058945894241333
73,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,37,-0.369287666,0.6855901479721069
74,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,38,0.4806526305936833,1.0765196084976196
75,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,38,-0.373189415,0.6918137669563293
76,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,39,0.4883465193386403,1.0928698778152466
77,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,39,-0.377962201,0.6997527480125427
78,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,40,0.4978820999898094,1.1135153770446777
79,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,40,-0.38480538,0.7117692232131958
80,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,41,0.5063777932677579,1.1317356824874878
81,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,41,-0.38991623,0.7203740477561951
82,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,42,0.5123271553017101,1.1440171003341675
83,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,42,-0.395541954,0.7299928665161133
84,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,43,0.5210429397582818,1.1627507209777832
85,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,43,-0.40046407,0.7382259368896484
86,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,44,0.5287293660526863,1.1790834665298462
87,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,44,-0.404644321,0.744998038
88,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,45,0.5380070321457197,1.1991275548934937
89,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,45,-0.409844333,0.7537784576416016
90,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,46,0.546839251,1.2181326150894165
91,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,46,-0.415019285,0.7625095248222351
92,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,47,0.555679342,1.2371561527252197
93,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,47,-0.419504308,0.7698818445205688
94,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,48,0.565996895,1.2596254348754883
95,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,48,-0.424737248,0.7787270545959473
96,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,49,0.5743964966733635,1.2776215076446533
97,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,49,-0.430047608,0.7877247929573059
98,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,50,0.5845644433398427,1.2997419834136963
99,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,50,-0.434758955,0.795542836
180,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,1,-0.00528521,0.003322233
181,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,1,0.003904392,0.000432706
182,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,2,-0.005248499,0.001315016
183,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,2,0.00370461,0.000164413
184,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,3,-0.004199641,0.001668411
185,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,3,0.003306106,0.000287485
186,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,4,-0.004350883,-0.000777169
187,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,4,0.003159349,-8.52E-05
188,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,5,-0.003581063,-0.001074567
189,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,5,0.002963971,-0.0003622
190,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,6,-0.002538735,-0.000736401
191,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,6,0.002530284,-0.000169837
192,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,7,-0.001555851,-0.000536875
193,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,7,0.001940579,0.000329787
194,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,8,0.000196215,0.001456601
195,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,8,-0.000204342,0.003892255
196,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,9,0.004203283,0.008709383
197,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,9,-0.00402327,0.010751515626907349
198,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,10,0.011826674363383647,0.024396460503339767
199,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,10,-0.009672677,0.021215726
200,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,11,0.023436586261104626,0.049381237
201,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,11,-0.020949473,0.042762525379657745
202,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,12,0.041055892029585296,0.088381626
203,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,12,-0.038703207,0.077065013
204,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,13,0.066660173,0.14600525796413422
205,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,13,-0.064813432,0.1278247982263565
206,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,14,0.099107113,0.21958790719509125
207,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,14,-0.097569521,0.19167295098304749
208,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,15,0.13585344590474066,0.3031979501247406
209,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,15,-0.135321739,0.2653605043888092
210,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,16,0.17408122890204544,0.39026317
211,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,16,-0.171078775,0.33511871099472046
212,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,17,0.21144538658592568,0.4753141701221466
213,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,17,-0.201744299,0.3948497176170349
214,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,18,0.24616392665458917,0.5541948676109314
215,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,18,-0.22547591,0.4409250319004059
216,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,19,0.27760057297308693,0.6254212260246277
217,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,19,-0.243044616,0.4748631417751312
218,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,20,0.303820455,0.684480608
219,JG074C,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074C.002,UNKNOWN,,10.895764,3,100000000,100,10000,8,2,4,20,-0.25494226,0.4976326525211334
220,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,21,0.32664885815881284,0.7356300950050354
