,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,FAM-HEX
76,JG074D,39,FAM,#NAME?,FALSE,B15,0,FAM,JG074D.039,UNKNOWN,,12.312049,76,50,0.4822357000232877,1.0616213083267212,31622776,100000,100000000,7.499999991736717,5,8,-0.43292912
78,JG074D,40,FAM,#NAME?,FALSE,B16,0,FAM,JG074D.040,UNKNOWN,,13.930609,78,50,0.24371974961422618,0.515044093,31622776,1000000,100,7.499999991736717,6,2,-0.658703039
80,JG074D,41,FAM,#NAME?,FALSE,B17,0,FAM,JG074D.041,UNKNOWN,,14.283805,80,50,0.23238403311686973,0.48161888122558594,31622776,1000000,10000,7.499999991736717,6,4,-0.634742577
82,JG074D,42,FAM,#NAME?,FALSE,B18,0,FAM,JG074D.042,UNKNOWN,,14.471426,82,50,0.22879526446935092,0.4658474028110504,31622776,1000000,100000,7.499999991736717,6,5,-0.646516415
84,JG074D,43,FAM,#NAME?,FALSE,B19,0,FAM,JG074D.043,UNKNOWN,,14.244286,84,50,0.2522485831965084,0.5340753793716431,31622776,1000000,1000000,7.499999991736717,6,6,-0.613762258
86,JG074D,44,FAM,#NAME?,FALSE,B20,0,FAM,JG074D.044,UNKNOWN,,11.72403,86,50,0.5826800320550563,1.343999981880188,31622776,1000000,100000000,7.499999991736717,6,8,-0.23633683
88,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,50,0.4080444370506786,1.0422031879425049,31622776,100000000,100,7.499999991736717,8,2,-0.302941735
90,JG074D,46,FAM,#NAME?,FALSE,B22,0,FAM,JG074D.046,UNKNOWN,,7.5586634,90,50,0.4079514254386924,1.0421547889709473,31622776,100000000,10000,7.499999991736717,8,4,-0.312667847
92,JG074D,47,FAM,#NAME?,FALSE,B23,0,FAM,JG074D.047,UNKNOWN,,7.4174285,92,50,0.40037159529880095,1.024627447128296,31622776,100000000,100000,7.499999991736717,8,5,-0.291673632
94,JG074D,48,FAM,#NAME?,FALSE,B24,0,FAM,JG074D.048,UNKNOWN,,7.719255,94,50,0.4143242663790777,1.0550785064697266,31622776,100000000,1000000,7.499999991736717,8,6,-0.309117214
96,JG074D,49,FAM,#NAME?,FALSE,C1,0,FAM,JG074D.049,UNKNOWN,,19.496153,96,50,0.1482762133164677,0.2975163757801056,10000000,100,100,7,2,2,-0.684273507
98,JG074D,50,FAM,#NAME?,FALSE,C2,0,FAM,JG074D.050,UNKNOWN,,16.8317,98,50,0.20247257048450806,0.41696998476982117,10000000,100,10000,7,2,4,-0.602760639
100,JG074D,51,FAM,#NAME?,FALSE,C3,0,FAM,JG074D.051,UNKNOWN,,17.921675,100,50,0.1715842744501298,0.3452998995780945,10000000,100,100000,7,2,5,-0.66688851
102,JG074D,52,FAM,#NAME?,FALSE,C4,0,FAM,JG074D.052,UNKNOWN,,16.72974,102,50,0.24773532111788713,0.5240728855133057,10000000,100,1000000,7,2,6,-0.595402821
104,JG074D,53,FAM,#NAME?,FALSE,C5,0,FAM,JG074D.053,UNKNOWN,,12.124044,104,50,0.5243486292059897,1.1876875162124634,10000000,100,100000000,7,2,8,-0.200998844
106,JG074D,54,FAM,#NAME?,FALSE,C6,0,FAM,JG074D.054,UNKNOWN,,19.742266,106,50,0.14898601220720142,0.2878989279270172,10000000,10000,100,7,4,2,-0.762703679
108,JG074D,55,FAM,#NAME?,FALSE,C7,0,FAM,JG074D.055,UNKNOWN,,16.377413,108,50,0.2187446984574985,0.46267178654670715,10000000,10000,10000,7,4,4,-0.653676587
110,JG074D,56,FAM,#NAME?,FALSE,C8,0,FAM,JG074D.056,UNKNOWN,,16.839905,110,50,0.21284679356031713,0.4446348249912262,10000000,10000,100000,7,4,5,-0.659589568
112,JG074D,57,FAM,#NAME?,FALSE,C9,0,FAM,JG074D.057,UNKNOWN,,16.632711,112,50,0.26712298714810556,0.5744350552558899,10000000,10000,1000000,7,4,6,-0.632114474
114,JG074D,58,FAM,#NAME?,FALSE,C10,0,FAM,JG074D.058,UNKNOWN,,12.20233,114,50,0.5135611422962314,1.1644083261489868,10000000,10000,100000000,7,4,8,-0.218658791
116,JG074D,59,FAM,#NAME?,FALSE,C11,0,FAM,JG074D.059,UNKNOWN,,17.777058,116,50,0.17865227467344258,0.3583665192127228,10000000,100000,100,7,5,2,-0.688015556
118,JG074D,60,FAM,#NAME?,FALSE,C12,0,FAM,JG074D.060,UNKNOWN,,16.25287,118,50,0.21352061118447935,0.43325573205947876,10000000,100000,10000,7,5,4,-0.636994311
120,JG074D,61,FAM,#NAME?,FALSE,C13,0,FAM,JG074D.061,UNKNOWN,,16.170103,120,50,0.23110702181064618,0.47087234258651733,10000000,100000,100000,7,5,5,-0.614092602
122,JG074D,62,FAM,#NAME?,FALSE,C14,0,FAM,JG074D.062,UNKNOWN,,16.075092,122,50,0.2669186268944112,0.5673916935920715,10000000,100000,1000000,7,5,6,-0.601717917
124,JG074D,63,FAM,#NAME?,FALSE,C15,0,FAM,JG074D.063,UNKNOWN,,12.050929,124,50,0.5802571443700257,1.3188319206237793,10000000,100000,100000000,7,5,8,-0.111439313
126,JG074D,64,FAM,#NAME?,FALSE,C16,0,FAM,JG074D.064,UNKNOWN,,13.9219,126,50,0.30977971022487344,0.6329755783081055,10000000,1000000,100,7,6,2,-0.513777174
128,JG074D,65,FAM,#NAME?,FALSE,C17,0,FAM,JG074D.065,UNKNOWN,,14.138815,128,50,0.28929227265091184,0.6010793447494507,10000000,1000000,10000,7,6,4,-0.52107012
130,JG074D,66,FAM,#NAME?,FALSE,C18,0,FAM,JG074D.066,UNKNOWN,,14.231446,130,50,0.29463069955105914,0.6122314929962158,10000000,1000000,100000,7,6,5,-0.534131639
132,JG074D,67,FAM,#NAME?,FALSE,C19,0,FAM,JG074D.067,UNKNOWN,,14.176552,132,50,0.3339929772541592,0.7180222272872925,10000000,1000000,1000000,7,6,6,-0.470773687
134,JG074D,68,FAM,#NAME?,FALSE,C20,0,FAM,JG074D.068,UNKNOWN,,11.808345,134,50,0.6757486410356175,1.5369237661361694,10000000,1000000,100000000,7,6,8,0.050653202
136,JG074D,69,FAM,#NAME?,FALSE,C21,0,FAM,JG074D.069,UNKNOWN,,7.63666,136,50,0.44757987355693274,1.1384739875793457,10000000,100000000,100,7,8,2,-0.213032424
138,JG074D,70,FAM,#NAME?,FALSE,C22,0,FAM,JG074D.070,UNKNOWN,,7.63458,138,50,0.44279281882561816,1.1268987655639648,10000000,100000000,10000,7,8,4,-0.210214723
140,JG074D,71,FAM,#NAME?,FALSE,C23,0,FAM,JG074D.071,UNKNOWN,,7.6558156,140,50,0.4359065744040997,1.1091395616531372,10000000,100000000,100000,7,8,5,-0.226087249
142,JG074D,72,FAM,#NAME?,FALSE,C24,0,FAM,JG074D.072,UNKNOWN,,7.620988,142,50,0.506234871,1.282235026359558,10000000,100000000,1000000,7,8,6,-0.167725593
144,JG074D,73,FAM,#NAME?,FALSE,D1,0,FAM,JG074D.073,UNKNOWN,,18.76497,144,50,0.18781384493011577,0.3772832453250885,3162277,100,100,6.4999999093351235,2,2,-0.582114236
