,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
398,JG074C,208,FAM,#NAME?,FALSE,I16,0,FAM,JG074C.208,UNKNOWN,,15.73402,414,10000,1000000,100,4,6,2,50,0.8879479842279063,1.9404274225234985,0.7857636678424845
400,JG074C,209,FAM,#NAME?,FALSE,I17,0,FAM,JG074C.209,UNKNOWN,,14.237221,416,10000,1000000,10000,4,6,4,50,0.6667298302196663,1.4360384941101074,0.22711186284828128
402,JG074C,210,FAM,#NAME?,FALSE,I18,0,FAM,JG074C.210,UNKNOWN,,14.914466,418,10000,1000000,100000,4,6,5,50,0.5309374368079623,1.1092835664749146,0.090158689
404,JG074C,211,FAM,#NAME?,FALSE,I19,0,FAM,JG074C.211,UNKNOWN,,14.6136465,420,10000,1000000,1000000,4,6,6,50,0.49794526567250386,1.0600862503051758,0.034992699
406,JG074C,212,FAM,#NAME?,FALSE,I20,0,FAM,JG074C.212,UNKNOWN,,16.710917,422,10000,1000000,100000000,4,6,8,50,0.46042483417930136,1.042665958404541,-0.039950907
408,JG074C,214,FAM,#NAME?,FALSE,I22,0,FAM,JG074C.214,UNKNOWN,,9.151366,426,10000,100000000,10000,4,8,4,50,0.7160521288588871,1.5121488571166992,0.24591461615176458
410,JG074C,215,FAM,#NAME?,FALSE,I23,0,FAM,JG074C.215,UNKNOWN,,8.737951,428,10000,100000000,100000,4,8,5,50,0.5998813850512676,1.2560865879058838,0.11694092873258738
412,JG074C,216,FAM,#NAME?,FALSE,I24,0,FAM,JG074C.216,UNKNOWN,,8.77675,430,10000,100000000,1000000,4,8,6,50,0.5472160523189341,1.136093020439148,0.049031878157986764
414,JG074C,217,FAM,#NAME?,FALSE,J1,0,FAM,JG074C.217,UNKNOWN,,17.522469,432,3162,100,100,3.499961866,2,2,50,0.8763797579112038,1.9806005954742432,0.7359719614064238
416,JG074C,218,FAM,#NAME?,FALSE,J2,0,FAM,JG074C.218,UNKNOWN,,15.550887,434,3162,100,10000,3.499961866,2,4,50,0.5796827532097961,1.2712682485580444,0.1618751590709146
418,JG074C,219,FAM,#NAME?,FALSE,J3,0,FAM,JG074C.219,UNKNOWN,,16.125715,436,3162,100,100000,3.499961866,2,5,50,0.49918550195362227,1.0708011388778687,0.06507791
420,JG074C,220,FAM,#NAME?,FALSE,J4,0,FAM,JG074C.220,UNKNOWN,,16.169851,438,3162,100,1000000,3.499961866,2,6,50,0.4680170853699871,1.0247209072113037,0.020357505070991377
422,JG074C,221,FAM,#NAME?,FALSE,J5,0,FAM,JG074C.221,UNKNOWN,,20.389687,440,3162,100,100000000,3.499961866,2,8,50,0.43833498065225523,1.033613681793213,-0.120840238
