,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
148,JG074C,78,FAM,#NAME?,FALSE,D6,0,FAM,JG074C.078,UNKNOWN,,14.494203,154,3162277,10000,100,6.4999999093351235,4,2,50,0.5899180759655743,1.2833926677703857,0.20247945890757663
150,JG074C,79,FAM,#NAME?,FALSE,D7,0,FAM,JG074C.079,UNKNOWN,,13.985344,156,3162277,10000,10000,6.4999999093351235,4,4,50,0.6698144242524532,1.4571037292480469,0.32846741354568815
152,JG074C,80,FAM,#NAME?,FALSE,D8,0,FAM,JG074C.080,UNKNOWN,,14.153876,158,3162277,10000,100000,6.4999999093351235,4,5,50,0.6777653426673597,1.4739164113998413,0.2982934620460604
154,JG074C,81,FAM,#NAME?,FALSE,D9,0,FAM,JG074C.081,UNKNOWN,,14.040674,160,3162277,10000,1000000,6.4999999093351235,4,6,50,0.6527946605782952,1.4362189769744873,0.035862896
156,JG074C,82,FAM,#NAME?,FALSE,D10,0,FAM,JG074C.082,UNKNOWN,,73.95375,162,3162277,10000,100000000,6.4999999093351235,4,8,50,0.1270351182411873,-0.022298219,-0.747325122
158,JG074C,83,FAM,#NAME?,FALSE,D11,0,FAM,JG074C.083,UNKNOWN,,14.298073,164,3162277,100000,100,6.4999999093351235,5,2,50,0.6072940758173476,1.3345845937728882,0.2174116693425423
160,JG074C,84,FAM,#NAME?,FALSE,D12,0,FAM,JG074C.084,UNKNOWN,,14.009298,166,3162277,100000,10000,6.4999999093351235,5,4,50,0.6688262101964036,1.4572458267211914,0.3037854282816987
162,JG074C,85,FAM,#NAME?,FALSE,D13,0,FAM,JG074C.085,UNKNOWN,,14.17446,168,3162277,100000,100000,6.4999999093351235,5,5,50,0.6696341738067346,1.4638243913650513,0.2747120426617752
164,JG074C,86,FAM,#NAME?,FALSE,D14,0,FAM,JG074C.086,UNKNOWN,,14.232949,170,3162277,100000,1000000,6.4999999093351235,5,6,50,0.651539215,1.417476773262024,0.018300028254657374
166,JG074C,87,FAM,#NAME?,FALSE,D15,0,FAM,JG074C.087,UNKNOWN,,20.914217,172,3162277,100000,100000000,6.4999999093351235,5,8,50,0.1498329909316531,0.29680556058883667,-0.755474743
168,JG074C,88,FAM,#NAME?,FALSE,D16,0,FAM,JG074C.088,UNKNOWN,,13.975197,174,3162277,1000000,100,6.4999999093351235,6,2,50,0.7054613190456369,1.523708701133728,0.35324424655992187
170,JG074C,89,FAM,#NAME?,FALSE,D17,0,FAM,JG074C.089,UNKNOWN,,13.547028,176,3162277,1000000,10000,6.4999999093351235,6,4,50,0.7637062295808856,1.6264655590057373,0.4220333934002005
172,JG074C,90,FAM,#NAME?,FALSE,D18,0,FAM,JG074C.090,UNKNOWN,,13.650911,178,3162277,1000000,100000,6.4999999093351235,6,5,50,0.7104718817993834,1.5274291038513184,0.35223626330499375
174,JG074C,91,FAM,#NAME?,FALSE,D19,0,FAM,JG074C.091,UNKNOWN,,13.500771,180,3162277,1000000,1000000,6.4999999093351235,6,6,50,0.6698643996704511,1.4681719541549683,0.070562439
176,JG074C,92,FAM,#NAME?,FALSE,D20,0,FAM,JG074C.092,UNKNOWN,,16.466103,182,3162277,1000000,100000000,6.4999999093351235,6,8,50,0.2533131172055167,0.5099961757659912,-0.509380359
178,JG074C,94,FAM,#NAME?,FALSE,D22,0,FAM,JG074C.094,UNKNOWN,,9.110979,186,3162277,100000000,10000,6.4999999093351235,8,4,50,0.8851379339426177,1.8767410516738892,0.6617455368274305
180,JG074C,95,FAM,#NAME?,FALSE,D23,0,FAM,JG074C.095,UNKNOWN,,8.797756,188,3162277,100000000,100000,6.4999999093351235,8,5,50,0.9282648157276256,1.9930328130722046,0.7082402963629022
182,JG074C,96,FAM,#NAME?,FALSE,D24,0,FAM,JG074C.096,UNKNOWN,,8.87357,190,3162277,100000000,1000000,6.4999999093351235,8,6,50,0.891727386,1.884627103805542,0.3788817203958671
184,JG074C,97,FAM,#NAME?,FALSE,E1,0,FAM,JG074C.097,UNKNOWN,,16.992668,192,1000000,100,100,6,2,2,50,0.6933748852760037,1.5375412702560425,0.43765548251960185
186,JG074C,98,FAM,#NAME?,FALSE,E2,0,FAM,JG074C.098,UNKNOWN,,15.329831,194,1000000,100,10000,6,2,4,50,0.7947081034993334,1.770497203,0.5156819723663136
188,JG074C,99,FAM,#NAME?,FALSE,E3,0,FAM,JG074C.099,UNKNOWN,,15.900206,196,1000000,100,100000,6,2,5,50,0.759238405,1.6748515367507935,0.33314912194920343
190,JG074C,100,FAM,#NAME?,FALSE,E4,0,FAM,JG074C.100,UNKNOWN,,15.801024,198,1000000,100,1000000,6,2,6,50,0.5262390638841352,1.155905842781067,-0.114745098
192,JG074C,101,FAM,#NAME?,FALSE,E5,0,FAM,JG074C.101,UNKNOWN,,20.654104,200,1000000,100,100000000,6,2,8,50,0.20339205753753828,0.49798819422721863,-0.523623246
194,JG074C,102,FAM,#NAME?,FALSE,E6,0,FAM,JG074C.102,UNKNOWN,,17.057447,202,1000000,10000,100,6,4,2,50,0.7089652159079256,1.5586230754852295,0.4449393424182073
196,JG074C,103,FAM,#NAME?,FALSE,E7,0,FAM,JG074C.103,UNKNOWN,,15.419603,204,1000000,10000,10000,6,4,4,50,0.799970794,1.7692203521728516,0.5383459070453112
198,JG074C,104,FAM,#NAME?,FALSE,E8,0,FAM,JG074C.104,UNKNOWN,,15.906983,206,1000000,10000,100000,6,4,5,50,0.752950946,1.6493757963180542,0.33997480694359017
200,JG074C,105,FAM,#NAME?,FALSE,E9,0,FAM,JG074C.105,UNKNOWN,,15.949852,208,1000000,10000,1000000,6,4,6,50,0.5649060053879148,1.2090853452682495,-0.147695798
202,JG074C,106,FAM,#NAME?,FALSE,E10,0,FAM,JG074C.106,UNKNOWN,,20.71864,210,1000000,10000,100000000,6,4,8,50,0.21420317735555158,0.5085532665252686,-0.556056443
204,JG074C,107,FAM,#NAME?,FALSE,E11,0,FAM,JG074C.107,UNKNOWN,,16.97341,212,1000000,100000,100,6,5,2,50,0.6906868856695713,1.528223991394043,0.4228723816661617
206,JG074C,108,FAM,#NAME?,FALSE,E12,0,FAM,JG074C.108,UNKNOWN,,15.671781,214,1000000,100000,10000,6,5,4,50,0.7552669918497645,1.6545218229293823,0.4821588614293918
208,JG074C,109,FAM,#NAME?,FALSE,E13,0,FAM,JG074C.109,UNKNOWN,,15.993708,216,1000000,100000,100000,6,5,5,50,0.7249016719914361,1.6005337238311768,0.32909232895760465
210,JG074C,110,FAM,#NAME?,FALSE,E14,0,FAM,JG074C.110,UNKNOWN,,16.037935,218,1000000,100000,1000000,6,5,6,50,0.549252688,1.194064974784851,-0.192499613
212,JG074C,111,FAM,#NAME?,FALSE,E15,0,FAM,JG074C.111,UNKNOWN,,19.922903,220,1000000,100000,100000000,6,5,8,50,0.2362560796131026,0.5332269668579102,-0.490679109
214,JG074C,112,FAM,#NAME?,FALSE,E16,0,FAM,JG074C.112,UNKNOWN,,15.342792,222,1000000,1000000,100,6,6,2,50,0.7818749710494615,1.7014728784561157,0.5603798466838832
216,JG074C,113,FAM,#NAME?,FALSE,E17,0,FAM,JG074C.113,UNKNOWN,,14.1644745,224,1000000,1000000,10000,6,6,4,50,0.8291777615778994,1.8069096803665161,0.5939589590468765
218,JG074C,114,FAM,#NAME?,FALSE,E18,0,FAM,JG074C.114,UNKNOWN,,14.793054,226,1000000,1000000,100000,6,6,5,50,0.7828949053121722,1.6805285215377808,0.3885579472604494
220,JG074C,115,FAM,#NAME?,FALSE,E19,0,FAM,JG074C.115,UNKNOWN,,14.667718,228,1000000,1000000,1000000,6,6,6,50,0.5969583981159868,1.269778847694397,-0.107196956
222,JG074C,116,FAM,#NAME?,FALSE,E20,0,FAM,JG074C.116,UNKNOWN,,16.489239,230,1000000,1000000,100000000,6,6,8,50,0.3464718246170782,0.751655638,-0.343016071
224,JG074C,118,FAM,#NAME?,FALSE,E22,0,FAM,JG074C.118,UNKNOWN,,9.07671,234,1000000,100000000,10000,6,8,4,50,0.9470409674479345,2.0689313411712646,0.815165688
226,JG074C,119,FAM,#NAME?,FALSE,E23,0,FAM,JG074C.119,UNKNOWN,,8.9936,236,1000000,100000000,100000,6,8,5,50,0.9288352858907614,1.9907501935958862,0.6472957285397909
228,JG074C,120,FAM,#NAME?,FALSE,E24,0,FAM,JG074C.120,UNKNOWN,,8.997207,238,1000000,100000000,1000000,6,8,6,50,0.7343520893424003,1.5352766513824463,0.17045543738442548
230,JG074C,121,FAM,#NAME?,FALSE,F1,0,FAM,JG074C.121,UNKNOWN,,17.273441,240,316227,100,100,5.499998947982042,2,2,50,0.7294743109292636,1.6225864887237549,0.5000133278223129
232,JG074C,122,FAM,#NAME?,FALSE,F2,0,FAM,JG074C.122,UNKNOWN,,15.396953,242,316227,100,10000,5.499998947982042,2,4,50,0.8050344323729794,1.7867919206619263,0.5746020126743888
234,JG074C,123,FAM,#NAME?,FALSE,F3,0,FAM,JG074C.123,UNKNOWN,,16.001328,244,316227,100,100000,5.499998947982042,2,5,50,0.7675083337619344,1.7003726959228516,0.2712525943178375
236,JG074C,124,FAM,#NAME?,FALSE,F4,0,FAM,JG074C.124,UNKNOWN,,16.033617,246,316227,100,1000000,5.499998947982042,2,6,50,0.4848124068990611,1.0340440273284912,-0.126578834
238,JG074C,125,FAM,#NAME?,FALSE,F5,0,FAM,JG074C.125,UNKNOWN,,20.513613,248,316227,100,100000000,5.499998947982042,2,8,50,0.23789340707188583,0.5816057920455933,-0.476656491
240,JG074C,126,FAM,#NAME?,FALSE,F6,0,FAM,JG074C.126,UNKNOWN,,17.601044,250,316227,10000,100,5.499998947982042,4,2,50,0.7471510178290595,1.6530009508132935,0.4767481014048711
242,JG074C,127,FAM,#NAME?,FALSE,F7,0,FAM,JG074C.127,UNKNOWN,,15.521772,252,316227,10000,10000,5.499998947982042,4,4,50,0.8271957350306149,1.8398876190185547,0.5706559841232345
244,JG074C,128,FAM,#NAME?,FALSE,F8,0,FAM,JG074C.128,UNKNOWN,,16.059973,254,316227,10000,100000,5.499998947982042,4,5,50,0.7804286292954213,1.713625431060791,0.23098612122110196
246,JG074C,129,FAM,#NAME?,FALSE,F9,0,FAM,JG074C.129,UNKNOWN,,16.02984,256,316227,10000,1000000,5.499998947982042,4,6,50,0.49992563584966354,1.0779731273651123,-0.132851028
248,JG074C,130,FAM,#NAME?,FALSE,F10,0,FAM,JG074C.130,UNKNOWN,,20.57222,258,316227,10000,100000000,5.499998947982042,4,8,50,0.24719250215392008,0.592914343,-0.49469085
250,JG074C,131,FAM,#NAME?,FALSE,F11,0,FAM,JG074C.131,UNKNOWN,,17.290009,260,316227,100000,100,5.499998947982042,5,2,50,0.7203860412562345,1.5928003787994385,0.4839646504766021
252,JG074C,132,FAM,#NAME?,FALSE,F12,0,FAM,JG074C.132,UNKNOWN,,15.718637,262,316227,100000,10000,5.499998947982042,5,4,50,0.7675339268366781,1.6913797855377197,0.5300651315300903
254,JG074C,133,FAM,#NAME?,FALSE,F13,0,FAM,JG074C.133,UNKNOWN,,16.153854,264,316227,100000,100000,5.499998947982042,5,5,50,0.733388988,1.6156572103500366,0.2586770630305018
256,JG074C,134,FAM,#NAME?,FALSE,F14,0,FAM,JG074C.134,UNKNOWN,,16.262274,266,316227,100000,1000000,5.499998947982042,5,6,50,0.48180714133517166,1.0281411409378052,-0.154342532
258,JG074C,135,FAM,#NAME?,FALSE,F15,0,FAM,JG074C.135,UNKNOWN,,19.80301,268,316227,100000,100000000,5.499998947982042,5,8,50,0.2826150362628457,0.6390696167945862,-0.414725528
260,JG074C,136,FAM,#NAME?,FALSE,F16,0,FAM,JG074C.136,UNKNOWN,,15.440546,270,316227,1000000,100,5.499998947982042,6,2,50,0.8427944497385107,1.8607827425003052,0.6312510738264809
262,JG074C,137,FAM,#NAME?,FALSE,F17,0,FAM,JG074C.137,UNKNOWN,,14.249817,272,316227,1000000,10000,5.499998947982042,6,4,50,0.852513934,1.8665486574172974,0.6143205669476867
264,JG074C,138,FAM,#NAME?,FALSE,F18,0,FAM,JG074C.138,UNKNOWN,,14.841207,274,316227,1000000,100000,5.499998947982042,6,5,50,0.797230584,1.7358938455581665,0.3152952082907487
266,JG074C,139,FAM,#NAME?,FALSE,F19,0,FAM,JG074C.139,UNKNOWN,,14.756928,276,316227,1000000,1000000,5.499998947982042,6,6,50,0.5210702754557893,1.0992605686187744,-0.083690324
268,JG074C,140,FAM,#NAME?,FALSE,F20,0,FAM,JG074C.140,UNKNOWN,,16.65479,278,316227,1000000,100000000,5.499998947982042,6,8,50,0.3725109341192759,0.8024776577949524,-0.264130421
270,JG074C,142,FAM,#NAME?,FALSE,F22,0,FAM,JG074C.142,UNKNOWN,,9.361328,282,316227,100000000,10000,5.499998947982042,8,4,50,0.9467328682292876,1.9568310976028442,0.8063300749661826
272,JG074C,143,FAM,#NAME?,FALSE,F23,0,FAM,JG074C.143,UNKNOWN,,8.869512,284,316227,100000000,100000,5.499998947982042,8,5,50,0.9284090892392166,2.0237643718719482,0.5581030433293537
274,JG074C,144,FAM,#NAME?,FALSE,F24,0,FAM,JG074C.144,UNKNOWN,,8.830319,286,316227,100000000,1000000,5.499998947982042,8,6,50,0.6612598012547523,1.3291295766830444,0.15197140792971076
276,JG074C,145,FAM,#NAME?,FALSE,G1,0,FAM,JG074C.145,UNKNOWN,,17.598875,288,100000,100,100,5,2,2,50,0.8030032897395458,1.7744052410125732,0.6419049722253056
278,JG074C,146,FAM,#NAME?,FALSE,G2,0,FAM,JG074C.146,UNKNOWN,,15.581825,290,100000,100,10000,5,2,4,50,0.8355209020492669,1.8441203832626343,0.510226131
280,JG074C,147,FAM,#NAME?,FALSE,G3,0,FAM,JG074C.147,UNKNOWN,,16.127895,292,100000,100,100000,5,2,5,50,0.6693066821197321,1.3792681694030762,0.10805139560614674
282,JG074C,148,FAM,#NAME?,FALSE,G4,0,FAM,JG074C.148,UNKNOWN,,16.205864,294,100000,100,1000000,5,2,6,50,0.44569299203696466,0.9522601366043091,-0.060203014
284,JG074C,149,FAM,#NAME?,FALSE,G5,0,FAM,JG074C.149,UNKNOWN,,20.357899,296,100000,100,100000000,5,2,8,50,0.3289208437169265,0.7912189364433289,-0.3122516
286,JG074C,150,FAM,#NAME?,FALSE,G6,0,FAM,JG074C.150,UNKNOWN,,17.859798,298,100000,10000,100,5,4,2,50,0.8310028115165802,1.8345869779586792,0.6771734513053811
288,JG074C,151,FAM,#NAME?,FALSE,G7,0,FAM,JG074C.151,UNKNOWN,,15.562978,300,100000,10000,10000,5,4,4,50,0.8107977554507675,1.801533579826355,0.46007114771424223
290,JG074C,152,FAM,#NAME?,FALSE,G8,0,FAM,JG074C.152,UNKNOWN,,16.09021,302,100000,10000,100000,5,4,5,50,0.6300959880064108,1.3725119829177856,0.10452544599022096
292,JG074C,153,FAM,#NAME?,FALSE,G9,0,FAM,JG074C.153,UNKNOWN,,16.14321,304,100000,10000,1000000,5,4,6,50,0.44804767790325584,0.9533663392066956,-0.069597996
294,JG074C,154,FAM,#NAME?,FALSE,G10,0,FAM,JG074C.154,UNKNOWN,,20.526089,306,100000,10000,100000000,5,4,8,50,0.33482900893481504,0.7889019250869751,-0.316950179
296,JG074C,155,FAM,#NAME?,FALSE,G11,0,FAM,JG074C.155,UNKNOWN,,17.514406,308,100000,100000,100,5,5,2,50,0.7895420735581673,1.760697841644287,0.6361179494404565
298,JG074C,156,FAM,#NAME?,FALSE,G12,0,FAM,JG074C.156,UNKNOWN,,15.77863,310,100000,100000,10000,5,5,4,50,0.8123727334323855,1.799209713935852,0.45618253471397313
300,JG074C,157,FAM,#NAME?,FALSE,G13,0,FAM,JG074C.157,UNKNOWN,,16.296137,312,100000,100000,100000,5,5,5,50,0.6209382801671001,1.3469372987747192,0.092632507
302,JG074C,158,FAM,#NAME?,FALSE,G14,0,FAM,JG074C.158,UNKNOWN,,16.377869,314,100000,100000,1000000,5,5,6,50,0.4426841757394327,0.9385659694671631,-0.086131106
304,JG074C,159,FAM,#NAME?,FALSE,G15,0,FAM,JG074C.159,UNKNOWN,,19.772787,316,100000,100000,100000000,5,5,8,50,0.3611005229785017,0.8244503140449524,-0.27170414
306,JG074C,160,FAM,#NAME?,FALSE,G16,0,FAM,JG074C.160,UNKNOWN,,15.632742,318,100000,1000000,100,5,6,2,50,0.8889380431320697,1.9538493156433105,0.7755540979391339
308,JG074C,161,FAM,#NAME?,FALSE,G17,0,FAM,JG074C.161,UNKNOWN,,14.300244,320,100000,1000000,10000,5,6,4,50,0.8449353488551878,1.8337370157241821,0.4885070752796052
310,JG074C,162,FAM,#NAME?,FALSE,G18,0,FAM,JG074C.162,UNKNOWN,,14.507865,322,100000,1000000,100000,5,6,5,50,0.754491099,1.6017866134643555,0.15298415727059134
312,JG074C,163,FAM,#NAME?,FALSE,G19,0,FAM,JG074C.163,UNKNOWN,,14.803363,324,100000,1000000,1000000,5,6,6,50,0.48770909636304566,1.0103939771652222,-0.032427286
314,JG074C,164,FAM,#NAME?,FALSE,G20,0,FAM,JG074C.164,UNKNOWN,,16.472176,326,100000,1000000,100000000,5,6,8,50,0.4498715698203933,0.9851195216178894,-0.142733456
316,JG074C,166,FAM,#NAME?,FALSE,G22,0,FAM,JG074C.166,UNKNOWN,,9.118301,330,100000,100000000,10000,5,8,4,50,0.9079946564892812,1.9494407176971436,0.5757841514723379
318,JG074C,167,FAM,#NAME?,FALSE,G23,0,FAM,JG074C.167,UNKNOWN,,8.8740015,332,100000,100000000,100000,5,8,5,50,0.9685518022169484,1.925161361694336,0.36818139927839266
320,JG074C,168,FAM,#NAME?,FALSE,G24,0,FAM,JG074C.168,UNKNOWN,,8.094241,334,100000,100000000,1000000,5,8,6,50,0.5528739251563489,1.3196340799331665,0.078833095
322,JG074C,169,FAM,#NAME?,FALSE,H1,0,FAM,JG074C.169,UNKNOWN,,17.51092,336,31622,100,100,4.499989334334184,2,2,50,0.8427032088217922,1.880394697189331,0.7265530762897033
324,JG074C,170,FAM,#NAME?,FALSE,H2,0,FAM,JG074C.170,UNKNOWN,,15.535265,338,31622,100,10000,4.499989334334184,2,4,50,0.7838264593706944,1.7424463033676147,0.37875087630667087
326,JG074C,171,FAM,#NAME?,FALSE,H3,0,FAM,JG074C.171,UNKNOWN,,16.137337,340,31622,100,100000,4.499989334334184,2,5,50,0.5735281769801929,1.236491084098816,0.062206814
328,JG074C,172,FAM,#NAME?,FALSE,H4,0,FAM,JG074C.172,UNKNOWN,,16.238005,342,31622,100,1000000,4.499989334334184,2,6,50,0.446614808,0.947057843,-0.033548984
330,JG074C,173,FAM,#NAME?,FALSE,H5,0,FAM,JG074C.173,UNKNOWN,,20.331732,344,31622,100,100000000,4.499989334334184,2,8,50,0.3540306816609958,0.8381578922271729,-0.236008791
332,JG074C,174,FAM,#NAME?,FALSE,H6,0,FAM,JG074C.174,UNKNOWN,,17.82327,346,31622,10000,100,4.499989334334184,4,2,50,0.8441739281272731,1.8697571754455566,0.6982637688278981
334,JG074C,175,FAM,#NAME?,FALSE,H7,0,FAM,JG074C.175,UNKNOWN,,15.65873,348,31622,10000,10000,4.499989334334184,4,4,50,0.8218916226006193,1.8094189167022705,0.4083099082492984
336,JG074C,176,FAM,#NAME?,FALSE,H8,0,FAM,JG074C.176,UNKNOWN,,16.105326,350,31622,10000,100000,4.499989334334184,4,5,50,0.5617195549747168,1.2138811349868774,0.070744751
338,JG074C,177,FAM,#NAME?,FALSE,H9,0,FAM,JG074C.177,UNKNOWN,,16.231146,352,31622,10000,1000000,4.499989334334184,4,6,50,0.4680698655960265,0.9892133474349976,-0.087438575
340,JG074C,178,FAM,#NAME?,FALSE,H10,0,FAM,JG074C.178,UNKNOWN,,20.456211,354,31622,10000,100000000,4.499989334334184,4,8,50,0.3591120115105744,0.8404513597488403,-0.282603957
342,JG074C,179,FAM,#NAME?,FALSE,H11,0,FAM,JG074C.179,UNKNOWN,,17.520304,356,31622,100000,100,4.499989334334184,5,2,50,0.8103881049304884,1.801810861,0.6751702306001044
344,JG074C,180,FAM,#NAME?,FALSE,H12,0,FAM,JG074C.180,UNKNOWN,,15.8113165,358,31622,100000,10000,4.499989334334184,5,4,50,0.7918551616933501,1.7508997917175293,0.3723890752231433
346,JG074C,181,FAM,#NAME?,FALSE,H13,0,FAM,JG074C.181,UNKNOWN,,16.210897,360,31622,100000,100000,4.499989334334184,5,5,50,0.5869810985327787,1.2732471227645874,0.032858997
348,JG074C,182,FAM,#NAME?,FALSE,H14,0,FAM,JG074C.182,UNKNOWN,,16.350761,362,31622,100000,1000000,4.499989334334184,5,6,50,0.46053145841392895,0.9707098007202148,-0.021739464
350,JG074C,183,FAM,#NAME?,FALSE,H15,0,FAM,JG074C.183,UNKNOWN,,19.823751,364,31622,100000,100000000,4.499989334334184,5,8,50,0.38133743342174764,0.8676261901855469,-0.214458718
352,JG074C,184,FAM,#NAME?,FALSE,H16,0,FAM,JG074C.184,UNKNOWN,,15.642704,366,31622,1000000,100,4.499989334334184,6,2,50,0.8847663831297505,1.9487069845199585,0.793492945
354,JG074C,185,FAM,#NAME?,FALSE,H17,0,FAM,JG074C.185,UNKNOWN,,14.191945,368,31622,1000000,10000,4.499989334334184,6,4,50,0.8326693658418465,1.8216309547424316,0.40460153793293857
356,JG074C,186,FAM,#NAME?,FALSE,H18,0,FAM,JG074C.186,UNKNOWN,,14.942931,370,31622,1000000,100000,4.499989334334184,6,5,50,0.5867879053993833,1.2288411855697632,0.10389969843478503
358,JG074C,187,FAM,#NAME?,FALSE,H19,0,FAM,JG074C.187,UNKNOWN,,14.772171,372,31622,1000000,1000000,4.499989334334184,6,6,50,0.48180125059937595,1.0087089538574219,0.003693871
360,JG074C,188,FAM,#NAME?,FALSE,H20,0,FAM,JG074C.188,UNKNOWN,,16.64316,374,31622,1000000,100000000,4.499989334334184,6,8,50,0.4528705085934782,0.9980548620223999,-0.098644599
362,JG074C,190,FAM,#NAME?,FALSE,H22,0,FAM,JG074C.190,UNKNOWN,,9.295229,378,31622,100000000,10000,4.499989334334184,8,4,50,0.8839368499705623,1.7989174127578735,0.48349679018006514
364,JG074C,191,FAM,#NAME?,FALSE,H23,0,FAM,JG074C.191,UNKNOWN,,9.008364,380,31622,100000000,100000,4.499989334334184,8,5,50,0.6884692264959162,1.364156723022461,0.20048645781913804
366,JG074C,192,FAM,#NAME?,FALSE,H24,0,FAM,JG074C.192,UNKNOWN,,8.949664,382,31622,100000000,1000000,4.499989334334184,8,6,50,0.5732584873395501,1.0866963863372803,0.06890658
368,JG074C,193,FAM,#NAME?,FALSE,I1,0,FAM,JG074C.193,UNKNOWN,,17.593853,384,10000,100,100,4,2,2,50,0.8288610914025606,1.8619184494018555,0.7288344452156028
370,JG074C,194,FAM,#NAME?,FALSE,I2,0,FAM,JG074C.194,UNKNOWN,,15.477211,386,10000,100,10000,4,2,4,50,0.6574176343201168,1.4614168405532837,0.21160788771667804
372,JG074C,195,FAM,#NAME?,FALSE,I3,0,FAM,JG074C.195,UNKNOWN,,16.046097,388,10000,100,100000,4,2,5,50,0.498188195,1.064719796180725,0.056074779
374,JG074C,196,FAM,#NAME?,FALSE,I4,0,FAM,JG074C.196,UNKNOWN,,16.259306,390,10000,100,1000000,4,2,6,50,0.4596913433337412,0.9786359071731567,0.015144197396825432
376,JG074C,197,FAM,#NAME?,FALSE,I5,0,FAM,JG074C.197,UNKNOWN,,20.320086,392,10000,100,100000000,4,2,8,50,0.41611811212779193,0.9894046187400818,-0.196303205
378,JG074C,198,FAM,#NAME?,FALSE,I6,0,FAM,JG074C.198,UNKNOWN,,17.799858,394,10000,10000,100,4,4,2,50,0.853954278,1.9012380838394165,0.7438143947813255
380,JG074C,199,FAM,#NAME?,FALSE,I7,0,FAM,JG074C.199,UNKNOWN,,15.656921,396,10000,10000,10000,4,4,4,50,0.673791062,1.4778963327407837,0.23485577727032264
382,JG074C,200,FAM,#NAME?,FALSE,I8,0,FAM,JG074C.200,UNKNOWN,,16.184753,398,10000,10000,100000,4,4,5,50,0.5049215979483372,1.0826410055160522,0.06774982
384,JG074C,201,FAM,#NAME?,FALSE,I9,0,FAM,JG074C.201,UNKNOWN,,16.304527,400,10000,10000,1000000,4,4,6,50,0.47888371834488214,1.0023192167282104,0.004076411
386,JG074C,202,FAM,#NAME?,FALSE,I10,0,FAM,JG074C.202,UNKNOWN,,20.539238,402,10000,10000,100000000,4,4,8,50,0.40547502522889695,0.9528586268424988,-0.188396311
388,JG074C,203,FAM,#NAME?,FALSE,I11,0,FAM,JG074C.203,UNKNOWN,,17.655222,404,10000,100000,100,4,5,2,50,0.8328740593271208,1.846345305,0.7037441918891723
390,JG074C,204,FAM,#NAME?,FALSE,I12,0,FAM,JG074C.204,UNKNOWN,,15.882638,406,10000,100000,10000,4,5,4,50,0.666088331,1.447706699371338,0.21156182137194735
392,JG074C,205,FAM,#NAME?,FALSE,I13,0,FAM,JG074C.205,UNKNOWN,,16.290152,408,10000,100000,100000,4,5,5,50,0.5147892911917846,1.1069576740264893,0.049949736630712505
394,JG074C,206,FAM,#NAME?,FALSE,I14,0,FAM,JG074C.206,UNKNOWN,,16.28693,410,10000,100000,1000000,4,5,6,50,0.496873439,1.072114109992981,0.033484734
396,JG074C,207,FAM,#NAME?,FALSE,I15,0,FAM,JG074C.207,UNKNOWN,,19.944986,412,10000,100000,100000000,4,5,8,50,0.4214237531462247,0.9658130407333374,-0.157031914
