* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
105	HEX	JG075D_105	HEX		None	UNKNOWN
106	FAM	JG075D_106	FAM		None	UNKNOWN
106	HEX	JG075D_106	HEX		None	UNKNOWN
107	FAM	JG075D_107	FAM		None	UNKNOWN
107	HEX	JG075D_107	HEX		None	UNKNOWN
108	FAM	JG075D_108	FAM		None	UNKNOWN
108	HEX	JG075D_108	HEX		None	UNKNOWN
109	FAM	JG075D_109	FAM		None	UNKNOWN
109	HEX	JG075D_109	HEX		None	UNKNOWN
110	FAM	JG075D_110	FAM		None	UNKNOWN
110	HEX	JG075D_110	HEX		None	UNKNOWN
111	FAM	JG075D_111	FAM		None	UNKNOWN
111	HEX	JG075D_111	HEX		None	UNKNOWN
112	FAM	JG075D_112	FAM		None	UNKNOWN
112	HEX	JG075D_112	HEX		None	UNKNOWN
113	FAM	JG075D_113	FAM		None	UNKNOWN
113	HEX	JG075D_113	HEX		None	UNKNOWN
114	FAM	JG075D_114	FAM		None	UNKNOWN
114	HEX	JG075D_114	HEX		None	UNKNOWN
115	FAM	JG075D_115	FAM		None	UNKNOWN
115	HEX	JG075D_115	HEX		None	UNKNOWN
116	FAM	JG075D_116	FAM		None	UNKNOWN
116	HEX	JG075D_116	HEX		None	UNKNOWN
117	FAM	JG075D_117	FAM		None	UNKNOWN
117	HEX	JG075D_117	HEX		None	UNKNOWN
118	FAM	JG075D_118	FAM		None	UNKNOWN
118	HEX	JG075D_118	HEX		None	UNKNOWN
119	FAM	JG075D_119	FAM		None	UNKNOWN
119	HEX	JG075D_119	HEX		None	UNKNOWN
120	FAM	JG075D_120	FAM		None	UNKNOWN
120	HEX	JG075D_120	HEX		None	UNKNOWN
121	FAM	JG075D_121	FAM		None	UNKNOWN
121	HEX	JG075D_121	HEX		None	UNKNOWN
122	FAM	JG075D_122	FAM		None	UNKNOWN
122	HEX	JG075D_122	HEX		None	UNKNOWN
123	FAM	JG075D_123	FAM		None	UNKNOWN
123	HEX	JG075D_123	HEX		None	UNKNOWN
124	FAM	JG075D_124	FAM		None	UNKNOWN
124	HEX	JG075D_124	HEX		None	UNKNOWN
125	FAM	JG075D_125	FAM		None	UNKNOWN
125	HEX	JG075D_125	HEX		None	UNKNOWN
126	FAM	JG075D_126	FAM		None	UNKNOWN
126	HEX	JG075D_126	HEX		None	UNKNOWN
127	FAM	JG075D_127	FAM		None	UNKNOWN
127	HEX	JG075D_127	HEX		None	UNKNOWN
128	FAM	JG075D_128	FAM		None	UNKNOWN
128	HEX	JG075D_128	HEX		None	UNKNOWN
129	FAM	JG075D_129	FAM		None	UNKNOWN
129	HEX	JG075D_129	HEX		None	UNKNOWN
130	FAM	JG075D_130	FAM		None	UNKNOWN
130	HEX	JG075D_130	HEX		None	UNKNOWN
131	FAM	JG075D_131	FAM		None	UNKNOWN
131	HEX	JG075D_131	HEX		None	UNKNOWN
132	FAM	JG075D_132	FAM		None	UNKNOWN
132	HEX	JG075D_132	HEX		None	UNKNOWN
133	FAM	JG075D_133	FAM		None	UNKNOWN
133	HEX	JG075D_133	HEX		None	UNKNOWN
134	FAM	JG075D_134	FAM		None	UNKNOWN
134	HEX	JG075D_134	HEX		None	UNKNOWN
135	FAM	JG075D_135	FAM		None	UNKNOWN
135	HEX	JG075D_135	HEX		None	UNKNOWN
136	FAM	JG075D_136	FAM		None	UNKNOWN
136	HEX	JG075D_136	HEX		None	UNKNOWN
137	FAM	JG075D_137	FAM		None	UNKNOWN
137	HEX	JG075D_137	HEX		None	UNKNOWN
138	FAM	JG075D_138	FAM		None	UNKNOWN
138	HEX	JG075D_138	HEX		None	UNKNOWN
139	FAM	JG075D_139	FAM		None	UNKNOWN
139	HEX	JG075D_139	HEX		None	UNKNOWN
140	FAM	JG075D_140	FAM		None	UNKNOWN
140	HEX	JG075D_140	HEX		None	UNKNOWN
141	FAM	JG075D_141	FAM		None	UNKNOWN
141	HEX	JG075D_141	HEX		None	UNKNOWN
142	FAM	JG075D_142	FAM		None	UNKNOWN
142	HEX	JG075D_142	HEX		None	UNKNOWN
143	FAM	JG075D_143	FAM		None	UNKNOWN
143	HEX	JG075D_143	HEX		None	UNKNOWN
144	FAM	JG075D_144	FAM		None	UNKNOWN
144	HEX	JG075D_144	HEX		None	UNKNOWN
145	FAM	JG075D_145	FAM		None	UNKNOWN
145	HEX	JG075D_145	HEX		None	UNKNOWN
146	FAM	JG075D_146	FAM		None	UNKNOWN
146	HEX	JG075D_146	HEX		None	UNKNOWN
147	FAM	JG075D_147	FAM		None	UNKNOWN
147	HEX	JG075D_147	HEX		None	UNKNOWN
148	FAM	JG075D_148	FAM		None	UNKNOWN
148	HEX	JG075D_148	HEX		None	UNKNOWN
149	FAM	JG075D_149	FAM		None	UNKNOWN
149	HEX	JG075D_149	HEX		None	UNKNOWN
150	FAM	JG075D_150	FAM		None	UNKNOWN
150	HEX	JG075D_150	HEX		None	UNKNOWN
151	FAM	JG075D_151	FAM		None	UNKNOWN
151	HEX	JG075D_151	HEX		None	UNKNOWN
152	FAM	JG075D_152	FAM		None	UNKNOWN
152	HEX	JG075D_152	HEX		None	UNKNOWN
153	FAM	JG075D_153	FAM		None	UNKNOWN
153	HEX	JG075D_153	HEX		None	UNKNOWN
154	FAM	JG075D_154	FAM		None	UNKNOWN
154	HEX	JG075D_154	HEX		None	UNKNOWN
155	FAM	JG075D_155	FAM		None	UNKNOWN
155	HEX	JG075D_155	HEX		None	UNKNOWN
156	FAM	JG075D_156	FAM		None	UNKNOWN
156	HEX	JG075D_156	HEX		None	UNKNOWN
157	FAM	JG075D_157	FAM		None	UNKNOWN
157	HEX	JG075D_157	HEX		None	UNKNOWN
