* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
33	S075_WTFAM	JG075C_033	FAM	10000000	None	STANDARD
33	S075_WTHEX	JG075C_033	HEX	10000000	None	STANDARD
34	S075_WTFAM	JG075C_034	FAM	10000000	None	STANDARD
34	S075_WTHEX	JG075C_034	HEX	10000000	None	STANDARD
35	S075_WTFAM	JG075C_035	FAM	10000000	None	STANDARD
35	S075_WTHEX	JG075C_035	HEX	10000000	None	STANDARD
36	S075_WTFAM	JG075C_036	FAM	10000000	None	STANDARD
36	S075_WTHEX	JG075C_036	HEX	10000000	None	STANDARD
37	S075_WTFAM	JG075C_037	FAM	10000000	None	STANDARD
37	S075_WTHEX	JG075C_037	HEX	10000000	None	STANDARD
38	S075_WTFAM	JG075C_038	FAM	10000000	None	STANDARD
38	S075_WTHEX	JG075C_038	HEX	10000000	None	STANDARD
39	S075_WTFAM	JG075C_039	FAM	10000000	None	STANDARD
39	S075_WTHEX	JG075C_039	HEX	10000000	None	STANDARD
40	S075_WTFAM	JG075C_040	FAM	10000000	None	STANDARD
40	S075_WTHEX	JG075C_040	HEX	10000000	None	STANDARD
49	S075_WTFAM	JG075C_049	FAM	1000000	None	STANDARD
49	S075_WTHEX	JG075C_049	HEX	1000000	None	STANDARD
50	S075_WTFAM	JG075C_050	FAM	1000000	None	STANDARD
50	S075_WTHEX	JG075C_050	HEX	1000000	None	STANDARD
51	S075_WTFAM	JG075C_051	FAM	1000000	None	STANDARD
51	S075_WTHEX	JG075C_051	HEX	1000000	None	STANDARD
52	S075_WTFAM	JG075C_052	FAM	1000000	None	STANDARD
52	S075_WTHEX	JG075C_052	HEX	1000000	None	STANDARD
53	S075_WTFAM	JG075C_053	FAM	1000000	None	STANDARD
53	S075_WTHEX	JG075C_053	HEX	1000000	None	STANDARD
54	S075_WTFAM	JG075C_054	FAM	1000000	None	STANDARD
54	S075_WTHEX	JG075C_054	HEX	1000000	None	STANDARD
55	S075_WTFAM	JG075C_055	FAM	1000000	None	STANDARD
55	S075_WTHEX	JG075C_055	HEX	1000000	None	STANDARD
56	S075_WTFAM	JG075C_056	FAM	1000000	None	STANDARD
56	S075_WTHEX	JG075C_056	HEX	1000000	None	STANDARD
57	S075_WTFAM	JG075C_057	FAM	1000000	None	STANDARD
57	S075_WTHEX	JG075C_057	HEX	1000000	None	STANDARD
58	S075_WTFAM	JG075C_058	FAM	1000000	None	STANDARD
58	S075_WTHEX	JG075C_058	HEX	1000000	None	STANDARD
59	S075_WTFAM	JG075C_059	FAM	1000000	None	STANDARD
59	S075_WTHEX	JG075C_059	HEX	1000000	None	STANDARD
60	S075_WTFAM	JG075C_060	FAM	1000000	None	STANDARD
60	S075_WTHEX	JG075C_060	HEX	1000000	None	STANDARD
61	S075_WTFAM	JG075C_061	FAM	1000000	None	STANDARD
61	S075_WTHEX	JG075C_061	HEX	1000000	None	STANDARD
62	S075_WTFAM	JG075C_062	FAM	1000000	None	STANDARD
62	S075_WTHEX	JG075C_062	HEX	1000000	None	STANDARD
63	S075_WTFAM	JG075C_063	FAM	1000000	None	STANDARD
63	S075_WTHEX	JG075C_063	HEX	1000000	None	STANDARD
64	S075_WTFAM	JG075C_064	FAM	1000000	None	STANDARD
64	S075_WTHEX	JG075C_064	HEX	1000000	None	STANDARD
73	S075_WTFAM	JG075C_073	FAM	100000	None	STANDARD
73	S075_WTHEX	JG075C_073	HEX	100000	None	STANDARD
74	S075_WTFAM	JG075C_074	FAM	100000	None	STANDARD
74	S075_WTHEX	JG075C_074	HEX	100000	None	STANDARD
75	S075_WTFAM	JG075C_075	FAM	100000	None	STANDARD
75	S075_WTHEX	JG075C_075	HEX	100000	None	STANDARD
76	S075_WTFAM	JG075C_076	FAM	100000	None	STANDARD
76	S075_WTHEX	JG075C_076	HEX	100000	None	STANDARD
77	S075_WTFAM	JG075C_077	FAM	100000	None	STANDARD
77	S075_WTHEX	JG075C_077	HEX	100000	None	STANDARD
78	S075_WTFAM	JG075C_078	FAM	100000	None	STANDARD
78	S075_WTHEX	JG075C_078	HEX	100000	None	STANDARD
79	S075_WTFAM	JG075C_079	FAM	100000	None	STANDARD
79	S075_WTHEX	JG075C_079	HEX	100000	None	STANDARD
80	S075_WTFAM	JG075C_080	FAM	100000	None	STANDARD
80	S075_WTHEX	JG075C_080	HEX	100000	None	STANDARD
81	S075_WTFAM	JG075C_081	FAM	100000	None	STANDARD
81	S075_WTHEX	JG075C_081	HEX	100000	None	STANDARD
82	S075_WTFAM	JG075C_082	FAM	100000	None	STANDARD
82	S075_WTHEX	JG075C_082	HEX	100000	None	STANDARD
83	S075_WTFAM	JG075C_083	FAM	100000	None	STANDARD
83	S075_WTHEX	JG075C_083	HEX	100000	None	STANDARD
84	S075_WTFAM	JG075C_084	FAM	100000	None	STANDARD
84	S075_WTHEX	JG075C_084	HEX	100000	None	STANDARD
85	S075_WTFAM	JG075C_085	FAM	100000	None	STANDARD
85	S075_WTHEX	JG075C_085	HEX	100000	None	STANDARD
86	S075_WTFAM	JG075C_086	FAM	100000	None	STANDARD
86	S075_WTHEX	JG075C_086	HEX	100000	None	STANDARD
