Target,lg10_Copies,Blocker,Blocker μM,Configuration,Well,WellName,Sample
S075_SNV,1,MMMMx,3.1622776601683795,2+2,361,P1,JG075C_361
S075_SNV,1,MMMMx,1.7782794100389228,2+2,362,P2,JG075C_362
S075_SNV,1,MMMMx,1.0,2+2,363,P3,JG075C_363
S075_SNV,1,MMMMx,0.5623413251903491,2+2,364,P4,JG075C_364
S075_SNV,1,MMMMx,0.31622776601683794,2+2,365,P5,JG075C_365
S075_SNV,1,MMMMx,0.1778279410038923,2+2,366,P6,JG075C_366
S075_SNV,1,MMMMx,0.1,2+2,367,P7,JG075C_367
S075_SNV,1,MMMMx,0.0,2+2,368,P8,JG075C_368
S075_SNV,1,MMMMx,3.1622776601683795,7+2,369,P9,JG075C_369
S075_SNV,1,MMMMx,1.7782794100389228,7+2,370,P10,JG075C_370
S075_SNV,1,MMMMx,1.0,7+2,371,P11,JG075C_371
S075_SNV,1,MMMMx,0.5623413251903491,7+2,372,P12,JG075C_372
S075_SNV,1,MMMMx,0.31622776601683794,7+2,373,P13,JG075C_373
S075_SNV,1,MMMMx,0.1778279410038923,7+2,374,P14,JG075C_374
S075_SNV,1,MMMMx,0.1,7+2,375,P15,JG075C_375
S075_SNV,1,MMMMx,0.0,7+2,376,P16,JG075C_376
