Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,WellName,MasterMix,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
JG073N,73,FAM,-inf,False,D1,0.0,FAM,JG073N_073,UNKNOWN,,11.939755,144,0,3,RNA,100,5.8181089201471226,6.049177958632402,D1,TaqMan Fast Virus,40,0.7560470179406812,1.3161550760269165,0.3179678390928835
JG073N,74,FAM,-inf,False,D2,0.0,FAM,JG073N_074,UNKNOWN,,11.886062,146,1,3,RNA,100,5.8181089201471226,5.663911998866674,D2,TaqMan Fast Virus,40,0.7061431266757148,1.2528862953186035,0.23209991281394898
JG073N,75,FAM,-inf,False,D3,0.0,FAM,JG073N_075,UNKNOWN,,11.939214,148,2,3,RNA,100,5.8181089201471226,5.278646039100947,D3,TaqMan Fast Virus,40,0.631875966571947,1.139290452003479,0.03281549067548528
JG073N,76,FAM,-inf,False,D4,0.0,FAM,JG073N_076,UNKNOWN,,11.96434,150,3,3,RNA,100,5.8181089201471226,4.89338007933522,D4,TaqMan Fast Virus,40,0.5920344683416905,1.0530827045440674,-0.0018293013149689452
JG073N,77,FAM,-inf,False,D5,0.0,FAM,JG073N_077,UNKNOWN,,11.952085,152,4,3,RNA,100,5.8181089201471226,4.508114119569492,D5,TaqMan Fast Virus,40,0.5294202389313797,0.9283711910247803,-0.12156830762879622
JG073N,78,FAM,-inf,False,D6,0.0,FAM,JG073N_078,UNKNOWN,,12.098393,154,5,3,RNA,100,5.8181089201471226,4.122848159803764,D6,TaqMan Fast Virus,40,0.5126056968345392,0.8828775882720947,-0.1557911345518027
JG073N,79,FAM,-inf,False,D7,0.0,FAM,JG073N_079,UNKNOWN,,11.988549,156,6,3,RNA,100,5.8181089201471226,3.7375822000380374,D7,TaqMan Fast Virus,40,0.4963246503961369,0.8652287125587463,-0.17728745194731382
JG073N,80,FAM,-inf,False,D8,0.0,FAM,JG073N_080,UNKNOWN,,11.840809,158,7,3,RNA,100,5.8181089201471226,,D8,TaqMan Fast Virus,40,0.49393230786812875,0.8850563168525696,-0.21265728092502528
JG073N,81,FAM,-inf,False,D9,0.0,FAM,JG073N_081,UNKNOWN,,16.608461,160,8,3,RNA,10,4.709443605803219,4.904823622694598,D9,TaqMan Fast Virus,40,0.506047717534082,0.8880202174186707,-0.11330801567420934
JG073N,82,FAM,-inf,False,D10,0.0,FAM,JG073N_082,UNKNOWN,,16.697983,162,9,3,RNA,10,4.709443605803219,4.51955766292887,D10,TaqMan Fast Virus,40,0.4538889181717802,0.8117519021034241,-0.23354150884146024
JG073N,83,FAM,-inf,False,D11,0.0,FAM,JG073N_083,UNKNOWN,,16.894547,164,10,3,RNA,10,4.709443605803219,4.134291703163142,D11,TaqMan Fast Virus,40,0.41208677632947377,0.7335215210914612,-0.27218970442382306
JG073N,84,FAM,-inf,False,D12,0.0,FAM,JG073N_084,UNKNOWN,,16.95732,166,11,3,RNA,10,4.709443605803219,3.7490257433974143,D12,TaqMan Fast Virus,40,0.39499917209819246,0.7025855183601379,-0.30171959517957114
JG073N,85,FAM,-inf,False,D13,0.0,FAM,JG073N_085,UNKNOWN,,16.971298,168,12,3,RNA,10,4.709443605803219,3.3637597836316866,D13,TaqMan Fast Virus,40,0.3869344071965086,0.682400107383728,-0.31011311028355815
JG073N,86,FAM,-inf,False,D14,0.0,FAM,JG073N_086,UNKNOWN,,17.01124,170,13,3,RNA,10,4.709443605803219,2.9784938238659593,D14,TaqMan Fast Virus,40,0.393084517898259,0.6882379651069641,-0.2978468841944392
JG073N,87,FAM,-inf,False,D15,0.0,FAM,JG073N_087,UNKNOWN,,17.040545,172,14,3,RNA,10,4.709443605803219,2.593227864100233,D15,TaqMan Fast Virus,40,0.3941013602249413,0.7015340328216553,-0.3326323693990562
JG073N,88,FAM,-inf,False,D16,0.0,FAM,JG073N_088,UNKNOWN,,16.860355,174,15,3,RNA,10,4.709443605803219,,D16,TaqMan Fast Virus,40,0.4193267539744312,0.7510985732078552,-0.27280526187078813
JG073N,89,FAM,-inf,False,D17,0.0,FAM,JG073N_089,UNKNOWN,,19.837027,176,16,3,RNA,1,3.6007782914593163,3.760469286756793,D17,TaqMan Fast Virus,40,0.5266119509141618,0.9437704086303711,0.15742348427233888
JG073N,90,FAM,-inf,False,D18,0.0,FAM,JG073N_090,UNKNOWN,,20.375254,178,17,3,RNA,1,3.6007782914593163,3.3752033269910653,D18,TaqMan Fast Virus,40,0.4885499103308092,0.8721034526824951,0.08885859061141466
JG073N,91,FAM,-inf,False,D19,0.0,FAM,JG073N_091,UNKNOWN,,20.61328,180,18,3,RNA,1,3.6007782914593163,2.989937367225337,D19,TaqMan Fast Virus,40,0.4188179981559929,0.7505848407745361,-0.023565980480255988
JG073N,92,FAM,-inf,False,D20,0.0,FAM,JG073N_092,UNKNOWN,,20.783772,182,19,3,RNA,1,3.6007782914593163,2.6046714074596102,D20,TaqMan Fast Virus,40,0.3863370724853763,0.6800877451896667,-0.07885905222949119
JG073N,93,FAM,-inf,False,D21,0.0,FAM,JG073N_093,UNKNOWN,,20.642986,184,20,3,RNA,1,3.6007782914593163,2.219405447693882,D21,TaqMan Fast Virus,40,0.31248722523458916,0.5615081787109375,-0.21469229708114146
JG073N,94,FAM,-inf,False,D22,0.0,FAM,JG073N_094,UNKNOWN,,20.641281,186,21,3,RNA,1,3.6007782914593163,1.8341394879281543,D22,TaqMan Fast Virus,40,0.3174082237293578,0.5701842904090881,-0.2152921509362012
JG073N,95,FAM,-inf,False,D23,0.0,FAM,JG073N_095,UNKNOWN,,20.611568,188,22,3,RNA,1,3.6007782914593163,1.448873528162427,D23,TaqMan Fast Virus,40,0.269412394164222,0.47574949264526367,-0.3005780444235686
JG073N,96,FAM,-inf,False,D24,0.0,FAM,JG073N_096,UNKNOWN,,20.45906,190,23,3,RNA,1,3.6007782914593163,,D24,TaqMan Fast Virus,40,0.3005521289668108,0.5425726175308228,-0.2599845452216216
JG073N,97,FAM,-inf,False,E1,0.0,FAM,JG073N_097,UNKNOWN,,11.833112,192,0,4,RNA,100,5.078998710584521,6.049177958632402,E1,TaqMan Fast Virus,40,0.8370771305122297,1.494091272354126,0.4918453480828328
JG073N,98,FAM,-inf,False,E2,0.0,FAM,JG073N_098,UNKNOWN,,11.901242,194,1,4,RNA,100,5.078998710584521,5.663911998866674,E2,TaqMan Fast Virus,40,0.7900081929111136,1.4115363359451294,0.39729959371551365
JG073N,99,FAM,-inf,False,E3,0.0,FAM,JG073N_099,UNKNOWN,,11.988424,196,2,4,RNA,100,5.078998710584521,5.278646039100947,E3,TaqMan Fast Virus,40,0.7219504185232574,1.2825229167938232,0.27021027005818254
JG073N,100,FAM,-inf,False,E4,0.0,FAM,JG073N_100,UNKNOWN,,11.741615,198,3,4,RNA,100,5.078998710584521,4.89338007933522,E4,TaqMan Fast Virus,40,0.665703722972872,1.2070738077163696,0.16291605900923833
JG073N,101,FAM,-inf,False,E5,0.0,FAM,JG073N_101,UNKNOWN,,11.96077,200,4,4,RNA,100,5.078998710584521,4.508114119569492,E5,TaqMan Fast Virus,40,0.6106500050913769,1.0730732679367065,0.04968148135234596
JG073N,102,FAM,-inf,False,E6,0.0,FAM,JG073N_102,UNKNOWN,,11.936315,202,5,4,RNA,100,5.078998710584521,4.122848159803764,E6,TaqMan Fast Virus,40,0.6299900721793763,1.1105825901031494,0.07614463549894612
JG073N,103,FAM,-inf,False,E7,0.0,FAM,JG073N_103,UNKNOWN,,11.627461,204,6,4,RNA,100,5.078998710584521,3.7375822000380374,E7,TaqMan Fast Virus,40,0.6039537434304613,1.10506010055542,0.042291175297776595
JG073N,104,FAM,-inf,False,E8,0.0,FAM,JG073N_104,UNKNOWN,,11.963681,206,7,4,RNA,100,5.078998710584521,,E8,TaqMan Fast Virus,40,0.5903125713714871,1.0382587909698486,-0.009325895593787936
JG073N,105,FAM,-inf,False,E9,0.0,FAM,JG073N_105,UNKNOWN,,16.344364,208,8,4,RNA,10,3.9703333962406178,4.904823622694598,E9,TaqMan Fast Virus,40,0.5649721999855088,1.0124287605285645,-0.006432855226220058
JG073N,106,FAM,-inf,False,E10,0.0,FAM,JG073N_106,UNKNOWN,,16.783054,210,9,4,RNA,10,3.9703333962406178,4.51955766292887,E10,TaqMan Fast Virus,40,0.5114918722819577,0.9098277688026428,-0.10255426170811599
JG073N,107,FAM,-inf,False,E11,0.0,FAM,JG073N_107,UNKNOWN,,16.981686,212,10,4,RNA,10,3.9703333962406178,4.134291703163142,E11,TaqMan Fast Virus,40,0.4636938361977986,0.8230910897254944,-0.1656028368909499
JG073N,108,FAM,-inf,False,E12,0.0,FAM,JG073N_108,UNKNOWN,,17.053295,214,11,4,RNA,10,3.9703333962406178,3.7490257433974143,E12,TaqMan Fast Virus,40,0.43929517604265506,0.7788019776344299,-0.20027741775315527
JG073N,109,FAM,-inf,False,E13,0.0,FAM,JG073N_109,UNKNOWN,,16.96463,216,12,4,RNA,10,3.9703333962406178,3.3637597836316866,E13,TaqMan Fast Virus,40,0.43566626239988754,0.7762369513511658,-0.21764020620512242
JG073N,110,FAM,-inf,False,E14,0.0,FAM,JG073N_110,UNKNOWN,,16.940334,218,13,4,RNA,10,3.9703333962406178,2.9784938238659593,E14,TaqMan Fast Virus,40,0.44795366014856336,0.7979070544242859,-0.19496746505916457
JG073N,111,FAM,-inf,False,E15,0.0,FAM,JG073N_111,UNKNOWN,,17.003895,220,14,4,RNA,10,3.9703333962406178,2.593227864100233,E15,TaqMan Fast Virus,40,0.4386835250739028,0.7825729250907898,-0.21160601802429774
