,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
155,S057.1.2,FP006-RP006,HEX,48.5,25252525.0,5.0,111.0,0.4594594594594595,-4.263635219296772,0.5047045060423878,0.00752763105395139,0.6501529463399436,0.2638888267137956,21.790112244400536
156,S057.2.0,FP001-RP001,FAM,51.5,25252525.0,5.0,49.0,0.6938775510204082,-4.652827676401517,0.5915955064376028,0.032625462155935,0.6602481550933483,0.2546004032905355,23.39881192394524
157,S057.2.1,FP001-RP001,FAM,53.5,25252525.0,5.0,461.0,0.5054229934924078,-3.885790549060111,0.5109930391454087,0.034298083864813735,0.5183486306670402,0.32436037588563454,24.822991339197145
158,S057.2.2,FP001-RP001,FAM,55.5,25252525.0,5.0,331.0,0.5166163141993958,-3.86009324162657,0.5094947021611026,0.03883147525497476,0.5876183304676258,0.29593388726225184,21.76992785101957
159,S057.2.4,FP001-RP001,FAM,57.5,25252525.0,5.0,380.0,0.4868421052631579,-4.376616312549109,0.4528714339928045,0.06326531809513168,0.5901984346524927,0.28273776134403883,24.56792658755598
160,S057.3.0,FP001-RP005,FAM,181.5,25252525.0,5.0,90.0,0.45555555555555555,-3.6078285624882644,0.8535535841208564,0.008478441645572108,0.5779113526376979,0.30770613320407564,20.78356995990397
161,S057.3.1,FP001-RP005,FAM,183.5,25252525.0,5.0,98.0,0.5714285714285714,-3.613288950493588,0.8601763563253438,0.008711873457287812,0.5230092167573057,0.3331270656878076,22.924519578218376
162,S057.3.2,FP001-RP005,FAM,185.5,25252525.0,5.0,115.0,0.5217391304347826,-3.4645673810420052,0.821692361911743,0.009910789605393405,0.5188966415737053,0.3359153952604096,22.16568029765053
163,S057.3.4,FP001-RP005,FAM,187.5,25252525.0,5.0,85.0,0.5294117647058824,-3.7548910515588103,0.8739154808798388,0.008051762636129924,0.6043429080085228,0.2942448925119041,20.62799886237522
164,S057.4.0,FP005-RP005,HEX,190.5,25252525.0,5.0,87.0,0.5517241379310345,-4.617223444393144,0.5443066069117289,0.00896872395133669,0.5801975335678711,0.2846505529246642,26.43769085753246
165,S057.4.1,FP005-RP005,HEX,192.5,25252525.0,5.0,167.0,0.5508982035928144,-3.958593173208584,0.5527518796364654,0.010010420807274501,0.48177871680812756,0.3403152468412005,27.124814893215007
166,S057.4.2,FP005-RP005,HEX,194.5,25252525.0,5.0,221.0,0.502262443438914,-3.8978731959637987,0.5361637211712429,0.010652604053100706,0.4970232777847193,0.3337359872247495,26.004630649254693
167,S057.5.0,FP003-RP008,EVAGREEN,202.57142857142858,14574314.285714285,4.571428571428571,85.0,0.29411764705882354,-5.758626439664861,1.0307959967297562,0.0025099330879924256,0.7730744172367314,0.19879364536577812,24.703375176542174
168,S057.5.0,FP003-RP008,HEX,197.5,25252525.0,5.0,85.0,0.29411764705882354,-5.764079014504367,0.6379790665602543,0.03263408692385064,0.874589616952905,0.16572449862749672,21.89808923877538
169,S057.5.2,FP003-RP008,EVAGREEN,199.5,25252525.0,5.0,33.0,0.3939393939393939,-5.311199935324383,0.7222851836119076,0.001302187256660829,0.7805293247062178,0.20228604803691308,22.556796335584576
170,S057.5.2,FP003-RP008,HEX,199.5,25252525.0,5.0,33.0,0.3939393939393939,-5.798522912061727,0.6182388372266078,0.026691405516457517,0.888640540172955,0.16052175887239833,21.72977225690476
