,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,0.5257731958762887,-4.581233634,0.5475642032849948,0.021581301,0.6340751447465682,0.26507500618135865,23.981281902062275,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,,lg10_Copies,BP,GC,F0_lg,K,m,r,,_,_
297,S067_8a718d___Avg_2,FP001-RP001x,EVAGREEN,101,1.39E+07,297,4.5,47,0.510638,-5.237035,0.291429,0.000373,0.723857,297,0.219413,24.004468
298,S067_8a718d___Avg_3,FP001-RP001x,EVAGREEN,65,2.22E+07,298,6,74,0.256757,-5.911715,0.328244,0.00017,0.97967,298,0.130663,20.108225
299,S067_8a718d___LVM_0,FP001-RP001x,EVAGREEN,265,1.59E+07,299,5,98,0.234694,-7.940741,0.430494,0.000153,0.939712,299,0.12987,28.025003
300,S067_8a718d___LVM_1,FP001-RP001x,EVAGREEN,277,1.39E+07,300,4.5,182,0.21978,-6.684664,0.555025,0.001429,0.797685,300,0.184822,27.841443
301,S067_8a718d___LVM_2,FP001-RP001x,EVAGREEN,294.714286,1.59E+07,301,4.428571,199,0.226131,-5.027517,0.566642,0.000651,0.800982,301,0.195246,20.857957
302,S067_8a718d___LVM_3,FP001-RP001x,EVAGREEN,251,2.78E+07,302,6.25,137,0.218978,-5.556029,0.483657,0.000461,0.930942,302,0.148768,19.843335
334,S067_b12a22___Avg_0,FP001-RP001x,EVAGREEN,80,1.59E+07,334,5,45,0.444444,-7.615523,0.279525,0.000306,0.870462,334,0.151784,29.016199
335,S067_b12a22___Avg_2,FP001-RP001x,EVAGREEN,107,1.39E+07,335,4.5,60,0.25,-6.906199,0.234189,0.000157,0.999303,335,0.11864,22.978668
336,S067_b12a22___Avg_3,FP001-RP001x,EVAGREEN,71,2.22E+07,336,6,65,0.246154,-6.047337,0.246378,0.000244,0.956381,336,0.136777,21.053574
337,S067_b12a22___LVM_0,FP001-RP001x,EVAGREEN,264,1.85E+07,337,5.333333,87,0.241379,-6.948128,0.377082,0.001446,0.771778,337,0.185574,29.879286
338,S067_b12a22___LVM_1,FP001-RP001x,EVAGREEN,279,1.39E+07,338,4.5,190,0.221053,-6.97361,0.461137,0.001008,0.808985,338,0.180277,28.825204
339,S067_b12a22___LVM_2,FP001-RP001x,EVAGREEN,299,1.39E+07,339,4.5,206,0.223301,-5.481816,0.474888,0.000259,0.835048,339,0.178569,21.826441
340,S067_b12a22___LVM_3,FP001-RP001x,EVAGREEN,263,2.22E+07,340,6,49,0.510204,-5.266441,0.2549,0.000328,0.776445,340,0.201392,22.56038
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,\,,,,,,,,,,
89,S056.1.1,FP001-RP001x,EVAGREEN,325.5,2.53E+07,,,,,,,,,,,
94,S056.1.2,FP001-RP001x,EVAGREEN,327.5,2.53E+07,,,,,,,,,,,
96,S056.1.3,FP001-RP001x,EVAGREEN,329.5,2.53E+07,,,,,,,,,,,
98,S056.1.4,FP001-RP001x,EVAGREEN,331.5,2.53E+07,,,,,,,,,,,
100,S056.1.5,FP001-RP001x,EVAGREEN,333.5,2.53E+07,,,,,,,,,,,
102,S056.1.6,FP001-RP001x,EVAGREEN,335.5,2.53E+07,,,,,,,,,,,
104,S056.1.7,FP001-RP001x,EVAGREEN,337.5,2.53E+07,,,,,,,,,,,
106,S056.1.8,FP001-RP001x,EVAGREEN,339.5,2.53E+07,,,,,,,,,,,
108,S056.1.9,FP001-RP001x,EVAGREEN,341.5,2.53E+07,,,,,,,,,,,
217,S067_0d89c8___Avg_0,FP001-RP001x,EVAGREEN,86,1.59E+07,,,,,,,,,,,
218,S067_0d89c8___Avg_2,FP001-RP001x,EVAGREEN,90,1.39E+07,,,,,,,,,,,
219,S067_0d89c8___Avg_3,FP001-RP001x,EVAGREEN,54,2.22E+07,,,,,,,,,,,
220,S067_0d89c8___LVM_0,FP001-RP001x,EVAGREEN,278,1.59E+07,,,,,,,,,,,
221,S067_0d89c8___LVM_1,FP001-RP001x,EVAGREEN,278,1.39E+07,,,,,,,,,,,
222,S067_0d89c8___LVM_2,FP001-RP001x,EVAGREEN,282,1.39E+07,,,,,,,,,,,
223,S067_0d89c8___LVM_3,FP001-RP001x,EVAGREEN,246,2.22E+07,,,,,,,,,,,
296,S067_8a718d___Avg_0,FP001-RP001x,EVAGREEN,69,1.85E+07,,,,,,,,,,,
297,S067_8a718d___Avg_2,FP001-RP001x,EVAGREEN,101,1.39E+07,,,,,,,,,,,
298,S067_8a718d___Avg_3,FP001-RP001x,EVAGREEN,65,2.22E+07,,,,,,,,,,,
299,S067_8a718d___LVM_0,FP001-RP001x,EVAGREEN,265,1.59E+07,,,,,,,,,,,
300,S067_8a718d___LVM_1,FP001-RP001x,EVAGREEN,277,1.39E+07,,,,,,,,,,,
301,S067_8a718d___LVM_2,FP001-RP001x,EVAGREEN,294.714286,1.59E+07,,,,,,,,,,,
302,S067_8a718d___LVM_3,FP001-RP001x,EVAGREEN,251,2.78E+07,,,,,,,,,,,
334,S067_b12a22___Avg_0,FP001-RP001x,EVAGREEN,80,1.59E+07,,,,,,,,,,,
335,S067_b12a22___Avg_2,FP001-RP001x,EVAGREEN,107,1.39E+07,,,,,,,,,,,
336,S067_b12a22___Avg_3,FP001-RP001x,EVAGREEN,71,2.22E+07,,,,,,,,,,,
337,S067_b12a22___LVM_0,FP001-RP001x,EVAGREEN,264,1.85E+07,,,,,,,,,,,
338,S067_b12a22___LVM_1,FP001-RP001x,EVAGREEN,279,1.39E+07,,,,,,,,,,,
339,S067_b12a22___LVM_2,FP001-RP001x,EVAGREEN,299,1.39E+07,,,,,,,,,,,
340,S067_b12a22___LVM_3,FP001-RP001x,EVAGREEN,263,2.22E+07,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,lg10_Copies,BP,GC,F0_lg,K,m,r,\,,,,,,,,
89,5,80,0.3375,-5.619903,1.005277,0.001051,0.923929,,,,,,,,,
94,5,232,0.413793,-4.104233,2.016354,0.000368,0.697784,,,,,,,,,
96,5,272,0.672794,-4.078579,2.574892,0.006378,0.471963,,,,,,,,,
98,5,152,0.203947,-7.342124,1.329842,0.002739,0.793546,,,,,,,,,
100,5,49,0.755102,-6.200514,0.547536,0.002492,0.670672,,,,,,,,,
102,5,152,0.592105,-3.787128,1.699887,0.001366,0.580558,,,,,,,,,
104,5,84,0.797619,-6.26524,1.214778,0.004111,0.822078,,,,,,,,,
106,5,36,0.444444,-6.159535,0.688205,0.001154,0.939171,,,,,,,,,
108,5,80,0.425,-5.194314,0.929065,0.001102,0.865888,,,,,,,,,
217,5,45,0.466667,-7.216147,0.309301,0.000682,0.825678,,,,,,,,,
218,4.5,47,0.510638,-4.441605,0.27911,0.000396,0.595997,,,,,,,,,
219,6,74,0.256757,-6.019878,0.303179,0.000301,0.987548,,,,,,,,,
220,5,98,0.234694,-8.097614,0.441086,0.001136,0.910793,,,,,,,,,
221,4.5,182,0.21978,-6.14356,0.533283,0.000878,0.766318,,,,,,,,,
222,4.5,198,0.222222,-5.960405,0.554553,0.000459,0.832885,,,,,,,,,
223,6,137,0.218978,-5.830346,0.428211,0.000172,0.915996,,,,,,,,,
296,5.166667,45,0.466667,-6.605132,0.340707,0.000537,0.800262,,,,,,,,,
297,4.5,47,0.510638,-5.237035,0.291429,0.000373,0.723857,,,,,,,,,
298,6,74,0.256757,-5.911715,0.328244,0.00017,0.97967,,,,,,,,,
299,5,98,0.234694,-7.940741,0.430494,0.000153,0.939712,,,,,,,,,
300,4.5,182,0.21978,-6.684664,0.555025,0.001429,0.797685,,,,,,,,,
