# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Well","Well Position","Cycle Number","EVAGREEN","ROX"
"2","A2","81","979129.06","143297.19"
"2","A2","82","994280.25","142725.52"
"2","A2","83","1008794.4","142216.69"
"2","A2","84","1022129.9","141754.58"
"2","A2","85","1034631.3","141566.11"
"2","A2","86","1044998.56","141411.8"
"2","A2","87","1054973.2","141250.83"
"2","A2","88","1064878.6","141068.53"
"2","A2","89","1072760.4","140929.23"
"2","A2","90","1079432.0","140900.23"
"3","A3","1","114295.805","151236.72"
"3","A3","2","113911.08","150394.47"
"3","A3","3","113354.48","149162.38"
"3","A3","4","113298.52","148611.5"
"3","A3","5","113498.54","148036.89"
"3","A3","6","113861.68","147780.19"
"3","A3","7","114879.86","147690.05"
"3","A3","8","116111.22","147541.92"
"3","A3","9","117981.2","147430.2"
"3","A3","10","120503.1","147361.66"
"3","A3","11","124034.63","147328.62"
"3","A3","12","129418.99","147415.53"
"3","A3","13","137153.28","147439.48"
"3","A3","14","148095.86","147474.81"
"3","A3","15","162361.89","147414.25"
"3","A3","16","179828.92","147519.05"
"3","A3","17","199959.84","147451.16"
"3","A3","18","221895.84","147475.72"
"3","A3","19","244153.95","147552.45"
"3","A3","20","266175.53","147729.05"
"3","A3","21","286692.84","147795.53"
"3","A3","22","304524.28","147593.2"
"3","A3","23","319865.4","147492.67"
"3","A3","24","332730.38","147743.11"
"3","A3","25","342768.44","147821.9"
"3","A3","26","350799.97","147678.61"
"3","A3","27","357242.75","147586.16"
"3","A3","28","361911.34","147714.33"
"3","A3","29","365665.06","147622.7"
"3","A3","30","368335.34","147606.2"
"3","A3","31","370482.8","147829.23"
"3","A3","32","372209.7","147825.11"
"3","A3","33","373637.97","147827.42"
"3","A3","34","375462.72","147865.14"
"3","A3","35","376608.06","148033.11"
"3","A3","36","378009.3","147985.14"
"3","A3","37","379412.34","148064.16"
"3","A3","38","380459.9","148063.14"
"3","A3","39","381628.3","148081.73"
"3","A3","40","382787.4","148078.6"
"3","A3","41","383992.94","148158.17"
"3","A3","42","384805.38","148153.14"
"3","A3","43","386567.6","148026.78"
"3","A3","44","388018.88","148011.02"
"3","A3","45","389464.28","148222.94"
"3","A3","46","391588.06","148298.78"
"3","A3","47","394083.34","148214.06"
"3","A3","48","398172.75","148146.38"
"3","A3","49","403287.3","148075.95"
"3","A3","50","410635.0","147970.4"
"3","A3","51","421908.84","148065.16"
"3","A3","52","436526.12","148085.14"
"3","A3","53","455895.97","148255.11"
"3","A3","54","479987.06","148322.03"
"3","A3","55","508929.12","148345.56"
"3","A3","56","541439.8","148418.69"
"3","A3","57","573840.2","148389.39"
"3","A3","58","607085.1","148351.0"
"3","A3","59","637301.8","148716.48"
"3","A3","60","666122.6","148736.53"
"3","A3","61","694150.5","148834.77"
"3","A3","62","720525.9","148822.08"
"3","A3","63","744621.5","149063.56"
"3","A3","64","768174.94","149004.77"
"3","A3","65","790279.7","149022.17"
"3","A3","66","811977.56","149072.02"
"3","A3","67","832302.25","149079.64"
"3","A3","68","852298.7","149083.06"
"3","A3","69","870936.2","149224.1"
"3","A3","70","887748.44","149194.23"
"3","A3","71","903214.06","149471.73"
"3","A3","72","919411.75","149452.38"
"3","A3","73","935494.6","149406.08"
"3","A3","74","950335.8","149386.47"
"3","A3","75","964329.75","149471.6"
"3","A3","76","977296.1","149563.48"
"3","A3","77","991175.75","149510.58"
"3","A3","78","1002933.9","149394.9"
"3","A3","79","1012386.94","149206.4"
"3","A3","80","1021097.94","148782.64"
"3","A3","81","1025816.3","148196.34"
"3","A3","82","1030496.1","147507.08"
"3","A3","83","1035213.2","146787.23"
"3","A3","84","1042332.94","146429.47"
"3","A3","85","1052859.6","146065.23"
"3","A3","86","1064984.5","145722.27"
"3","A3","87","1075769.4","145590.94"
"3","A3","88","1085244.6","145468.3"
"3","A3","89","1095210.9","145408.45"
"3","A3","90","1104724.9","145397.52"
"4","A4","1","94885.21","149180.14"
"4","A4","2","94289.47","148110.11"
"4","A4","3","93541.875","146568.34"
"4","A4","4","93296.25","145409.98"
"4","A4","5","93412.125","144964.12"
"4","A4","6","94158.65","144706.34"
"4","A4","7","95103.44","144503.28"
"4","A4","8","96597.6","144339.88"
"4","A4","9","98648.86","144176.7"
"4","A4","10","101691.79","144143.86"
"4","A4","11","106525.93","144347.92"
"4","A4","12","113662.32","144350.81"
"4","A4","13","123965.484","144255.83"
"4","A4","14","137770.86","144337.61"
"4","A4","15","155381.66","144270.69"
"4","A4","16","175656.78","144327.81"
"4","A4","17","198549.66","144308.7"
"4","A4","18","221898.64","144222.55"
"4","A4","19","244136.77","144184.53"
"4","A4","20","265022.7","144369.86"
"4","A4","21","283349.62","144492.03"
"4","A4","22","299088.78","144483.44"
"4","A4","23","312056.1","144474.92"
"4","A4","24","322342.1","144464.66"
"4","A4","25","330525.9","144227.22"
"4","A4","26","336911.84","144136.2"
"4","A4","27","341521.78","144452.78"
"4","A4","28","345449.8","144575.73"
"4","A4","29","348608.22","144577.55"
"4","A4","30","351057.7","144468.33"
"4","A4","31","352988.62","144511.17"
"4","A4","32","354231.0","144549.02"
"4","A4","33","355639.66","144494.89"
"4","A4","34","357191.6","144591.5"
"4","A4","35","358216.25","144645.97"
"4","A4","36","358685.6","144583.66"
"4","A4","37","359897.3","144479.19"
"4","A4","38","360973.62","144561.84"
"4","A4","39","361575.7","144489.44"
"4","A4","40","362647.94","144555.9"
"4","A4","41","363709.75","144569.42"
"4","A4","42","364643.25","144490.25"
"4","A4","43","365648.6","144656.34"
"4","A4","44","366910.06","144741.8"
"4","A4","45","368990.88","144766.0"
"4","A4","46","371670.3","144829.9"
"4","A4","47","375177.88","144752.98"
"4","A4","48","380298.88","144732.19"
"4","A4","49","387918.94","144645.05"
"4","A4","50","398328.16","144754.31"
"4","A4","51","412918.56","144777.28"
"4","A4","52","432584.9","144892.17"
"4","A4","53","456938.8","144784.72"
"4","A4","54","486825.25","144745.38"
"4","A4","55","519585.0","144906.62"
"4","A4","56","554012.75","144871.77"
"4","A4","57","587736.75","145051.16"
"4","A4","58","618855.5","145082.83"
"4","A4","59","648751.9","145108.69"
"4","A4","60","678284.9","145230.42"
"4","A4","61","704342.4","145130.94"
"4","A4","62","729572.5","145131.67"
"4","A4","63","754862.2","145355.17"
"4","A4","64","778010.25","145525.58"
"4","A4","65","799590.44","145477.31"
"4","A4","66","820028.7","145518.1"
"4","A4","67","839831.5","145616.8"
"4","A4","68","857245.3","145554.11"
"4","A4","69","876292.56","145427.36"
"4","A4","70","893573.6","145545.9"
"4","A4","71","910350.1","145585.45"
"4","A4","72","925510.56","145698.17"
"4","A4","73","939393.2","145790.25"
"4","A4","74","954565.94","145780.38"
"4","A4","75","966798.25","145743.48"
"4","A4","76","978593.5","145617.86"
"4","A4","77","990458.9","145598.75"
"4","A4","78","1001898.94","145165.55"
"4","A4","79","1009811.6","144760.48"
"4","A4","80","1017588.9","144041.5"
"4","A4","81","1025271.3","143521.8"
"4","A4","82","1035501.25","142864.45"
"4","A4","83","1046314.5","142585.56"
"4","A4","84","1057605.9","142451.31"
"4","A4","85","1069088.4","142253.66"
"4","A4","86","1077198.5","142144.45"
"4","A4","87","1087080.2","142087.78"
"4","A4","88","1095376.1","142019.27"
"4","A4","89","1102195.5","142011.33"
"4","A4","90","1106261.1","142051.66"
"5","A5","1","62536.36","145947.58"
"5","A5","2","62458.785","145140.78"
"5","A5","3","62311.035","144217.78"
"5","A5","4","62450.38","143701.88"
"5","A5","5","63265.59","143258.9"
"5","A5","6","64248.348","142922.42"
"5","A5","7","65845.21","142758.6"
"5","A5","8","67747.06","142686.92"
"5","A5","9","70931.055","142656.8"
"5","A5","10","75395.54","142849.11"
"5","A5","11","82080.42","142830.12"
"5","A5","12","91898.62","142716.9"
"5","A5","13","105850.02","142657.23"
"5","A5","14","123887.0","142819.11"
"5","A5","15","146035.38","142711.23"
"5","A5","16","170302.14","142420.62"
"5","A5","17","195084.06","142330.56"
"5","A5","18","218807.2","142583.5"
"5","A5","19","240288.31","142895.19"
"5","A5","20","258977.06","142870.4"
"5","A5","21","274916.6","142859.75"
"5","A5","22","287533.38","142934.31"
"5","A5","23","297829.16","142996.55"
"5","A5","24","305591.7","143020.73"
"5","A5","25","311403.12","142928.06"
"5","A5","26","316061.2","142914.5"
"5","A5","27","319778.16","142920.12"
"5","A5","28","322705.22","142830.98"
"5","A5","29","324655.84","142871.62"
"5","A5","30","326707.9","143046.08"
"5","A5","31","328006.34","142961.61"
"5","A5","32","329446.12","142905.38"
"5","A5","33","330985.97","143178.11"
"5","A5","34","331749.97","143258.38"
"5","A5","35","333033.38","143195.6"
"5","A5","36","333559.7","143299.36"
"5","A5","37","334394.53","143192.83"
"5","A5","38","335506.56","143099.45"
"5","A5","39","336072.3","143225.16"
"5","A5","40","337005.22","143173.6"
"5","A5","41","338257.06","143227.23"
"5","A5","42","339456.5","143289.19"
"5","A5","43","340676.1","143211.47"
"5","A5","44","342180.3","143286.22"
"5","A5","45","344218.97","143441.86"
"5","A5","46","347036.53","143403.0"
"5","A5","47","351589.3","143115.2"
"5","A5","48","357641.44","143002.42"
"5","A5","49","367050.28","143270.1"
"5","A5","50","379948.44","143565.31"
"5","A5","51","398180.44","143494.83"
"5","A5","52","422687.62","143479.55"
"5","A5","53","451617.4","143746.45"
"5","A5","54","484126.8","143733.48"
"5","A5","55","518373.97","143732.05"
"5","A5","56","553545.8","143906.28"
"5","A5","57","586559.6","144055.95"
"5","A5","58","616345.3","144145.25"
"5","A5","59","645153.0","144357.12"
"5","A5","60","672230.75","144254.58"
"5","A5","61","699119.2","144122.88"
"5","A5","62","725118.06","144247.25"
"5","A5","63","749294.3","144346.03"
"5","A5","64","772557.94","144544.28"
"5","A5","65","793966.56","144662.78"
"5","A5","66","815171.1","144707.88"
"5","A5","67","834375.5","144758.36"
"5","A5","68","852570.8","144659.34"
"5","A5","69","870779.06","144781.08"
"5","A5","70","887682.2","144946.55"
"5","A5","71","904374.0","144992.2"
"5","A5","72","920582.44","145089.9"
"5","A5","73","933960.4","145210.03"
"5","A5","74","948781.25","145256.97"
"5","A5","75","962204.25","145181.27"
"5","A5","76","974561.7","145218.67"
"5","A5","77","985949.3","145012.6"
"5","A5","78","994906.1","144426.92"
"5","A5","79","1000950.0","143812.27"
"5","A5","80","1005412.1","143267.89"
"5","A5","81","1011893.75","142711.58"
"5","A5","82","1023195.56","142265.03"
"5","A5","83","1034533.25","142093.73"
"5","A5","84","1047212.75","141969.62"
"5","A5","85","1059486.8","141797.9"
"5","A5","86","1071353.9","141688.89"
"5","A5","87","1080944.8","141623.69"
"5","A5","88","1089686.9","141550.48"
"5","A5","89","1097217.9","141423.28"
"5","A5","90","1103089.1","141391.33"
"6","A6","1","51837.477","149381.2"
"6","A6","2","51765.2","148721.11"
"6","A6","3","51746.82","147880.02"
"6","A6","4","51982.73","147317.12"
"6","A6","5","52813.05","146879.36"
"6","A6","6","53969.242","146586.7"
"6","A6","7","55723.953","146419.52"
"6","A6","8","57960.61","146304.7"
"6","A6","9","61530.195","146188.98"
"6","A6","10","67692.11","146183.9"
"6","A6","11","76993.33","146387.9"
"6","A6","12","90299.266","146536.66"
"6","A6","13","108872.29","146392.55"
"6","A6","14","132351.77","146291.75"
"6","A6","15","158775.72","146381.9"
"6","A6","16","185813.36","146365.1"
"6","A6","17","211789.62","146538.64"
"6","A6","18","235431.88","146631.25"
"6","A6","19","255565.89","146701.77"
"6","A6","20","271941.4","146602.81"
"6","A6","21","284731.12","146547.92"
"6","A6","22","294952.56","146658.81"
"6","A6","23","302804.47","146764.23"
"6","A6","24","308812.1","146694.56"
"6","A6","25","312801.5","146734.11"
"6","A6","26","315617.47","146782.08"
"6","A6","27","318275.25","146807.33"
"6","A6","28","320779.97","146892.47"
"6","A6","29","322376.1","146883.17"
"6","A6","30","323923.88","147110.89"
"6","A6","31","325088.22","147220.39"
"6","A6","32","325905.06","147275.7"
"6","A6","33","326937.03","147248.56"
"6","A6","34","327801.22","147153.92"
"6","A6","35","328493.62","147260.08"
"6","A6","36","329609.94","147362.03"
"6","A6","37","330329.4","147478.75"
"6","A6","38","331364.22","147362.02"
"6","A6","39","332371.78","147247.94"
"6","A6","40","333265.44","147258.61"
"6","A6","41","334068.03","147231.97"
"6","A6","42","335184.94","147480.27"
"6","A6","43","336940.72","147558.52"
"6","A6","44","339278.0","147622.0"
"6","A6","45","342647.5","147618.86"
"6","A6","46","347436.94","147582.78"
"6","A6","47","355060.7","147595.2"
"6","A6","48","366893.72","147576.6"
"6","A6","49","383535.2","147652.23"
"6","A6","50","406095.3","147729.19"
"6","A6","51","434060.7","147759.33"
"6","A6","52","468044.12","147964.83"
"6","A6","53","503320.53","148034.98"
"6","A6","54","539173.5","147953.23"
"6","A6","55","573680.56","147921.23"
"6","A6","56","606504.06","148257.36"
"6","A6","57","637121.9","148337.34"
"6","A6","58","666203.7","148296.92"
"6","A6","59","692464.1","148191.48"
"6","A6","60","718392.1","148364.67"
"6","A6","61","744617.94","148500.52"
"6","A6","62","767486.5","148505.56"
