Target,lg10_Copies,Blocker,Blocker μM,Well,WellName,Sample
S075_WT,1,L-MMMMx,1.7782794100389228,177,H9,JG075A_177
S075_WT,1,L-MMMMx,1.0,178,H10,JG075A_178
S075_WT,1,L-MMMMx,0.5623413251903491,179,H11,JG075A_179
S075_WT,1,L-MMMMx,0.31622776601683794,180,H12,JG075A_180
S075_WT,1,L-MMMMx,0.1778279410038923,181,H13,JG075A_181
S075_WT,1,L-MMMMx,0.1,182,H14,JG075A_182
S075_WT,1,None,0.0,183,H15,JG075A_183
S075_SNV,8,MMMMx,3.1622776601683795,193,I1,JG075A_193
S075_SNV,8,MMMMx,1.7782794100389228,194,I2,JG075A_194
S075_SNV,8,MMMMx,1.0,195,I3,JG075A_195
S075_SNV,8,MMMMx,0.5623413251903491,196,I4,JG075A_196
S075_SNV,8,MMMMx,0.31622776601683794,197,I5,JG075A_197
S075_SNV,8,MMMMx,0.1778279410038923,198,I6,JG075A_198
S075_SNV,8,MMMMx,0.1,199,I7,JG075A_199
S075_SNV,8,L-MMMMx,3.1622776601683795,200,I8,JG075A_200
S075_SNV,8,L-MMMMx,1.7782794100389228,201,I9,JG075A_201
S075_SNV,8,L-MMMMx,1.0,202,I10,JG075A_202
S075_SNV,8,L-MMMMx,0.5623413251903491,203,I11,JG075A_203
S075_SNV,8,L-MMMMx,0.31622776601683794,204,I12,JG075A_204
S075_SNV,8,L-MMMMx,0.1778279410038923,205,I13,JG075A_205
S075_SNV,8,L-MMMMx,0.1,206,I14,JG075A_206
S075_SNV,8,None,0.0,207,I15,JG075A_207
S075_SNV,7,MMMMx,3.1622776601683795,217,J1,JG075A_217
S075_SNV,7,MMMMx,1.7782794100389228,218,J2,JG075A_218
S075_SNV,7,MMMMx,1.0,219,J3,JG075A_219
S075_SNV,7,MMMMx,0.5623413251903491,220,J4,JG075A_220
S075_SNV,7,MMMMx,0.31622776601683794,221,J5,JG075A_221
S075_SNV,7,MMMMx,0.1778279410038923,222,J6,JG075A_222
S075_SNV,7,MMMMx,0.1,223,J7,JG075A_223
S075_SNV,7,L-MMMMx,3.1622776601683795,224,J8,JG075A_224
S075_SNV,7,L-MMMMx,1.7782794100389228,225,J9,JG075A_225
S075_SNV,7,L-MMMMx,1.0,226,J10,JG075A_226
S075_SNV,7,L-MMMMx,0.5623413251903491,227,J11,JG075A_227
S075_SNV,7,L-MMMMx,0.31622776601683794,228,J12,JG075A_228
S075_SNV,7,L-MMMMx,0.1778279410038923,229,J13,JG075A_229
S075_SNV,7,L-MMMMx,0.1,230,J14,JG075A_230
S075_SNV,7,None,0.0,231,J15,JG075A_231
S075_SNV,6,MMMMx,3.1622776601683795,241,K1,JG075A_241
S075_SNV,6,MMMMx,1.7782794100389228,242,K2,JG075A_242
S075_SNV,6,MMMMx,1.0,243,K3,JG075A_243
S075_SNV,6,MMMMx,0.5623413251903491,244,K4,JG075A_244
S075_SNV,6,MMMMx,0.31622776601683794,245,K5,JG075A_245
S075_SNV,6,MMMMx,0.1778279410038923,246,K6,JG075A_246
S075_SNV,6,MMMMx,0.1,247,K7,JG075A_247
S075_SNV,6,L-MMMMx,3.1622776601683795,248,K8,JG075A_248
S075_SNV,6,L-MMMMx,1.7782794100389228,249,K9,JG075A_249
S075_SNV,6,L-MMMMx,1.0,250,K10,JG075A_250
S075_SNV,6,L-MMMMx,0.5623413251903491,251,K11,JG075A_251
S075_SNV,6,L-MMMMx,0.31622776601683794,252,K12,JG075A_252
S075_SNV,6,L-MMMMx,0.1778279410038923,253,K13,JG075A_253
S075_SNV,6,L-MMMMx,0.1,254,K14,JG075A_254
S075_SNV,6,None,0.0,255,K15,JG075A_255
S075_SNV,5,MMMMx,3.1622776601683795,265,L1,JG075A_265
S075_SNV,5,MMMMx,1.7782794100389228,266,L2,JG075A_266
S075_SNV,5,MMMMx,1.0,267,L3,JG075A_267
S075_SNV,5,MMMMx,0.5623413251903491,268,L4,JG075A_268
S075_SNV,5,MMMMx,0.31622776601683794,269,L5,JG075A_269
S075_SNV,5,MMMMx,0.1778279410038923,270,L6,JG075A_270
S075_SNV,5,MMMMx,0.1,271,L7,JG075A_271
S075_SNV,5,L-MMMMx,3.1622776601683795,272,L8,JG075A_272
S075_SNV,5,L-MMMMx,1.7782794100389228,273,L9,JG075A_273
S075_SNV,5,L-MMMMx,1.0,274,L10,JG075A_274
S075_SNV,5,L-MMMMx,0.5623413251903491,275,L11,JG075A_275
S075_SNV,5,L-MMMMx,0.31622776601683794,276,L12,JG075A_276
S075_SNV,5,L-MMMMx,0.1778279410038923,277,L13,JG075A_277
S075_SNV,5,L-MMMMx,0.1,278,L14,JG075A_278
S075_SNV,5,None,0.0,279,L15,JG075A_279
S075_SNV,4,MMMMx,3.1622776601683795,289,M1,JG075A_289
S075_SNV,4,MMMMx,1.7782794100389228,290,M2,JG075A_290
S075_SNV,4,MMMMx,1.0,291,M3,JG075A_291
S075_SNV,4,MMMMx,0.5623413251903491,292,M4,JG075A_292
S075_SNV,4,MMMMx,0.31622776601683794,293,M5,JG075A_293
S075_SNV,4,MMMMx,0.1778279410038923,294,M6,JG075A_294
S075_SNV,4,MMMMx,0.1,295,M7,JG075A_295
S075_SNV,4,L-MMMMx,3.1622776601683795,296,M8,JG075A_296
S075_SNV,4,L-MMMMx,1.7782794100389228,297,M9,JG075A_297
S075_SNV,4,L-MMMMx,1.0,298,M10,JG075A_298
S075_SNV,4,L-MMMMx,0.5623413251903491,299,M11,JG075A_299
S075_SNV,4,L-MMMMx,0.31622776601683794,300,M12,JG075A_300
S075_SNV,4,L-MMMMx,0.1778279410038923,301,M13,JG075A_301
S075_SNV,4,L-MMMMx,0.1,302,M14,JG075A_302
S075_SNV,4,None,0.0,303,M15,JG075A_303
S075_SNV,3,MMMMx,3.1622776601683795,313,N1,JG075A_313
S075_SNV,3,MMMMx,1.7782794100389228,314,N2,JG075A_314
S075_SNV,3,MMMMx,1.0,315,N3,JG075A_315
S075_SNV,3,MMMMx,0.5623413251903491,316,N4,JG075A_316
S075_SNV,3,MMMMx,0.31622776601683794,317,N5,JG075A_317
S075_SNV,3,MMMMx,0.1778279410038923,318,N6,JG075A_318
S075_SNV,3,MMMMx,0.1,319,N7,JG075A_319
S075_SNV,3,L-MMMMx,3.1622776601683795,320,N8,JG075A_320
S075_SNV,3,L-MMMMx,1.7782794100389228,321,N9,JG075A_321
S075_SNV,3,L-MMMMx,1.0,322,N10,JG075A_322
S075_SNV,3,L-MMMMx,0.5623413251903491,323,N11,JG075A_323
S075_SNV,3,L-MMMMx,0.31622776601683794,324,N12,JG075A_324
S075_SNV,3,L-MMMMx,0.1778279410038923,325,N13,JG075A_325
S075_SNV,3,L-MMMMx,0.1,326,N14,JG075A_326
S075_SNV,3,None,0.0,327,N15,JG075A_327
S075_SNV,2,MMMMx,3.1622776601683795,337,O1,JG075A_337
S075_SNV,2,MMMMx,1.7782794100389228,338,O2,JG075A_338
S075_SNV,2,MMMMx,1.0,339,O3,JG075A_339
S075_SNV,2,MMMMx,0.5623413251903491,340,O4,JG075A_340
S075_SNV,2,MMMMx,0.31622776601683794,341,O5,JG075A_341
S075_SNV,2,MMMMx,0.1778279410038923,342,O6,JG075A_342
S075_SNV,2,MMMMx,0.1,343,O7,JG075A_343
S075_SNV,2,L-MMMMx,3.1622776601683795,344,O8,JG075A_344
S075_SNV,2,L-MMMMx,1.7782794100389228,345,O9,JG075A_345
S075_SNV,2,L-MMMMx,1.0,346,O10,JG075A_346
S075_SNV,2,L-MMMMx,0.5623413251903491,347,O11,JG075A_347
S075_SNV,2,L-MMMMx,0.31622776601683794,348,O12,JG075A_348
S075_SNV,2,L-MMMMx,0.1778279410038923,349,O13,JG075A_349
S075_SNV,2,L-MMMMx,0.1,350,O14,JG075A_350
S075_SNV,2,None,0.0,351,O15,JG075A_351
S075_SNV,1,MMMMx,3.1622776601683795,361,P1,JG075A_361
S075_SNV,1,MMMMx,1.7782794100389228,362,P2,JG075A_362
S075_SNV,1,MMMMx,1.0,363,P3,JG075A_363
S075_SNV,1,MMMMx,0.5623413251903491,364,P4,JG075A_364
S075_SNV,1,MMMMx,0.31622776601683794,365,P5,JG075A_365
S075_SNV,1,MMMMx,0.1778279410038923,366,P6,JG075A_366
S075_SNV,1,MMMMx,0.1,367,P7,JG075A_367
S075_SNV,1,L-MMMMx,3.1622776601683795,368,P8,JG075A_368
S075_SNV,1,L-MMMMx,1.7782794100389228,369,P9,JG075A_369
S075_SNV,1,L-MMMMx,1.0,370,P10,JG075A_370
S075_SNV,1,L-MMMMx,0.5623413251903491,371,P11,JG075A_371
S075_SNV,1,L-MMMMx,0.31622776601683794,372,P12,JG075A_372
S075_SNV,1,L-MMMMx,0.1778279410038923,373,P13,JG075A_373
S075_SNV,1,L-MMMMx,0.1,374,P14,JG075A_374
S075_SNV,1,None,0.0,375,P15,JG075A_375
