# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076F_FP004-RP004x_Set_II.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 01:29:11 PM EDT
# Run End Date/Time: 2022-07-20 03:24:46 PM EDT
# Run Duration: 115 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:12:51 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:13:20 PM EDT
"Well","Well Position","Cycle Number","TAMRA","FAM","ROX","CY3","CY5"
"3","A3","32",,"213322.8","158994.92",,
"3","A3","33",,"215067.94","158940.12",,
"3","A3","34",,"216505.03","158911.27",,
"3","A3","35",,"218346.22","158857.08",,
"3","A3","36",,"220004.44","158886.05",,
"3","A3","37",,"221663.81","158875.28",,
"3","A3","38",,"222917.7","158908.1",,
"3","A3","39",,"224308.89","158888.83",,
"3","A3","40",,"225534.83","158898.89",,
"3","A3","41",,"226855.2","158832.77",,
"3","A3","42",,"228324.3","158886.67",,
"3","A3","43",,"229480.83","158880.78",,
"3","A3","44",,"230568.86","158992.67",,
"3","A3","45",,"231824.88","159315.3",,
"3","A3","46",,"233122.42","159087.16",,
"3","A3","47",,"234268.05","158821.84",,
"3","A3","48",,"235567.7","158811.08",,
"3","A3","49",,"237091.34","158974.64",,
"3","A3","50",,"238253.77","159072.42",,
"3","A3","51",,"239296.4","159132.39",,
"3","A3","52",,"240654.1","159003.56",,
"3","A3","53",,"241867.23","159105.75",,
"3","A3","54",,"243381.94","159026.48",,
"3","A3","55",,"244942.4","159036.64",,
"3","A3","56",,"246529.39","159011.27",,
"3","A3","57",,"248003.98","159012.33",,
"3","A3","58",,"249827.31","158963.25",,
"3","A3","59",,"252408.9","159138.67",,
"3","A3","60",,"255168.7","159038.9",,
"3","A3","61",,"258768.53","159131.56",,
"3","A3","62",,"263140.16","159122.06",,
"3","A3","63",,"268450.22","159149.66",,
"3","A3","64",,"274975.0","159350.48",,
"3","A3","65",,"282612.47","159230.62",,
"3","A3","66",,"290238.94","159268.58",,
"3","A3","67",,"297476.47","159326.05",,
"3","A3","68",,"305020.78","159391.1",,
"3","A3","69",,"311919.78","159410.4",,
"3","A3","70",,"317681.03","159538.05",,
"3","A3","71",,"325120.16","159524.3",,
"3","A3","72",,"332148.3","159479.97",,
"3","A3","73",,"338201.9","159476.28",,
"3","A3","74",,"344030.34","159589.25",,
"3","A3","75",,"349805.34","159522.73",,
"3","A3","76",,"355525.1","159659.8",,
"3","A3","77",,"361214.03","159709.73",,
"3","A3","78",,"366853.75","159591.48",,
"3","A3","79",,"372838.56","159634.19",,
"3","A3","80",,"377844.97","159552.64",,
"3","A3","81",,"382661.12","158864.95",,
"3","A3","82",,"388016.16","157795.89",,
"3","A3","83",,"396269.38","156502.84",,
"3","A3","84",,"405652.1","155363.94",,
"3","A3","85",,"415042.97","154566.22",,
"3","A3","86",,"423238.28","153987.05",,
"3","A3","87",,"429821.75","153742.34",,
"3","A3","88",,"435209.66","153415.55",,
"3","A3","89",,"440040.66","153355.1",,
"3","A3","90",,"443648.16","153434.53",,
"4","A4","1",,"57712.86","158077.94",,
"4","A4","2",,"57819.35","157914.81",,
"4","A4","3",,"57860.566","157725.88",,
"4","A4","4",,"57963.09","157589.64",,
"4","A4","5",,"58376.29","157450.12",,
"4","A4","6",,"59256.824","157327.44",,
"4","A4","7",,"60780.957","157199.05",,
"4","A4","8",,"63745.95","157145.64",,
"4","A4","9",,"69157.34","157241.86",,
"4","A4","10",,"78322.64","157179.53",,
"4","A4","11",,"92590.914","157087.52",,
"4","A4","12",,"112096.6","157009.02",,
"4","A4","13",,"134940.5","156905.31",,
"4","A4","14",,"157183.5","156834.42",,
"4","A4","15",,"175821.75","156790.31",,
"4","A4","16",,"189900.27","156793.1",,
"4","A4","17",,"199773.8","156948.11",,
"4","A4","18",,"206493.2","156893.72",,
"4","A4","19",,"210884.16","156781.36",,
"4","A4","20",,"213870.28","156736.56",,
"4","A4","21",,"216085.34","156739.1",,
"4","A4","22",,"217727.58","156618.33",,
"4","A4","23",,"219172.44","156604.89",,
"4","A4","24",,"220258.14","156716.86",,
"4","A4","25",,"221217.48","156748.38",,
"4","A4","26",,"222281.03","156865.45",,
"4","A4","27",,"223135.12","156834.97",,
"4","A4","28",,"224193.17","156773.39",,
"4","A4","29",,"225283.45","156730.2",,
"4","A4","30",,"226113.94","156713.31",,
"4","A4","31",,"227252.44","156699.14",,
"4","A4","32",,"228037.05","156740.33",,
"4","A4","33",,"228593.5","156684.02",,
"4","A4","34",,"229313.84","156685.86",,
"4","A4","35",,"230700.31","156842.56",,
"4","A4","36",,"231271.23","156847.02",,
"4","A4","37",,"231952.6","156871.81",,
"4","A4","38",,"232487.78","156909.73",,
"4","A4","39",,"233951.22","156859.94",,
"4","A4","40",,"235415.83","156806.06",,
"4","A4","41",,"235752.61","156799.22",,
"4","A4","42",,"236398.03","156764.48",,
"4","A4","43",,"237357.19","156596.81",,
"4","A4","44",,"238180.34","156637.97",,
"4","A4","45",,"238827.23","156911.64",,
"4","A4","46",,"239938.27","156703.0",,
"4","A4","47",,"240546.6","156639.75",,
"4","A4","48",,"240979.28","156755.28",,
"4","A4","49",,"242116.86","156799.34",,
"4","A4","50",,"243190.86","156791.52",,
"4","A4","51",,"243724.45","156880.73",,
"4","A4","52",,"245095.62","156894.42",,
"4","A4","53",,"245925.88","156852.33",,
"4","A4","54",,"246990.61","156865.23",,
"4","A4","55",,"247771.84","156929.14",,
"4","A4","56",,"248716.02","157011.92",,
"4","A4","57",,"249845.75","157065.14",,
"4","A4","58",,"250706.08","156994.02",,
"4","A4","59",,"252201.19","156860.42",,
"4","A4","60",,"253990.88","156785.97",,
"4","A4","61",,"256137.62","156768.61",,
"4","A4","62",,"257972.06","156831.16",,
"4","A4","63",,"261015.52","156826.44",,
"4","A4","64",,"264817.78","156896.58",,
"4","A4","65",,"268917.0","156928.48",,
"4","A4","66",,"273845.0","156836.38",,
"4","A4","67",,"280329.62","156801.47",,
"4","A4","68",,"288028.47","156919.86",,
"4","A4","69",,"296351.16","157013.53",,
"4","A4","70",,"305621.2","157000.14",,
"4","A4","71",,"314712.03","157044.38",,
"4","A4","72",,"323471.03","157070.58",,
"4","A4","73",,"332558.7","157053.86",,
"4","A4","74",,"340916.28","157159.34",,
"4","A4","75",,"349023.25","157144.02",,
"4","A4","76",,"356529.8","157181.1",,
"4","A4","77",,"363487.78","157183.53",,
"4","A4","78",,"369696.78","157286.8",,
"4","A4","79",,"375381.84","157478.83",,
"4","A4","80",,"381254.8","157374.28",,
"4","A4","81",,"386457.66","157319.5",,
"4","A4","82",,"391112.78","157499.86",,
"4","A4","83",,"395666.75","157504.67",,
"4","A4","84",,"399381.47","157406.97",,
"4","A4","85",,"403838.62","157339.44",,
"4","A4","86",,"407632.3","157390.47",,
"4","A4","87",,"411190.84","157291.6",,
"4","A4","88",,"414003.75","157218.44",,
"4","A4","89",,"417022.3","157312.5",,
"4","A4","90",,"420105.3","157452.53",,
"5","A5","1",,"49966.836","155758.48",,
"5","A5","2",,"50092.793","155869.39",,
"5","A5","3",,"50261.453","155872.34",,
"5","A5","4",,"50496.28","155388.12",,
"5","A5","5",,"51014.52","155116.78",,
"5","A5","6",,"51970.957","155139.02",,
"5","A5","7",,"53271.035","155266.95",,
"5","A5","8",,"55405.61","155143.48",,
"5","A5","9",,"58667.613","155011.45",,
"5","A5","10",,"63203.582","155000.9",,
"5","A5","11",,"69180.7","154965.1",,
"5","A5","12",,"75987.41","155017.08",,
"5","A5","13",,"83640.48","154861.81",,
"5","A5","14",,"91672.21","154785.55",,
"5","A5","15",,"99670.11","155024.17",,
"5","A5","16",,"107712.79","155152.16",,
"5","A5","17",,"115432.4","155028.31",,
"5","A5","18",,"122630.76","155065.92",,
"5","A5","19",,"129359.92","155179.75",,
"5","A5","20",,"135934.94","155069.7",,
"5","A5","21",,"141592.98","155037.77",,
"5","A5","22",,"146781.77","154968.4",,
"5","A5","23",,"151606.73","155011.94",,
"5","A5","24",,"155910.48","154932.75",,
"5","A5","25",,"159418.84","155022.34",,
"5","A5","26",,"162179.33","155079.86",,
"5","A5","27",,"165020.61","155117.3",,
"5","A5","28",,"167607.61","155111.19",,
"5","A5","29",,"169664.62","155124.97",,
"5","A5","30",,"171528.22","155075.58",,
"5","A5","31",,"173021.86","154856.28",,
"5","A5","32",,"174305.56","154746.45",,
"5","A5","33",,"175734.06","155029.12",,
"5","A5","34",,"176881.11","154980.75",,
"5","A5","35",,"177864.06","154964.97",,
"5","A5","36",,"178828.66","154983.22",,
"5","A5","37",,"179731.4","154954.47",,
"5","A5","38",,"180534.14","154938.38",,
"5","A5","39",,"181375.11","154970.55",,
"5","A5","40",,"182419.97","154986.88",,
"5","A5","41",,"183348.73","155190.94",,
"5","A5","42",,"184143.02","155218.52",,
"5","A5","43",,"184907.22","155197.52",,
"5","A5","44",,"185637.5","155010.84",,
"5","A5","45",,"186797.92","154877.72",,
"5","A5","46",,"188219.73","155003.36",,
"5","A5","47",,"189601.3","155077.36",,
"5","A5","48",,"191167.05","154973.78",,
"5","A5","49",,"193139.88","155045.61",,
