,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
2737,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,19,-0.2555720974852491,0.49740663170814514
2738,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,20,0.28224510348559695,0.6202073693275452
2739,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,20,-0.26939101694307027,0.5238533616065979
2740,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,21,0.3036463894166095,0.6670841574668884
2741,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,21,-0.2795579066802286,0.543107807636261
2742,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,22,0.3228318386602857,0.7087929248809814
2743,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,22,-0.2885000179880252,0.5599501729011536
2744,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,23,0.33930034255075886,0.7441650629043579
2745,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,23,-0.29573640409318286,0.5734332203865051
2746,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,24,0.35430191266824457,0.776115894317627
2747,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,24,-0.3018997017335918,0.5848029851913452
2748,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,25,0.3681271245702143,0.80532306432724
2749,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,25,-0.3073321515556697,0.5947333574295044
2750,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,26,0.3787601454666731,0.8270851969718933
