,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
3646,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,24,0.2272953876083571,0.5970996022224426,100000000,100000000,100,8,8,2
3647,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,24,-0.454693534,0.84761858,100000000,100000000,100,8,8,2
3648,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,25,0.23206946725390862,0.6088313460350037,100000000,100000000,100,8,8,2
3649,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,25,-0.469223294,0.873418391,100000000,100000000,100,8,8,2
3650,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,26,0.23721751558233292,0.6214820742607117,100000000,100000000,100,8,8,2
3651,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,26,-0.481740931,0.8953133225440979,100000000,100000000,100,8,8,2
3652,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,27,0.24382068968731072,0.6377086043357849,100000000,100000000,100,8,8,2
3653,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,27,-0.494838858,0.9183343648910522,100000000,100000000,100,8,8,2
3654,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,28,0.24898867589725798,0.6504083275794983,100000000,100000000,100,8,8,2
3655,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,28,-0.508586299,0.9426159858703613,100000000,100000000,100,8,8,2
3656,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,29,0.25382970025449253,0.6623045802116394,100000000,100000000,100,8,8,2
3657,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,29,-0.521270462,0.9648340940475464,100000000,100000000,100,8,8,2
3658,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,30,0.2599467005185376,0.6773363947868347,100000000,100000000,100,8,8,2
3659,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,30,-0.532162284,0.9835737347602844,100000000,100000000,100,8,8,2
3660,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,31,0.2648894032204733,0.6894825100898743,100000000,100000000,100,8,8,2
3661,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,31,-0.542952999,1.0021171569824219,100000000,100000000,100,8,8,2
3662,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,32,0.26935602229888933,0.7004587054252625,100000000,100000000,100,8,8,2
3663,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,32,-0.55405846,1.0212714672088623,100000000,100000000,100,8,8,2
3664,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,33,0.2751493109244845,0.7146950364112854,100000000,100000000,100,8,8,2
3665,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,33,-0.564136944,1.0384327173233032,100000000,100000000,100,8,8,2
3666,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,34,0.2799142220551751,0.7264042496681213,100000000,100000000,100,8,8,2
3667,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,34,-0.574704561,1.056543231010437,100000000,100000000,100,8,8,2
3668,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,35,0.2857731941152767,0.74080199,100000000,100000000,100,8,8,2
3669,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,35,-0.586092642,1.0762460231781006,100000000,100000000,100,8,8,2
3670,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,36,0.2906270737975808,0.7527298331260681,100000000,100000000,100,8,8,2
3671,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,36,-0.595569891,1.092240333557129,100000000,100000000,100,8,8,2
3672,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,37,0.2956305118466376,0.7650251984596252,100000000,100000000,100,8,8,2
3673,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,37,-0.606918721,1.1118669509887695,100000000,100000000,100,8,8,2
3674,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,38,0.3018152329929359,0.7802234292030334,100000000,100000000,100,8,8,2
3675,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,38,-0.619201282,1.1333056688308716,100000000,100000000,100,8,8,2
3676,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,39,0.3069162259805395,0.7927585244178772,100000000,100000000,100,8,8,2
3677,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,39,-0.631077512,1.1539558172225952,100000000,100000000,100,8,8,2
3678,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,40,0.3112651096855826,0.8034453988075256,100000000,100000000,100,8,8,2
3679,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,40,-0.641377928,1.171547770500183,100000000,100000000,100,8,8,2
3680,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,41,0.3163409256403141,0.8159186244010925,100000000,100000000,100,8,8,2
3681,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,41,-0.654512587,1.194640040397644,100000000,100000000,100,8,8,2
3682,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,42,0.3215715391131474,0.828772247,100000000,100000000,100,8,8,2
3683,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,42,-0.666870702,1.2162253856658936,100000000,100000000,100,8,8,2
3684,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,43,0.3276844644816987,0.843794048,100000000,100000000,100,8,8,2
3685,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,43,-0.680170596,1.2396384477615356,100000000,100000000,100,8,8,2
3686,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,44,0.3329371988157838,0.8567020297050476,100000000,100000000,100,8,8,2
3687,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,44,-0.693587567,1.2632787227630615,100000000,100000000,100,8,8,2
3688,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,45,0.3400799569990589,0.8742545247077942,100000000,100000000,100,8,8,2
3689,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,45,-0.709282265,1.291339397,100000000,100000000,100,8,8,2
3690,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,46,0.34691821376549753,0.8910587430000305,100000000,100000000,100,8,8,2
3691,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,46,-0.724845574,1.3191449642181396,100000000,100000000,100,8,8,2
3692,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,47,0.3524372231158349,0.9046210646629333,100000000,100000000,100,8,8,2
3693,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,47,-0.738915685,1.344052791595459,100000000,100000000,100,8,8,2
3694,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,48,0.35832001391031065,0.9190773367881775,100000000,100000000,100,8,8,2
3695,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,48,-0.752683335,1.3683736324310303,100000000,100000000,100,8,8,2
3696,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,49,0.36360835506930544,0.9320728182792664,100000000,100000000,100,8,8,2
3697,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,49,-0.768428833,1.3965328931808472,100000000,100000000,100,8,8,2
3698,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,50,0.37059830467156496,0.949249804,100000000,100000000,100,8,8,2
3699,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,50,-0.78461856,1.4255542755126953,100000000,100000000,100,8,8,2
7920,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,1,-0.019601171,-0.008685966,31622776,100000000,100,7.499999991736717,8,2
7921,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,1,0.004232567,0.003948212,31622776,100000000,100,7.499999991736717,8,2
7922,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,2,-0.019250475,-0.007824172,31622776,100000000,100,7.499999991736717,8,2
7923,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,2,0.004843461,0.000917212,31622776,100000000,100,7.499999991736717,8,2
7924,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,3,-0.01776315,-0.004169246,31622776,100000000,100,7.499999991736717,8,2
7925,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,3,0.004356171,1.746557973092422e-05,31622776,100000000,100,7.499999991736717,8,2
7926,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,4,-0.016451482,-0.000945975,31622776,100000000,100,7.499999991736717,8,2
7927,JG074D,45,HEX,#NAME?,FALSE,B21,0,HEX,JG074D.045,UNKNOWN,,11.705969,89,4,0.003080774,0.000647204,31622776,100000000,100,7.499999991736717,8,2
