,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,lg10 S036.5,lg10 S057.3.2,lg10 S057.4.2
5823,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,32,-0.11994215496342886,0.0899745300412178,100000000,1000000,10000,8.0,6.0,4.0
5824,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,33,0.1371477361085506,0.19169741868972778,100000000,1000000,10000,8.0,6.0,4.0
5825,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,33,-0.1584684925447159,0.12383627891540527,100000000,1000000,10000,8.0,6.0,4.0
5826,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,34,0.14276293316052266,0.1996016800403595,100000000,1000000,10000,8.0,6.0,4.0
5827,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,34,-0.1987841144103386,0.15930409729480743,100000000,1000000,10000,8.0,6.0,4.0
5828,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,35,0.14779528304380998,0.20661085844039917,100000000,1000000,10000,8.0,6.0,4.0
5829,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,35,-0.24144528540785518,0.19687731564044952,100000000,1000000,10000,8.0,6.0,4.0
5830,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,36,0.15181414177092228,0.21206361055374146,100000000,1000000,10000,8.0,6.0,4.0
5831,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,36,-0.2855833770938003,0.23577621579170227,100000000,1000000,10000,8.0,6.0,4.0
5832,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,37,0.15646512012331154,0.21848711371421814,100000000,1000000,10000,8.0,6.0,4.0
5833,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,37,-0.32947507738463205,0.2744539678096771,100000000,1000000,10000,8.0,6.0,4.0
5834,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,38,0.16082496598503662,0.22446352243423462,100000000,1000000,10000,8.0,6.0,4.0
5835,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,38,-0.3700270636676934,0.3101339340209961,100000000,1000000,10000,8.0,6.0,4.0
5836,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,39,0.16441287022473525,0.22925445437431335,100000000,1000000,10000,8.0,6.0,4.0
5837,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,39,-0.4076524009405056,0.3431869447231293,100000000,1000000,10000,8.0,6.0,4.0
5838,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,40,0.16756446385334184,0.23337534070014954,100000000,1000000,10000,8.0,6.0,4.0
5839,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,40,-0.4435489146122461,0.37468814849853516,100000000,1000000,10000,8.0,6.0,4.0
5840,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,41,0.17043513267626553,0.23706480860710144,100000000,1000000,10000,8.0,6.0,4.0
5841,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,41,-0.4751175589465619,0.40230458974838257,100000000,1000000,10000,8.0,6.0,4.0
5842,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,42,0.17431688628095798,0.24230700731277466,100000000,1000000,10000,8.0,6.0,4.0
5843,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,42,-0.5013325276446493,0.42511555552482605,100000000,1000000,10000,8.0,6.0,4.0
5844,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,43,0.1785987384431777,0.248163640499115,100000000,1000000,10000,8.0,6.0,4.0
5845,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,43,-0.5271571082516785,0.447576105594635,100000000,1000000,10000,8.0,6.0,4.0
5846,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,44,0.18258163739791294,0.2535611689090729,100000000,1000000,10000,8.0,6.0,4.0
5847,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,44,-0.5476503249079011,0.4652511477470398,100000000,1000000,10000,8.0,6.0,4.0
5848,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,45,0.18760645765805817,0.2605587840080261,100000000,1000000,10000,8.0,6.0,4.0
5849,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,45,-0.5658300986819368,0.48084965348243713,100000000,1000000,10000,8.0,6.0,4.0
5850,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,46,0.1924952789517606,0.2673475444316864,100000000,1000000,10000,8.0,6.0,4.0
